h,x,r,alpha,RMSE relative u,RMSE relative Iu
0.04,0.6,62.0,0.3,0.5720338620200063,0.4855057866609917
0.04,0.6,62.0,0.4,0.7077505560989898,0.7219454624903164
0.04,0.6,62.0,0.5,0.7621250931198931,0.9437562501691291
0.04,0.6,62.0,0.6,0.7653313410725184,1.152171104743637
0.04,0.6,62.0,0.7,0.7336621264866037,1.3575875725439728
0.04,0.6,62.0,0.8,0.6767343092053641,1.5072724813195013
0.04,0.6,62.0,0.9,0.602656994604122,1.6376399408292714
0.04,0.6,62.0,1.0,0.5246297091141086,1.7368193388924578
0.04,0.9,37.0,0.3,0.447486967531426,0.7001210290901372
0.04,0.9,37.0,0.4,0.5827584164923765,0.9383524748626515
0.04,0.9,37.0,0.5,0.6105878695813111,1.161656780987546
0.04,0.9,37.0,0.6,0.5688706887052676,1.3710169859469523
0.04,0.9,37.0,0.7,0.49324272027694205,1.5442267831204437
0.04,0.9,37.0,0.8,0.42344212555592514,1.673451730386092
0.04,0.9,37.0,0.9,0.39030520509772626,1.781977865979897
0.04,0.9,37.0,1.0,0.387718526626677,1.875191448016483
0.04,0.9,42.0,0.3,0.43904387372124815,0.7187057719614525
0.04,0.9,42.0,0.4,0.5834034796611207,0.9427697322859365
0.04,0.9,42.0,0.5,0.6236588386037071,1.1553221238518816
0.04,0.9,42.0,0.6,0.5955562743180978,1.362335169585019
0.04,0.9,42.0,0.7,0.5297755484374427,1.539267357485856
0.04,0.9,42.0,0.8,0.4581054613535079,1.6711904025735016
0.04,0.9,42.0,0.9,0.4096290416436239,1.7797731592505726
0.04,0.9,42.0,1.0,0.39384680848231435,1.8766148580210311
0.04,0.9,47.0,0.3,0.43329819618191107,0.7224194866274769
0.04,0.9,47.0,0.4,0.5859812800505185,0.9358131921455286
0.04,0.9,47.0,0.5,0.6382175814830849,1.1395495586564766
0.04,0.9,47.0,0.6,0.6237743529354423,1.3437641178378836
0.04,0.9,47.0,0.7,0.5691756996182286,1.523920129510303
0.04,0.9,47.0,0.8,0.49947936732740755,1.6591864352916634
0.04,0.9,47.0,0.9,0.4392586751684573,1.7682128134337438
0.04,0.9,47.0,1.0,0.4065382421826997,1.868262449371857
0.04,0.9,52.0,0.3,0.42805150025229893,0.6628533127020196
0.04,0.9,52.0,0.4,0.5878186641643183,0.8761816503557803
0.04,0.9,52.0,0.5,0.6509518812065789,1.0785515675485398
0.04,0.9,52.0,0.6,0.6494623811169078,1.2841024103983156
0.04,0.9,52.0,0.7,0.6065214355656108,1.469994966076579
0.04,0.9,52.0,0.8,0.5418059081007383,1.6110342347054054
0.04,0.9,52.0,0.9,0.4745433080701628,1.7221831065871385
0.04,0.9,52.0,1.0,0.4247646056339238,1.8253690058637182
0.04,0.9,57.0,0.3,0.4203593939809896,0.5852367350270002
0.04,0.9,57.0,0.4,0.5858452074653577,0.8020779256274743
0.04,0.9,57.0,0.5,0.6585581054206912,1.005374357721196
0.04,0.9,57.0,0.6,0.6689843602513529,1.2126696191500073
0.04,0.9,57.0,0.7,0.6376799250945416,1.4039402376341574
0.04,0.9,57.0,0.8,0.5802083529105853,1.5511675081168788
0.04,0.9,57.0,0.9,0.510807000693315,1.6648731836057014
0.04,0.9,57.0,1.0,0.4471704052881008,1.7699696552251656
0.04,0.9,62.0,0.3,0.4081921927087058,0.5921466707509396
0.04,0.9,62.0,0.4,0.5782362946630898,0.7997372637204359
0.04,0.9,62.0,0.5,0.6593590930879657,0.995283915861942
0.04,0.9,62.0,0.6,0.6807392787997584,1.19603921214294
0.04,0.9,62.0,0.7,0.6609670271136721,1.385336522456059
0.04,0.9,62.0,0.8,0.6125962273143583,1.5344226735774837
0.04,0.9,62.0,0.9,0.5457527162280652,1.648506951515951
0.04,0.9,62.0,1.0,0.47368220033298675,1.7525860745863797
0.04,1.2,37.0,0.3,0.32061591741335654,0.8946454425424328
0.04,1.2,37.0,0.4,0.47710791207217573,1.0904327838152479
0.04,1.2,37.0,0.5,0.5243383110483028,1.285639851176977
0.04,1.2,37.0,0.6,0.496332581023346,1.4698380237660251
0.04,1.2,37.0,0.7,0.4292135433475254,1.6259226585328082
0.04,1.2,37.0,0.8,0.36649330360639837,1.7426025524545603
0.04,1.2,37.0,0.9,0.3431860983490206,1.8432637321976544
0.04,1.2,37.0,1.0,0.3487095439565335,1.926186789947875
0.04,1.2,42.0,0.3,0.31288961787903974,0.8793552149647564
0.04,1.2,42.0,0.4,0.4783645918054854,1.0525940407424157
0.04,1.2,42.0,0.5,0.538130879628727,1.2409070802977993
0.04,1.2,42.0,0.6,0.5237824452536669,1.421998633880131
0.04,1.2,42.0,0.7,0.46634395273786255,1.5903763530906725
0.04,1.2,42.0,0.8,0.40057836825783605,1.707135700827962
0.04,1.2,42.0,0.9,0.3599374213453775,1.819849355408338
0.04,1.2,42.0,1.0,0.3529254869396025,1.9014152451343345
0.04,1.2,47.0,0.3,0.3075593333073127,0.8356632774800048
0.04,1.2,47.0,0.4,0.48122185243413196,1.0226093334580781
0.04,1.2,47.0,0.5,0.5530773416622864,1.2073572856409112
0.04,1.2,47.0,0.6,0.5525253932966943,1.3935485414162232
0.04,1.2,47.0,0.7,0.506359241033387,1.56087217435269
0.04,1.2,47.0,0.8,0.442090668492828,1.6874861485221229
0.04,1.2,47.0,0.9,0.38828397239335366,1.7946053697076965
0.04,1.2,47.0,1.0,0.3642319776616335,1.8810520885310815
0.04,1.2,52.0,0.3,0.3027803122565886,0.8221427173095985
0.04,1.2,52.0,0.4,0.4833106357483971,0.9854387018781295
0.04,1.2,52.0,0.5,0.5661585655075763,1.1640088870755692
0.04,1.2,52.0,0.6,0.5787784576201565,1.342854960898868
0.04,1.2,52.0,0.7,0.5445390414964757,1.5192753690797505
0.04,1.2,52.0,0.8,0.4852221703657705,1.6438700756282927
0.04,1.2,52.0,0.9,0.42354269303289754,1.7608926356235404
0.04,1.2,52.0,1.0,0.38183496119157384,1.8475579424278075
0.04,1.2,57.0,0.3,0.29563335410747454,0.7753137008275539
0.04,1.2,57.0,0.4,0.4814651698004995,0.9512827336947226
0.04,1.2,57.0,0.5,0.573950067237885,1.1261063898469297
0.04,1.2,57.0,0.6,0.5987623636461185,1.307877049293764
0.04,1.2,57.0,0.7,0.576545308278665,1.4812247131797058
0.04,1.2,57.0,0.8,0.5246903344384649,1.6145156378107401
0.04,1.2,57.0,0.9,0.46045456850995115,1.7239793785192434
0.04,1.2,57.0,1.0,0.40413512330011947,1.8125143198862268
0.04,1.2,62.0,0.3,0.28367401131407394,0.7519201310417984
0.04,1.2,62.0,0.4,0.47331100190060055,0.9101664437173195
0.04,1.2,62.0,0.5,0.5741985947034306,1.0802582031727481
0.04,1.2,62.0,0.6,0.6102730278110988,1.2537750753598687
0.04,1.2,62.0,0.7,0.6000414624735547,1.433959084918008
0.04,1.2,62.0,0.8,0.5576268619060949,1.5672042474212746
0.04,1.2,62.0,0.9,0.49577053794501064,1.6850972212943767
0.04,1.2,62.0,1.0,0.43031305596858715,1.7759625410790865
0.04,1.5,37.0,0.3,0.22318757611569492,1.0210222622708076
0.04,1.5,37.0,0.4,0.3939038651002611,1.189308918586028
0.04,1.5,37.0,0.5,0.45480192499251054,1.3634877364050246
0.04,1.5,37.0,0.6,0.4344456981377752,1.532313369535661
0.04,1.5,37.0,0.7,0.37362486331889583,1.677046680569001
0.04,1.5,37.0,0.8,0.32075308788880375,1.7855154132220539
0.04,1.5,37.0,0.9,0.30771462602119937,1.8788558333645393
0.04,1.5,37.0,1.0,0.3187177265547004,1.9555011551731216
0.04,1.5,42.0,0.3,0.21303122772827313,1.013245245177482
0.04,1.5,42.0,0.4,0.39119549351252153,1.1582835473136006
0.04,1.5,42.0,0.5,0.46545513196279403,1.3227120732545548
0.04,1.5,42.0,0.6,0.4598902823234167,1.4875387679370902
0.04,1.5,42.0,0.7,0.4087676018437254,1.641838956487656
0.04,1.5,42.0,0.8,0.35101193019695737,1.7510046385319877
0.04,1.5,42.0,0.9,0.3199228060217341,1.8553466673357646
0.04,1.5,42.0,1.0,0.31993801518777554,1.9299432454304177
0.04,1.5,47.0,0.3,0.20944233987306432,0.9564794474597229
0.04,1.5,47.0,0.4,0.39448704761312425,1.1199854442464294
0.04,1.5,47.0,0.5,0.48086644160031194,1.2860091432657328
0.04,1.5,47.0,0.6,0.48942721585186083,1.4571180770632566
0.04,1.5,47.0,0.7,0.4491656413796288,1.6131654760557375
0.04,1.5,47.0,0.8,0.3912120967132596,1.7316589147044863
0.04,1.5,47.0,0.9,0.3455921562121805,1.8317549169768446
0.04,1.5,47.0,1.0,0.3292078867172166,1.9123069961946555
0.04,1.5,52.0,0.3,0.20994815367446285,0.9525694635668673
0.04,1.5,52.0,0.4,0.4013334327387387,1.0887042248572758
0.04,1.5,52.0,0.5,0.4986066116122144,1.245056705980312
0.04,1.5,52.0,0.6,0.5204116611012337,1.407128686179672
0.04,1.5,52.0,0.7,0.49155336530305577,1.5706912421995594
0.04,1.5,52.0,0.8,0.4370477912474481,1.6858306960171452
0.04,1.5,52.0,0.9,0.3819993791204982,1.7951418776937773
0.04,1.5,52.0,1.0,0.34775373902929807,1.8752398269284702
0.04,1.5,57.0,0.3,0.2064888281858065,0.9001866274488506
0.04,1.5,57.0,0.4,0.4030453176684611,1.049645111084346
0.04,1.5,57.0,0.5,0.5105200698071223,1.2041241784590675
0.04,1.5,57.0,0.6,0.5450879414363496,1.369301635666393
0.04,1.5,57.0,0.7,0.5281762514272808,1.5304743504522187
0.04,1.5,57.0,0.8,0.4801685226756057,1.6549896229503387
0.04,1.5,57.0,0.9,0.42146233475493183,1.757358358420693
0.04,1.5,57.0,1.0,0.3727150540850153,1.8402496441699123
0.04,1.5,62.0,0.3,0.18813590405533065,0.8849388553753011
0.04,1.5,62.0,0.4,0.3872333208000856,1.0149207925876886
0.04,1.5,62.0,0.5,0.50499063056651,1.1624234297481284
0.04,1.5,62.0,0.6,0.5526132256366721,1.3179241565950968
0.04,1.5,62.0,0.7,0.5485788493446881,1.4852259843580662
0.04,1.5,62.0,0.8,0.5097875905450846,1.6091427748294689
0.04,1.5,62.0,0.9,0.45285645653564854,1.7195561178405145
0.04,1.5,62.0,1.0,0.39588768097483534,1.8045282305670332
0.04,1.8,37.0,0.3,0.14996379218693862,1.0891854169614754
0.04,1.8,37.0,0.4,0.3096418016042333,1.232889344164885
0.04,1.8,37.0,0.5,0.38356649728662173,1.389836173615517
0.04,1.8,37.0,0.6,0.3782133132225419,1.5494190413736342
0.04,1.8,37.0,0.7,0.32623576562483697,1.6903603447742905
0.04,1.8,37.0,0.8,0.2767537600607598,1.7958371107428432
0.04,1.8,37.0,0.9,0.2737995240987915,1.8828996071418596
0.04,1.8,37.0,1.0,0.2935239983523614,1.9631409019634023
0.04,1.8,42.0,0.3,0.146606220956847,1.1086242315413015
0.04,1.8,42.0,0.4,0.31268748834862253,1.2439356123716745
0.04,1.8,42.0,0.5,0.39903020067093464,1.3913805968421789
0.04,1.8,42.0,0.6,0.40727276813144797,1.547132604226337
0.04,1.8,42.0,0.7,0.36448778650780145,1.690018258992504
0.04,1.8,42.0,0.8,0.30870120946284296,1.797023078326153
0.04,1.8,42.0,0.9,0.2826462456912238,1.883542319042418
0.04,1.8,42.0,1.0,0.29128420093719737,1.9667782006725747
0.04,1.8,47.0,0.3,0.14423238977946973,1.1101787194005943
0.04,1.8,47.0,0.4,0.31648867589393714,1.238814510873101
0.04,1.8,47.0,0.5,0.414788820417927,1.3787636609840859
0.04,1.8,47.0,0.6,0.43685011169697086,1.530913307324833
0.04,1.8,47.0,0.7,0.40533403516978833,1.6757468044563837
0.04,1.8,47.0,0.8,0.34973403904247713,1.7854322648968366
0.04,1.8,47.0,0.9,0.3064805240496082,1.872129427597063
0.04,1.8,47.0,1.0,0.2978069797547888,1.9583355768712292
0.04,1.8,52.0,0.3,0.1413446274951194,1.0475132936482454
0.04,1.8,52.0,0.4,0.3183680881433308,1.1743572170106424
0.04,1.8,52.0,0.5,0.42748126242898093,1.3128781495686928
0.04,1.8,52.0,0.6,0.4627932487349146,1.4659037905080337
0.04,1.8,52.0,0.7,0.4434517736037563,1.616009345026996
0.04,1.8,52.0,0.8,0.3925821081331084,1.7318713584387773
0.04,1.8,52.0,0.9,0.3393842868263531,1.8212799998118054
0.04,1.8,52.0,1.0,0.31204609681168693,1.9110740359492564
0.04,1.8,57.0,0.3,0.13662604387549407,0.9682593850540576
0.04,1.8,57.0,0.4,0.3157625702827209,1.0941735590458432
0.04,1.8,57.0,0.5,0.43428492394895757,1.2330705155895745
0.04,1.8,57.0,0.6,0.48197610347574416,1.3877288251541628
0.04,1.8,57.0,0.7,0.47510552304013765,1.543066330793145
0.04,1.8,57.0,0.8,0.43200600399864525,1.6660368260229852
0.04,1.8,57.0,0.9,0.37534915471417724,1.7591020760304275
0.04,1.8,57.0,1.0,0.33214520653565655,1.851278299521817
0.04,1.8,62.0,0.3,0.1299075178863589,0.9813761588341832
0.04,1.8,62.0,0.4,0.307624546573121,1.0992403005523774
0.04,1.8,62.0,0.5,0.4343045415560242,1.2308464817664813
0.04,1.8,62.0,0.6,0.4936344441326962,1.3785666033071466
0.04,1.8,62.0,0.7,0.49946405424949475,1.530393449607399
0.04,1.8,62.0,0.8,0.4664969987106084,1.6546367620172437
0.04,1.8,62.0,0.9,0.4119916840600963,1.7481453746695756
0.04,1.8,62.0,1.0,0.3583039758355755,1.838287807428549
0.04,2.1,37.0,0.3,0.11827981479448348,1.1846459738934907
0.04,2.1,37.0,0.4,0.25607009648610307,1.3123293248837347
0.04,2.1,37.0,0.5,0.3373529295527905,1.4550011192656813
0.04,2.1,37.0,0.6,0.3239958195716547,1.6035595343080349
0.04,2.1,37.0,0.7,0.26935328082519966,1.7359073048148694
0.04,2.1,37.0,0.8,0.23990645245469414,1.8343800836382502
0.04,2.1,37.0,0.9,0.2475555272183655,1.9166278914309427
0.04,2.1,37.0,1.0,0.28515840743359794,1.9896747890937163
0.04,2.1,42.0,0.3,0.11630719085928853,1.2063509396612622
0.04,2.1,42.0,0.4,0.24338492027453834,1.326560752786392
0.04,2.1,42.0,0.5,0.3435306505344126,1.4600477226054869
0.04,2.1,42.0,0.6,0.35454894702204454,1.604322448977062
0.04,2.1,42.0,0.7,0.30724943576993574,1.7379502878572741
0.04,2.1,42.0,0.8,0.26308163271004265,1.8375086860055407
0.04,2.1,42.0,0.9,0.24998776056891509,1.9190824935678679
0.04,2.1,42.0,1.0,0.267267410879802,1.994895064041677
0.04,2.1,47.0,0.3,0.11552325762255651,1.2083393522540058
0.04,2.1,47.0,0.4,0.24673357603424942,1.3226468208215125
0.04,2.1,47.0,0.5,0.3582825738528748,1.4490967386776243
0.04,2.1,47.0,0.6,0.388496679611758,1.589603011900778
0.04,2.1,47.0,0.7,0.353273631734856,1.7246675834643266
0.04,2.1,47.0,0.8,0.3023959382056875,1.8264520910573032
0.04,2.1,47.0,0.9,0.27229732979147486,1.9080386365816866
0.04,2.1,47.0,1.0,0.2687486670101284,1.9869961727630534
0.04,2.1,52.0,0.3,0.11581669883563397,1.1438865099586386
0.04,2.1,52.0,0.4,0.256561879605004,1.2564782712365241
0.04,2.1,52.0,0.5,0.37501910364102004,1.3815706302401956
0.04,2.1,52.0,0.6,0.41945398248678756,1.522848040724575
0.04,2.1,52.0,0.7,0.397951098808576,1.6629982475848384
0.04,2.1,52.0,0.8,0.3467451993553308,1.7707920861579618
0.04,2.1,52.0,0.9,0.3051342674990228,1.8550603524679654
0.04,2.1,52.0,1.0,0.2853372886490051,1.938141656666105
0.04,2.1,57.0,0.3,0.11642560810528382,1.0633394782660448
0.04,2.1,57.0,0.4,0.253346255646192,1.1747776489153092
0.04,2.1,57.0,0.5,0.37961718121157656,1.2999617123692582
0.04,2.1,57.0,0.6,0.4382439655387422,1.4426957573050487
0.04,2.1,57.0,0.7,0.4344500224426005,1.588184663670206
0.04,2.1,57.0,0.8,0.3885432712958415,1.7032800869457292
0.04,2.1,57.0,0.9,0.3386055917937274,1.7912487905599201
0.04,2.1,57.0,1.0,0.3062012597900075,1.877353410383321
0.04,2.1,62.0,0.3,0.11777123138531922,1.0786870508011377
0.04,2.1,62.0,0.4,0.2393579320125306,1.1828883985502923
0.04,2.1,62.0,0.5,0.3723837935077662,1.3009661038785045
0.04,2.1,62.0,0.6,0.44416442123718336,1.4367310161315396
0.04,2.1,62.0,0.7,0.45844942855279613,1.5789075373374055
0.04,2.1,62.0,0.8,0.4230781779474572,1.6955549126956548
0.04,2.1,62.0,0.9,0.3709804926825263,1.7838092272516297
0.04,2.1,62.0,1.0,0.32957335197379617,1.8682296981883877
0.04,2.4,37.0,0.3,0.1372335029725293,1.2707969673966741
0.04,2.4,37.0,0.4,0.19375081898505056,1.3853812228465765
0.04,2.4,37.0,0.5,0.28065166588105156,1.5180734769861344
0.04,2.4,37.0,0.6,0.2748013560750988,1.6570848199204404
0.04,2.4,37.0,0.7,0.2270314930314283,1.7827500940044991
0.04,2.4,37.0,0.8,0.20634301788176113,1.877492147312569
0.04,2.4,37.0,0.9,0.22463428989661663,1.9528073060745708
0.04,2.4,37.0,1.0,0.27096050558328827,2.027371592012246
0.04,2.4,42.0,0.3,0.14071523799743083,1.2856678495523108
0.04,2.4,42.0,0.4,0.18803303157507342,1.3943059160733953
0.04,2.4,42.0,0.5,0.29171944657264975,1.5191521837207391
0.04,2.4,42.0,0.6,0.30895259479312875,1.6542021000728446
0.04,2.4,42.0,0.7,0.26770242907102054,1.7811553971968859
0.04,2.4,42.0,0.8,0.22905616441794996,1.8773909064245158
0.04,2.4,42.0,0.9,0.22354563458906052,1.9520737151598617
0.04,2.4,42.0,1.0,0.24887651207816772,2.0294005657948877
0.04,2.4,47.0,0.3,0.13659212996155698,1.282024239066844
0.04,2.4,47.0,0.4,0.19439674646511415,1.3856769187469145
0.04,2.4,47.0,0.5,0.3089184407822433,1.504436667978815
0.04,2.4,47.0,0.6,0.34470297280436624,1.63613729644767
0.04,2.4,47.0,0.7,0.31531167943086646,1.7644934913831771
0.04,2.4,47.0,0.8,0.2687848946124174,1.863215540021462
0.04,2.4,47.0,0.9,0.243679632324216,1.9382416210097189
0.04,2.4,47.0,1.0,0.24668036984524383,2.018405236376166
0.04,2.4,52.0,0.3,0.13703802617011931,1.2229680804839054
0.04,2.4,52.0,0.4,0.20039124144377918,1.324374807189776
0.04,2.4,52.0,0.5,0.3222591871740269,1.4413614918612
0.04,2.4,52.0,0.6,0.3726621015704079,1.573328777525379
0.04,2.4,52.0,0.7,0.35751055152937095,1.7058311558820791
0.04,2.4,52.0,0.8,0.3108646510148095,1.8100904817409535
0.04,2.4,52.0,0.9,0.2730039330860218,1.8880063002013394
0.04,2.4,52.0,1.0,0.258762121288033,1.9712147129810613
0.04,2.4,57.0,0.3,0.1481390806055822,1.1505250549781816
0.04,2.4,57.0,0.4,0.1931375580640362,1.249904600513057
0.04,2.4,57.0,0.5,0.3227630469118352,1.3661347859413042
0.04,2.4,57.0,0.6,0.3880242565444225,1.498869597191599
0.04,2.4,57.0,0.7,0.39091669492784575,1.6354653840684983
0.04,2.4,57.0,0.8,0.3500907018865188,1.7461636733938737
0.04,2.4,57.0,0.9,0.30331800396487535,1.8280660064732548
0.04,2.4,57.0,1.0,0.2754935235717683,1.912503610622636
0.04,2.4,62.0,0.3,0.15294032819011555,1.15805343505708
0.04,2.4,62.0,0.4,0.1837189926135752,1.2511441642259902
0.04,2.4,62.0,0.5,0.31911413560110224,1.361097404744538
0.04,2.4,62.0,0.6,0.3969497163518622,1.4879442463328691
0.04,2.4,62.0,0.7,0.4172350885672181,1.621518707904389
0.04,2.4,62.0,0.8,0.38699993288353995,1.7336806899661017
0.04,2.4,62.0,0.9,0.3379362202530455,1.816777243365929
0.04,2.4,62.0,1.0,0.3003831115987706,1.8977428848988283
0.04,2.7,37.0,0.3,0.17308800652381587,1.337043603396504
0.04,2.7,37.0,0.4,0.15377752939382078,1.443658567223236
0.04,2.7,37.0,0.5,0.24132258442159263,1.5662291754323054
0.04,2.7,37.0,0.6,0.24308258028770185,1.698628862951444
0.04,2.7,37.0,0.7,0.20185858741866503,1.8189759157182648
0.04,2.7,37.0,0.8,0.1863583099199893,1.9082655181397037
0.04,2.7,37.0,0.9,0.21202089452320336,1.9825737194218986
0.04,2.7,37.0,1.0,0.2673452754506476,2.0477235679453365
0.04,2.7,42.0,0.3,0.18721651620466262,1.359205551435967
0.04,2.7,42.0,0.4,0.14502612748558666,1.4599721946040662
0.04,2.7,42.0,0.5,0.24767418784555378,1.5744305232067974
0.04,2.7,42.0,0.6,0.27079572343589114,1.7021618146490918
0.04,2.7,42.0,0.7,0.23476136405730993,1.823040980015885
0.04,2.7,42.0,0.8,0.2020437191155944,1.9132159228073622
0.04,2.7,42.0,0.9,0.2033589144041957,1.9866524507220227
0.04,2.7,42.0,1.0,0.23911427759063014,2.0543329182410006
0.04,2.7,47.0,0.3,0.18518122820221625,1.3604622516119342
0.04,2.7,47.0,0.4,0.14950563820345605,1.4564972452238079
0.04,2.7,47.0,0.5,0.26191926076376915,1.5648852312602577
0.04,2.7,47.0,0.6,0.30207015042634694,1.688792457339549
0.04,2.7,47.0,0.7,0.2798684719248544,1.8105214593254786
0.04,2.7,47.0,0.8,0.23943044780823303,1.9026772701502144
0.04,2.7,47.0,0.9,0.21833111195062363,1.9759855135244182
0.04,2.7,47.0,1.0,0.22986263160079598,2.046685699179028
0.04,2.7,52.0,0.3,0.18330226661528168,1.2969012513387677
0.04,2.7,52.0,0.4,0.15537792769135692,1.3911855047453934
0.04,2.7,52.0,0.5,0.2771216667606656,1.4981383942790822
0.04,2.7,52.0,0.6,0.3329962519496436,1.6223392663213285
