u,Iu,y
0.5457721642286995,0.25296994671620177,1.955
0.5821104310767441,0.2515723441372427,3.0
0.6044723922308138,0.25227114542672224,3.95
0.6149545715183694,0.24877705900664335,4.85
0.6093640812298519,0.2571628344257602,5.90
0.6519916396558936,0.25227114542672224,6.83
0.6862333826764777,0.24178896613916684,7.93
0.6701607131004049,0.24807825771716388,9.00
0.6778476472437016,0.24598181386238466,10.00
0.737246636548955,0.24807825771716388,13.9
0.7903563342762113,0.2292103429968323,19.95
0.8902865181254085,0.21733052114397725,29.92
0.9636617731382958,0.2054507392774628,39.90
