h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu,RMSE relative vv,RMSE vv,RMSE relative ww,RMSE ww
0.08,0.3,52.0,0.1,2.7365504451263636,2.4224528399748473,1.8629948676381176,0.016831838888563728,18.125598691847856,0.040940392239418394,2.0540415569025057,0.011877066172389752
0.08,0.3,52.0,0.2,4.000552773528293,3.413840621265314,1.3276294078003448,0.011994903842191058,20.164166754674017,0.045544917448088675,2.410470464769776,0.013938041866998407
0.08,0.3,52.0,0.3,4.252554923184289,3.553199438458244,1.1974695213147661,0.010818931606767506,19.68838300692044,0.04447026200716617,2.1080253423819353,0.012189216133631121
0.08,0.3,52.0,0.4,4.339062878645452,3.5699581031244416,1.4311759737760765,0.012930429294377167,19.31002971245531,0.043615673281915124,1.8587911732889666,0.010748071620858118
0.08,0.3,52.0,0.5,4.3027283805915575,3.496653735804045,1.9727543430234948,0.017823496910961894,18.66310845513393,0.042154468580595815,1.7419529308300559,0.010072478893687183
0.08,0.3,52.0,0.6,4.119243552797832,3.3122384294741636,2.708932288325967,0.024474738298628486,17.647025507241434,0.039859436281706136,2.108637871837514,0.012192757957238343
0.08,0.3,52.0,0.7,3.795516522222792,2.981510081100334,3.736784659172953,0.033761208061832006,16.411993036567438,0.03706986145786584,3.456474745147953,0.01998634308705216
0.08,0.3,52.0,0.8,3.440004360407977,2.6520776004587017,4.854693456999025,0.0438613221866614,15.389025205904122,0.03475927823533763,4.799188016618207,0.027750302059648096
0.08,0.3,52.0,0.9,3.4446076907791046,2.6527340010580063,5.960626168904705,0.05385323443062184,14.6807257006469,0.03315943813840009,5.888235120572414,0.034047489414522764
0.08,0.3,52.0,1.0,3.5347469377388956,2.712028971071457,6.846623416173152,0.061858067498487414,14.231744603798676,0.032145321996607884,6.7054306629896905,0.03877275191004326
0.08,0.3,62.0,0.1,2.688502012531328,2.3806783841742747,2.4367254071410662,0.02201539584522101,16.324347348951886,0.036871895647738524,1.3403466180681407,0.007750274293739487
0.08,0.3,62.0,0.2,3.9782934576669593,3.3965931444939814,1.7834442808931614,0.01611311299036554,18.335561992060214,0.041414637532647965,1.7092638288984132,0.009883460991175222
0.08,0.3,62.0,0.3,4.232827475226117,3.537979010408262,1.5837683414396369,0.014309075147220409,18.192519527038296,0.04109154670820393,1.520053084058365,0.008789389389049856
0.08,0.3,62.0,0.4,4.363268274884653,3.5954037841177633,1.5990906081763283,0.014447509197469054,18.19444414119484,0.04109589384508024,1.4151788344636589,0.008182975951098575
0.08,0.3,62.0,0.5,4.428643047542089,3.6164593970065773,1.8062044721613117,0.016318747412205948,17.962889203228848,0.04057287939758695,1.2774508619908027,0.0073865927244047705
0.08,0.3,62.0,0.6,4.4378798850550405,3.6107662672135903,2.2064809596487107,0.019935176778331724,17.32957470565872,0.03914240836144443,1.3593387878114287,0.007860092547435605
0.08,0.3,62.0,0.7,4.382051473497337,3.5253343464306126,3.0281453781122294,0.02735877377920646,16.27578687293726,0.03676221182602478,2.4696149410457884,0.014280032444599402
0.08,0.3,62.0,0.8,4.153825793509879,3.3036959694505392,3.920490429561974,0.03542095816839436,15.234872820583721,0.034411093371104824,3.6104636819951588,0.02087675194299967
0.08,0.3,62.0,0.9,3.930956242378814,3.0911758938982583,4.850090441307754,0.04381973472989333,14.385639242935545,0.03249292468807876,4.626722371502535,0.0267530554982924
0.08,0.3,62.0,1.0,3.9085892555384905,3.0396461549441613,5.787217282887621,0.05228651490713476,13.75786611082999,0.031074969965439497,5.451903964666665,0.031524495663810714
