x	y	z	y-velocity	z-velocity	uw-reynolds-stress	vw-reynolds-stress	x-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress
-4.95	0.22952666666666663	0.0	0.0	0.0	0.0	0.0	8.089621474147062	2.2052013364765393	0.7768663370388285	1.120166494867343
-4.95	0.23051999999999995	0.0	0.0	0.0	0.0	0.0	8.103542304787743	2.20236002276886	0.7755749815588574	1.1189164789000299
-4.95	0.2315133333333333	0.0	0.0	0.0	0.0	0.0	8.117411896497213	2.1995263094950546	0.7743025563685576	1.1176827648265948
-4.95	0.23250666666666664	0.0	0.0	0.0	0.0	0.0	8.131230857812277	2.19670007449947	0.7730491761510085	1.1164653128253699
-4.95	0.23349999999999999	0.0	0.0	0.0	0.0	0.0	8.14499979234444	2.193881192666808	0.7718149460024935	1.1152640782338532
-4.95	0.23449333333333328	0.0	0.0	0.0	0.0	0.0	8.158719290032058	2.191069536175515	0.7705999614863773	1.1140790115814778
-4.95	0.23548666666666662	0.0	0.0	0.0	0.0	0.0	8.172389948494502	2.1882649746527454	0.7694043086912489	1.1129100586314922
-4.95	0.23647999999999997	0.0	0.0	0.0	0.0	0.0	8.18601234133347	2.1854673752747895	0.7682280642904434	1.1117571604020353
-4.95	0.23747333333333326	0.0	0.0	0.0	0.0	0.0	8.199587059392147	2.1826766030543676	0.767071295604951	1.1106202532128442
-4.95	0.2384666666666666	0.0	0.0	0.0	0.0	0.0	8.213114672380485	2.179892520916433	0.7659340606692309	1.1094992687181864
-4.95	0.23945999999999995	0.0	0.0	0.0	0.0	0.0	8.22659573895525	2.17711498986879	0.7648164082989697	1.1083941339438672
-4.95	0.24045333333333327	0.0	0.0	0.0	0.0	0.0	8.240030831585933	2.174343869185816	0.7637183781631689	1.107304771332673
-4.95	0.24144666666666662	0.0	0.0	0.0	0.0	0.0	8.253420499605943	2.1715790165707145	0.762640000856119	1.1062310987767017
-4.95	0.24243999999999996	0.0	0.0	0.0	0.0	0.0	8.266765297102086	2.168820288273935	0.761581297975936	1.1051730296615923
-4.95	0.24343333333333328	0.0	0.0	0.0	0.0	0.0	8.280065765474696	2.16606753923408	0.7605422822002743	1.1041304729168075
-4.95	0.24442666666666663	0.0	0.0	0.0	0.0	0.0	8.293322448088412	2.1633206232792546	0.7595229573699096	1.103103333045238
-4.95	0.24541999999999997	0.0	0.0	0.0	0.0	0.0	8.306535869992647	2.160579393206902	0.7585233185720381	1.1020915101779907
-4.95	0.24641333333333332	0.0	0.0	0.0	0.0	0.0	8.319706561886747	2.1578437009708615	0.757543352225154	1.1010949001193715
-4.95	0.2474066666666666	0.0	0.0	0.0	0.0	0.0	8.332835049029958	2.1551133977510304	0.7565830361686902	1.1001133943894608
