u,Iu
0.08161495739754024,0.0212452416494005
0.06290281767763256,0.3002978338924113
0.06290281767763256,0.3002978338924113
0.08161495739754024,0.0212452416494005
0.06786274444319157,0.23094358440372703
0.06805216546624496,0.080017516333507
0.06813459384513453,0.0783312766204815
0.08132877762385811,0.021371651776002584
0.0765138432163088,0.02139459874480546
0.07247756824783369,0.07196146182968755
0.07614576119364214,0.0693829855577844
0.0656160393960344,0.2757085562155213
0.07261525022342236,0.07056197806513445
0.07576939628604702,0.06996941064292606
0.07626564208506732,0.023160993984038685
0.06565377441987007,0.23467421472317745
0.06314140650609175,0.2990955196632951
0.06326355499704965,0.28055651033341217
0.06426837405373463,0.2800214613032087
0.06354231043370677,0.28021855213084046
0.06496835882580135,0.27647773281569543
0.06651734155380581,0.23287952269535936
0.06589571419877298,0.23426899049406588
0.06697512921674585,0.2325414991241742
0.06473281261671641,0.2770070522250362
0.07247756824783369,0.07196146182968755
0.07576939628604702,0.06996941064292606
0.06457089957088137,0.2776018375486736
0.06666744556980359,0.23264437402066396
0.0672261446607773,0.23175968600263902
0.06354231043370677,0.28021855213084046
0.07630872280139357,0.022076632916763365
0.0672261446607773,0.23175968600263902
0.08132877762385811,0.021371651776002584
0.06496835882580135,0.27647773281569543
0.06589571419877298,0.23426899049406588
0.06291499801595724,0.2996133464505587
0.06747746695992714,0.23120128969510315
0.07644124671392809,0.021446654869911246
0.06651734155380581,0.23287952269535936
0.06442588659097971,0.2786076452013954
0.06805216546624496,0.080017516333507
0.07250808137279205,0.07094719148952308
0.06764694698780031,0.23104099410210274
0.06442588659097971,0.2786076452013954
0.06747746695992714,0.23120128969510315
0.06571071420715917,0.23437556035313215
0.06786274444319157,0.23094358440372703
