u,Iu
0.04069340233804295,0.06272250935499926
0.11002555128684051,0.03907609526550111
0.11002555128684051,0.03907609526550111
0.04069340233804295,0.06272250935499926
0.09857253429057146,0.039708493826114334
0.09798014553888992,0.04190570829840209
0.08933051593369845,0.04240099833520974
0.07631174116111678,0.047464205515601474
0.050598226730613205,0.06155682452185138
0.06359210356260299,0.048206941390319794
0.08283658843480232,0.04541970200463213
0.08781883994510407,0.043504946239385674
0.04794059001388383,0.06229543983551891
0.07003288473858857,0.04765359821461518
0.06126006725505955,0.04938950505805257
0.05600561542668053,0.054898819332974476
0.057081176408470116,0.054762570595539656
0.07981443097659457,0.045827834377968314
0.08679858099755398,0.043989697112376505
0.07897943137229614,0.04672038806545284
0.08679858099755398,0.043989697112376505
0.08283658843480232,0.04541970200463213
0.043532837401500026,0.06252690884870755
0.06575565746778482,0.047826093726843516
0.0550540444749425,0.056150769098795086
0.06126006725505955,0.04938950505805257
0.06002504567954572,0.050695978069388976
0.05796037698393524,0.05355951430867664
0.05796037698393524,0.05355951430867664
0.058724901778203165,0.05248038650352492
0.05100607772696587,0.06043406223237997
0.06002504567954572,0.050695978069388976
0.051519425387135345,0.05940550507836203
0.058724901778203165,0.05248038650352492
0.05216661051137372,0.058468115585607466
0.043532837401500026,0.06252690884870755
0.052968479717220934,0.05761729079234721
0.05100607772696587,0.06043406223237997
0.05940167671898505,0.051526339810613504
0.05393343690642509,0.05684713504469315
0.04794059001388383,0.06229543983551891
0.06460289275133355,0.047982754974292344
0.051519425387135345,0.05940550507836203
0.05216661051137372,0.058468115585607466
0.05940167671898505,0.051526339810613504
0.052968479717220934,0.05761729079234721
0.07897943137229614,0.04672038806545284
0.05393343690642509,0.05684713504469315
