y,u,Iu
0.007,0.40,0.246
0.0165,0.458,0.237
0.0285,0.506,0.243
0.0472,0.562,0.230
0.058,0.586,0.221
0.0678,0.609,0.208
0.0864,0.647,0.204
0.0972,0.671,0.191
0.148,0.732,0.169
0.173,0.789,0.173
0.196,0.780,0.152
0.248,0.831,0.154
0.299,0.850,0.139
0.398,0.940,0.118
0.498,1.01,0.115
0.597,1.05,0.105
0.699,1.11,0.0957
