x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	uv-reynolds-stress	uw-reynolds-stress	vw-reynolds-stress
-4.95	0.01	0.0	10.635834897078668	0.0	0.0	22.87878942633346	6.786362686071177	15.242842591150845	-4.14045122497081	0.0	0.0
-4.95	0.010993333333333336	0.0	10.762747048176404	0.0	0.0	23.034608305189902	6.857054836781842	15.246803056379195	-4.203704030690403	0.0	0.0
-4.95	0.011986666666666666	0.0	10.889677474601676	0.0	0.0	23.187528454018313	6.927034544954237	15.25034127887778	-4.266261613284292	0.0	0.0
-4.95	0.012980000000000002	0.0	11.016625457147745	0.0	0.0	23.337561872892937	6.996296397590505	15.253458062053518	-4.328121826260195	0.0	0.0
-4.95	0.013973333333333334	0.0	11.143588521224572	0.0	0.0	23.484696172557797	7.0648351249570895	15.256154263080466	-4.389281659013156	0.0	0.0
-4.95	0.014966666666666666	0.0	11.270562594148602	0.0	0.0	23.628896127211224	7.1326456015915705	15.258430793082416	-4.449737298993362	0.0	0.0
-4.95	0.015960000000000002	0.0	11.397543534054469	0.0	0.0	23.77012598366823	7.1997228471842085	15.260288616919675	-4.509485024104927	0.0	0.0
-4.95	0.016953333333333334	0.0	11.524527190736668	0.0	0.0	23.9083503875771	7.266062027560263	15.261728753344883	-4.568521239772121	0.0	0.0
-4.95	0.017946666666666666	0.0	11.6515094538133	0.0	0.0	24.043534371819796	7.331658455485678	15.262752274971856	-4.626842478890902	0.0	0.0
-4.95	0.01894	0.0	11.778486176188968	0.0	0.0	24.17564335832885	7.396507591509592	15.263360308281596	-4.684445401759189	0.0	0.0
-4.95	0.01993333333333333	0.0	11.905453243821563	0.0	0.0	24.30464314042957	7.460605044768045	15.263554033442395	-4.741326795980595	0.0	0.0
-4.95	0.020926666666666666	0.0	12.03240653663815	0.0	0.0	24.430499886624247	7.523946573737696	15.263334684472772	-4.797483576305918	0.0	0.0
-4.95	0.02192	0.0	12.159341937809332	0.0	0.0	24.5531801232854	7.586528086895834	15.262703549054482	-4.852912784483085	0.0	0.0
-4.95	0.022913333333333334	0.0	12.286255252681068	0.0	0.0	24.67265172457933	7.648345643480571	15.261661968507896	-4.907611582640019	0.0	0.0
-4.95	0.023906666666666666	0.0	12.413139749567113	0.0	0.0	24.788909899453568	7.709395454043533	15.260211337681003	-4.961577084499366	0.0	0.0
-4.95	0.0249	0.0	12.53998586530701	0.0	0.0	24.901980356602188	7.76967388108622	15.258353104980575	-5.014806334540233	0.0	0.0
-4.95	0.02589333333333333	0.0	12.666783897042816	0.0	0.0	25.011890776120392	7.829177439607001	15.256088772055557	-5.067296492633523	0.0	0.0
-4.95	0.026886666666666666	0.0	12.793524148750494	0.0	0.0	25.11866916621086	7.887902797619056	15.253419893900439	-5.119044844283364	0.0	0.0
-4.95	0.027879999999999995	0.0	12.9201969113226	0.0	0.0	25.22234385191593	7.945846776610467	15.250348078561036	-5.170048800265076	0.0	0.0
-4.95	0.028873333333333334	0.0	13.046792511483503	0.0	0.0	25.322943478923058	8.003006351996552	15.246874987144897	-5.220305896227546	0.0	0.0
-4.95	0.029866666666666663	0.0	13.17330125215121	0.0	0.0	25.42049699477286	8.059378653503128	15.243002333515637	-5.269813792261323	0.0	0.0
-4.95	0.03086	0.0	13.299713453900358	0.0	0.0	25.515033650785984	8.114960965514467	15.238731884236064	-5.31857027242899	0.0	0.0
-4.95	0.03185333333333333	0.0	13.426019442615491	0.0	0.0	25.606582987184606	8.169750727405956	15.234065458321016	-5.366573244282078	0.0	0.0
-4.95	0.03284666666666666	0.0	13.552209517987633	0.0	0.0	25.695175001413578	8.22374553380127	15.229004927132378	-5.413820743785301	0.0	0.0
-4.95	0.03384	0.0	13.678272185237711	0.0	0.0	25.780846584882042	8.276943134805492	15.22355221416418	-5.460311144195888	0.0	0.0
-4.95	0.03483333333333333	0.0	13.804193628480904	0.0	0.0	25.863643735039346	8.329341436197529	15.21770929471123	-5.506043227126749	0.0	0.0
-4.95	0.035826666666666666	0.0	13.92995985006299	0.0	0.0	25.943613336177656	8.38093849958717	15.211478195718202	-5.551015915777797	0.0	0.0
-4.95	0.03682	0.0	14.055556868054204	0.0	0.0	26.020802530657484	8.431732542514144	15.204860995652208	-5.595228253902771	0.0	0.0
-4.95	0.03781333333333333	0.0	14.180970705455564	0.0	0.0	26.09525870790605	8.481721938518582	15.197859824098172	-5.638679405128709	0.0	0.0
-4.95	0.03880666666666666	0.0	14.30618738389798	0.0	0.0	26.167029499248194	8.530905217181559	15.19047686146136	-5.6813686522596	0.0	0.0
-4.95	0.0398	0.0	14.431192934514064	0.0	0.0	26.236162769169052	8.579281064066038	15.182714338941128	-5.723295396516521	0.0	0.0
-4.95	0.04079333333333333	0.0	14.555973398909913	0.0	0.0	26.302706604989435	8.626848320736515	15.174574537911932	-5.764459156798582	0.0	0.0
-4.95	0.041786666666666666	0.0	14.680514816474783	0.0	0.0	26.366709316024863	8.67360598459835	15.16605978990201	-5.804859568868465	0.0	0.0
-4.95	0.04278	0.0	14.804803226138134	0.0	0.0	26.428219378999685	8.71955320878381	15.157172476051471	-5.844496390105757	0.0	0.0
-4.95	0.04377333333333333	0.0	14.928824013539101	0.0	0.0	26.487282794944953	8.764689301982443	15.147915027000218	-5.88336983214203	0.0	0.0
-4.95	0.04476666666666666	0.0	15.052561497295393	0.0	0.0	26.543941502363513	8.809013728199513	15.138289922390328	-5.921480761509203	0.0	0.0
-4.95	0.045759999999999995	0.0	15.175999921255539	0.0	0.0	26.598237239463973	8.852526106531869	15.12829969058173	-5.958830207516338	0.0	0.0
-4.95	0.046753333333333334	0.0	15.299123531262019	0.0	0.0	26.650211921746774	8.895226210829497	15.11794690825958	-5.995419311935034	0.0	0.0
-4.95	0.04774666666666666	0.0	15.42191657166959	0.0	0.0	26.69990763959704	8.937113969385548	15.107234200064054	-6.03124932805672	0.0	0.0
-4.95	0.04874	0.0	15.544363304635873	0.0	0.0	26.747366649894495	8.978189464532846	15.09616423824644	-6.066321619685703	0.0	0.0
-4.95	0.049733333333333324	0.0	15.666447980554633	0.0	0.0	26.792631364695474	9.018452932231153	15.084739742237119	-6.100637660135874	0.0	0.0
-4.95	0.050726666666666656	0.0	15.788154875757694	0.0	0.0	26.835744349273316	9.057904761608793	15.072963478143604	-6.134199031194411	0.0	0.0
-4.95	0.051719999999999995	0.0	15.90946826314111	0.0	0.0	26.87674831017931	9.096545494450309	15.060838258500649	-6.167007422038788	0.0	0.0
-4.95	0.052713333333333334	0.0	16.030372416019407	0.0	0.0	26.915686064421088	9.134375824672926	15.04836694171414	-6.199064631205653	0.0	0.0
-4.95	0.05370666666666665	0.0	16.15085212651198	0.0	0.0	26.952597830767154	9.171396597719154	15.035552431617608	-6.2303728806999	0.0	0.0
-4.95	0.05469999999999999	0.0	16.270893144844266	0.0	0.0	26.987518737146083	9.207608809949487	15.022397677016222	-6.260935105478368	0.0	0.0
-4.95	0.05569333333333333	0.0	16.390481336920352	0.0	0.0	27.02048342571618	9.243013607993236	15.008905671246026	-6.290754413462193	0.0	0.0
-4.95	0.05668666666666666	0.0	16.509602556662653	0.0	0.0	27.05152663984942	9.277612288029728	14.995079451737595	-6.319834014263155	0.0	0.0
-4.95	0.057679999999999995	0.0	16.62824269468824	0.0	0.0	27.08068322655793	9.31140629505737	14.980922099271822	-6.3481772179755405	0.0	0.0
-4.95	0.05867333333333333	0.0	16.74638762967384	0.0	0.0	27.10798812042345	9.344397222094623	14.966436737846491	-6.375787433936276	0.0	0.0
-4.95	0.05966666666666666	0.0	16.8640232364285	0.0	0.0	27.13347634038407	9.376586809425106	14.951626533822155	-6.402668169466415	0.0	0.0
-4.95	0.06065999999999999	0.0	16.98113541991038	0.0	0.0	27.157182982674946	9.4079769436684	14.936494695555226	-6.428823028596482	0.0	0.0
-4.95	0.061653333333333324	0.0	17.097710067340216	0.0	0.0	27.17914321032811	9.438569656933122	14.921044472852797	-6.454255710753842	0.0	0.0
-4.95	0.06264666666666667	0.0	17.213733093454927	0.0	0.0	27.199392241572905	9.468367125881828	14.905279156363493	-6.478970010579137	0.0	0.0
-4.95	0.06363999999999999	0.0	17.329191500786795	0.0	0.0	27.217963861425805	9.497371670749358	14.889202077054728	-6.502970050880295	0.0	0.0
-4.95	0.06463333333333332	0.0	17.44407484129296	0.0	0.0	27.234888456305082	9.525585754351589	14.872816605554863	-6.526260588774774	0.0	0.0
-4.95	0.06562666666666667	0.0	17.558373014164296	0.0	0.0	27.25019596534527	9.553011981038557	14.856126151680234	-6.548846549135612	0.0	0.0
-4.95	0.06662	0.0	17.672075943531887	0.0	0.0	27.26391635813988	9.579653095624762	14.839134163757645	-6.570732945419046	0.0	0.0
-4.95	0.06761333333333333	0.0	17.785173546664012	0.0	0.0	27.2760796309418	9.605511982274388	14.821844128028877	-6.591924878241214	0.0	0.0
-4.95	0.06860666666666666	0.0	17.89765574695676	0.0	0.0	27.286715800687944	9.630591663347007	14.804259568041553	-6.612427533947239	0.0	0.0
-4.95	0.0696	0.0	18.009512487159615	0.0	0.0	27.29585489451452	9.654895298206998	14.786384044028496	-6.632246183134754	0.0	0.0
-4.95	0.07059333333333333	0.0	18.12073370228686	0.0	0.0	27.303526947627688	9.678426182021884	14.768221152167879	-6.651386179197953	0.0	0.0
-4.95	0.07158666666666666	0.0	18.231309332821464	0.0	0.0	27.309761990778156	9.701187744518835	14.74977452412283	-6.669852956817795	0.0	0.0
-4.95	0.07257999999999999	0.0	18.34122932541604	0.0	0.0	27.314590050781966	9.723183548638392	14.73104782613371	-6.687652030715758	0.0	0.0
