x	y	z	y-velocity	z-velocity	uw-reynolds-stress	vw-reynolds-stress	x-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress
-2.85	0.01	0.0	0.0	0.0	0.0	0.0	2.8823559902956317	1.9642646589993897	0.5784046415721451	1.2650429541195356
-2.85	0.010993333333333334	0.0	0.0	0.0	0.0	0.0	2.9145629510325715	1.977478819294568	0.5844699056043521	1.26949474321246
-2.85	0.011986666666666668	0.0	0.0	0.0	0.0	0.0	2.946726940374177	1.9904563048182191	0.5904759451221299	1.273827269056743
-2.85	0.012980000000000002	0.0	0.0	0.0	0.0	0.0	2.9788471757470316	2.0031982965714348	0.59642225424855	1.2780410628812717
-2.85	0.013973333333333334	0.0	0.0	0.0	0.0	0.0	3.0109228451938495	2.015706008010765	0.6023083400414448	1.2821366755966417
-2.85	0.014966666666666666	0.0	0.0	0.0	0.0	0.0	3.0429531652033215	2.02798068450258	0.6081337225922095	1.2861146776503116
-2.85	0.015960000000000002	0.0	0.0	0.0	0.0	0.0	3.0749373265473845	2.040023602790158	0.6138979351182031	1.289975658875256
-2.85	0.016953333333333334	0.0	0.0	0.0	0.0	0.0	3.1068745043292703	2.051836070452962	0.6196005240528936	1.293720228315773
-2.85	0.017946666666666666	0.0	0.0	0.0	0.0	0.0	3.1387638742642685	2.063419425356756	0.6252410491328861	1.2973490140854427
-2.85	0.01894	0.0	0.0	0.0	0.0	0.0	3.1706046438813655	2.074775035082143	0.6308190834812737	1.300862663168559
-2.85	0.01993333333333333	0.0	0.0	0.0	0.0	0.0	3.2023959487089337	2.0859042963962664	0.636334213685773	1.3042618412672897
-2.85	0.020926666666666666	0.0	0.0	0.0	0.0	0.0	3.234136976676787	2.096808634655595	0.6417860398739867	1.3075472325999509
-2.85	0.02192	0.0	0.0	0.0	0.0	0.0	3.2658268815731177	2.107489503244429	0.6471741757866853	1.3107195397258653
-2.85	0.022913333333333334	0.0	0.0	0.0	0.0	0.0	3.2974648218794376	2.1179483830179513	0.6524982488434128	1.31377948333982
-2.85	0.023906666666666666	0.0	0.0	0.0	0.0	0.0	3.329049947760291	2.1281867816896	0.6577579002103344	1.3167278020743312
-2.85	0.0249	0.0	0.0	0.0	0.0	0.0	3.360581418031364	2.1382062332672747	0.6629527848550061	1.3195652522981356
-2.85	0.02589333333333333	0.0	0.0	0.0	0.0	0.0	3.3920583475843955	2.148008297460132	0.6680825716068043	1.3222926078934838
-2.85	0.026886666666666666	0.0	0.0	0.0	0.0	0.0	3.4234799198439934	2.1575945590844254	0.6731469432101542	1.324910660031307
-2.85	0.027879999999999995	0.0	0.0	0.0	0.0	0.0	3.454845230949113	2.1669666274557895	0.678145596369536	1.3274202169608085
-2.85	0.028873333333333334	0.0	0.0	0.0	0.0	0.0	3.4861534510447383	2.1761261358020736	0.6830782417976751	1.3298221037629216
-2.85	0.029866666666666663	0.0	0.0	0.0	0.0	0.0	3.5174036905191817	2.1850747406418574	0.6879446042554169	1.3321171621125123
-2.85	0.03086	0.0	0.0	0.0	0.0	0.0	3.548595083635345	2.193814121196392	0.692744422587204	1.3343062500294918
-2.85	0.03185333333333333	0.0	0.0	0.0	0.0	0.0	3.5797267572296882	2.202345978744522	0.6974774497568204	1.3363902416302744
-2.85	0.03284666666666666	0.0	0.0	0.0	0.0	0.0	3.6107978445776125	2.21067203604229	0.7021434528751811	1.3383700268662075
-2.85	0.03384	0.0	0.0	0.0	0.0	0.0	3.6418074528812276	2.2187940366739896	0.7067422132243155	1.3402465112507964
-2.85	0.03483333333333333	0.0	0.0	0.0	0.0	0.0	3.6727547263621507	2.2267137444534644	0.7112735262812127	1.3420206155889844
-2.85	0.035826666666666666	0.0	0.0	0.0	0.0	0.0	3.703638757639811	2.234432942768532	0.7157372017332262	1.3436932757003255
-2.85	0.03682	0.0	0.0	0.0	0.0	0.0	3.7344586972023173	2.241953433974245	0.7201330634911751	1.3452654421263666
-2.85	0.03781333333333333	0.0	0.0	0.0	0.0	0.0	3.7652136457360266	2.2492770387807095	0.7244609496998784	1.3467380798367257
-2.85	0.03880666666666666	0.0	0.0	0.0	0.0	0.0	3.795902728278543	2.2564055955706492	0.7287207127433694	1.348112167931205
-2.85	0.0398	0.0	0.0	0.0	0.0	0.0	3.826525069703083	2.2633409598090357	0.7329122192441158	1.3493886993303796
-2.85	0.04079333333333333	0.0	0.0	0.0	0.0	0.0	3.857079792826563	2.270085003380594	0.7370353500638964	1.350568680464141
