h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu,RMSE relative vv,RMSE vv,RMSE relative ww,RMSE ww
0.08,0.3,52.0,0.1,2.8781640831757107,2.5891043189789116,2.8739232795844676,0.019202403196206287,29.08580333596519,0.04858491934269031,7.438835811957755,0.03181011885076455
0.08,0.3,52.0,0.2,4.143498152374586,3.615774013400017,4.080687138428769,0.027265515508476692,32.017491631082514,0.05348201081068011,8.047749364719026,0.03441396883116621
0.08,0.3,52.0,0.3,4.396657701691799,3.77039096830311,3.9931018577136106,0.026680305775742087,31.429285995616507,0.05249947224965317,7.612600862422395,0.03255317691080453
0.08,0.3,52.0,0.4,4.486238431992197,3.7980386400775292,3.661203175990697,0.024462691842897566,30.94922334016628,0.05169757569809234,7.203059529965289,0.03080188695239202
0.08,0.3,52.0,0.5,4.452920511642739,3.731636045321573,3.2903811385337742,0.021985007651440618,30.08007977091498,0.05024575847573364,6.6457231840925575,0.02841859259690113
0.08,0.3,52.0,0.6,4.271777138129209,3.5497723039716407,3.101544809319205,0.020723279004253487,28.656216464642416,0.04786733752956956,6.076187907181894,0.02598313289511437
0.08,0.3,52.0,0.7,3.9576269220283327,3.226382002075796,3.439072773150132,0.022978505543360377,26.793673709986397,0.044756146531610065,5.995712162028955,0.025639000683753584
0.08,0.3,52.0,0.8,3.6061306283261807,2.895993736616153,4.277823364390531,0.028582700738293786,25.05864484659101,0.04185795470889804,6.378280437199212,0.027274947841255788
0.08,0.3,52.0,0.9,3.6121920064952655,2.8994015898288534,5.3533293163849756,0.03576880033838578,23.65963554759437,0.03952104989089089,6.926926387095604,0.029621080127861753
0.08,0.3,52.0,1.0,3.7078241318586986,2.965581046198528,6.253520630324648,0.041783517810764385,22.58711206835897,0.037729506912692994,7.435399033153506,0.03179542241909292
0.08,0.3,62.0,0.1,2.830978201373221,2.5471893247333184,2.0571196446764217,0.013744848764934566,26.63720549470328,0.04449478206003555,6.4601068944807665,0.027624855998534797
0.08,0.3,62.0,0.2,4.121873912164532,3.598326010434921,3.256650115046659,0.02175963047529208,29.5379415964052,0.04934017099111425,7.083718798492082,0.030291559402777665
0.08,0.3,62.0,0.3,4.377582627038479,3.755044413924099,3.3296671476317585,0.022247501014443127,29.406285053979072,0.049120251932292816,6.83986297771538,0.02924877759693537
0.08,0.3,62.0,0.4,4.510198430412741,3.8230360337549962,3.2054470709053,0.021417512261677943,29.444624491694935,0.04918429412041989,6.72164839671573,0.028743265717583576
0.08,0.3,62.0,0.5,4.576398919321952,3.850152312927795,2.9633174277073224,0.019799699055782834,29.14870297133185,0.04868998687944269,6.444582480025412,0.027558470144431184
0.08,0.3,62.0,0.6,4.5840237245795885,3.845606872468268,2.715725195879831,0.01814538702262115,28.278055367288044,0.047235657317705265,6.00528057822846,0.0256799173626821
0.08,0.3,62.0,0.7,4.532697069739028,3.766810791495917,2.778225885656813,0.018562991575137997,26.75742237279787,0.04469559230613363,5.680902271132411,0.02429280346984038
0.08,0.3,62.0,0.8,4.308136534969845,3.5476237871718954,3.2370727472586864,0.021628822352314135,25.14885015857419,0.042008633641721804,5.675479228464392,0.024269613331468844
0.08,0.3,62.0,0.9,4.088767876665691,3.3367387919787155,4.015040809759695,0.026826893057971854,23.71396403528414,0.03961180018449388,5.940933268742886,0.025404753934666565
0.08,0.3,62.0,1.0,4.072044077335374,3.291968497361115,4.957154695930487,0.03312172035120845,22.523789155221568,0.03762373233284769,6.308619587405397,0.026977062531349568
0.08,0.3,72.0,0.1,2.860710312718063,2.5739456864595507,1.2953826353147317,0.008655227449312516,23.503041305081503,0.039259474903460184,4.9909250456415295,0.021342307168805696
0.08,0.3,72.0,0.2,4.151047816777105,3.6237240682759113,2.2943725761528984,0.015330077738183956,26.63572852111159,0.04449231492368058,5.82800933037777,0.024921866021652476
0.08,0.3,72.0,0.3,4.4353154208332475,3.806895744230404,2.43285873701179,0.016255386745838332,27.06022599394501,0.04520139540671079,5.848040713664599,0.02500752467835719
0.08,0.3,72.0,0.4,4.608552565653329,3.9125273932742646,2.465419865593773,0.016472947153242514,27.66257835803255,0.04620756466004149,5.97086983502067,0.02553276936011114
0.08,0.3,72.0,0.5,4.739252518594944,3.9998415871023947,2.403271330041707,0.016057695554077666,27.931156323664272,0.04665619723335281,5.932443425852999,0.025368449475450312
0.08,0.3,72.0,0.6,4.819314125861195,4.062910274671607,2.2511736553263564,0.015041439867700446,27.56115174862723,0.04603814167453066,5.6902851506501415,0.02433292675259138
0.08,0.3,72.0,0.7,4.871195114831134,4.080550865741227,2.1424928052186893,0.014315277997514538,26.365225597232474,0.04404046690054629,5.29754527465846,0.022653483564364595
0.08,0.3,72.0,0.8,4.833046732628783,4.036166340024128,2.303706159717488,0.015392441001721963,25.011691542646144,0.04177952392056175,5.045049135764393,0.02157375383371665
0.08,0.3,72.0,0.9,4.73026416493875,3.9322128799868166,2.86241914430765,0.019125537176302967,23.724618773666357,0.03962959785708825,4.999593430119764,0.0213793751116219
0.08,0.3,72.0,1.0,4.656443212298691,3.8301384518272834,3.6913204550858865,0.02466392342777207,22.549406854337363,0.03766652413168197,5.123931821452134,0.021911073767967776
