h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu
0.08,1.8,72.0,0.4,2.521871326238339,2.1287741832664633,2.6538257609781466,0.03576891553110703
0.08,1.8,72.0,0.5,2.9824745712391696,2.4813510714598546,2.384161867776851,0.032134319334350146
0.08,1.8,72.0,0.6,3.2849271380529914,2.7031693412597475,2.262066425988762,0.030488686976617035
0.08,1.8,72.0,0.7,3.4786306371123223,2.8329312688862127,2.860050630363171,0.0385484649807769
0.08,1.8,82.0,0.1,0.42278784843191963,0.3258897849163628,4.72442614133559,0.06367697611018036
0.08,1.8,82.0,0.2,0.9642447477779648,0.8536840128922017,3.5379213504773945,0.047684973068572195
0.08,1.8,82.0,0.3,1.9010245023519061,1.635495108527971,2.906764020853906,0.03917807953317271
0.08,1.8,82.0,0.4,2.536485170841373,2.1378541284619277,2.5764669562423097,0.034726254557327176
0.08,1.8,82.0,0.5,2.96505097845876,2.4623624876358075,2.3145468582074753,0.031196031134123167
0.08,1.8,82.0,0.6,3.2441226174738897,2.664296721185334,2.1692538693222683,0.029237736538029736
0.08,1.8,82.0,0.7,3.410727685018654,2.771063925958532,2.579775782308206,0.034770851727871845
0.08,1.8,92.0,0.1,0.4268650307639811,0.3282823061247805,4.325100735010169,0.058294770187582653
0.08,1.8,92.0,0.2,0.8793554352137553,0.7780391486355837,3.1838722510462802,0.04291301233263137
0.08,1.8,92.0,0.3,1.7646686540406489,1.5212455372105325,2.6653909092307746,0.03592479344028843
0.08,1.8,92.0,0.4,2.413701545845239,2.0393856351369637,2.4620406172557336,0.03318398825110363
0.08,1.8,92.0,0.5,2.8664353818825847,2.3869721402291693,2.236607759787092,0.030145548819511148
0.08,1.8,92.0,0.6,3.168570051871,2.6096214268900124,2.0317589115579024,0.027384545721005623
0.08,1.8,92.0,0.7,3.3573652965778176,2.736265421831873,2.2671730097758735,0.03055751476735579
0.08,2.7,52.0,0.1,0.6772491035559902,0.5237148775571389,4.538499127970528,0.06117100615021031
0.08,2.7,52.0,0.2,0.5631696609750222,0.4465258210484578,3.57773833942392,0.048221636226822046
0.08,2.7,52.0,0.3,1.0668151081691697,0.9356840376970065,2.949978015584825,0.03976052836987488
0.08,2.7,52.0,0.4,1.629692552507417,1.4062187026695032,2.6553877936598167,0.03578996899131118
0.08,2.7,52.0,0.5,1.9689553588597164,1.6689874033880925,2.947964688566743,0.03973339225374201
0.08,2.7,52.0,0.6,2.034099098751593,1.693326010114282,3.8379526568191946,0.05172886871953311
0.08,2.7,52.0,0.7,1.8962208048268758,1.5474513507397112,5.2668591538924305,0.07098802150461435
0.08,2.7,62.0,0.1,0.6224642587572016,0.4797116732764169,4.544357575485523,0.061249967744972295
0.08,2.7,62.0,0.2,0.546338709155782,0.4403522687586924,3.5422658590661897,0.047743529422580734
0.08,2.7,62.0,0.3,1.1023809798419266,0.9673834881561401,2.897726681031295,0.039056272046978986
0.08,2.7,62.0,0.4,1.7353492207388046,1.4965933792648254,2.5333699951892545,0.03414538312928513
0.08,2.7,62.0,0.5,2.1887636993939177,1.8565751247067201,2.3345798987485984,0.031466041375746025
0.08,2.7,62.0,0.6,2.4673342787782073,2.063544420339572,2.539554903782451,0.034228744846655806
0.08,2.7,62.0,0.7,2.582221691190778,2.131103556460309,3.5974599632134554,0.048487449116966015
0.08,2.7,72.0,0.1,0.5804217966759186,0.44589455801782124,5.508403497711244,0.07424361550709603
0.08,2.7,72.0,0.2,0.5807126729913431,0.48840421131497946,4.424235057015014,0.05963092693237133
0.08,2.7,72.0,0.3,1.2403397673244578,1.085915783822281,3.634377341271712,0.04898503060736085
0.08,2.7,72.0,0.4,1.9173835185853723,1.646588935865984,3.1754068435888363,0.04279891349135321
0.08,2.7,72.0,0.5,2.4390150263048826,2.0622555116770935,2.846680706680655,0.038368261865
0.08,2.7,72.0,0.6,2.8102698623684974,2.3472039233483506,2.647779154026819,0.03568741787723992
0.08,2.7,72.0,0.7,3.059134917194054,2.528171520651432,3.045147865071234,0.041043250980168935
0.08,2.7,82.0,0.1,0.5812328149307827,0.44647456760045856,5.144234392410669,0.06933525484602007
0.08,2.7,82.0,0.2,0.5970347708293121,0.5057821314324655,4.042754944350693,0.05448924426151731
0.08,2.7,82.0,0.3,1.272997252158047,1.1136327023180805,3.3109053036671146,0.04462519502211529
0.08,2.7,82.0,0.4,1.9362243347013877,1.660768778233781,2.925367681620306,0.03942882424305806
0.08,2.7,82.0,0.5,2.4404229043860406,2.060873067027091,2.628017193044317,0.035421061312500106
0.08,2.7,82.0,0.6,2.791943021624347,2.3287332578679916,2.4151173672452573,0.03255154516054778
0.08,2.7,82.0,0.7,3.0119782746851875,2.4848548811516253,2.6834275611892333,0.03616789586617199
0.08,2.7,92.0,0.1,0.6070020636813891,0.4670382490103708,4.712378596833214,0.063514596345842
0.08,2.7,92.0,0.2,0.5643505483447002,0.46528615407620155,3.6982110889619033,0.04984539753978634
0.08,2.7,92.0,0.3,1.1501232248587794,1.007548446283619,3.033950239705356,0.04089232663473887
0.08,2.7,92.0,0.4,1.8157154933986874,1.5629824553409621,2.764626121247834,0.03726231000544582
0.08,2.7,92.0,0.5,2.345339144706472,1.9881125111225844,2.5416672803345417,0.03425721597674
0.08,2.7,92.0,0.6,2.711029036921592,2.26919744967646,2.304823095820986,0.031064971875990596
0.08,2.7,92.0,0.7,2.9508764105885184,2.4431097132624693,2.3898819807575906,0.03221141642227693
0.08,3.6,52.0,0.1,0.6635380545876637,0.5154213365307377,5.400641439691224,0.07279117201685135
0.08,3.6,52.0,0.2,0.5441227334446597,0.3845792930851259,4.648398573104097,0.06265225786903049
0.08,3.6,52.0,0.3,0.7336577053056758,0.6317143899698333,4.073154968175289,0.05489898325053248
0.08,3.6,52.0,0.4,1.2145354203924037,1.0587624031459166,3.7511442275931723,0.05055884338553032
0.08,3.6,52.0,0.5,1.5725302158673744,1.3511966070844974,3.8590082087932944,0.052012660621434316
0.08,3.6,52.0,0.6,1.7062312835915854,1.4427589652451986,4.457694327583105,0.0600818992005135
0.08,3.6,52.0,0.7,1.6549802789891828,1.3738028924237577,5.654499809963801,0.07621273749287474
0.08,3.6,62.0,0.1,0.6167036877004145,0.47758641457180484,5.2594302777664605,0.07088789328725055
0.08,3.6,62.0,0.2,0.5076855605030766,0.36293803238621797,4.428524790522109,0.059688745014372935
0.08,3.6,62.0,0.3,0.7760836823917889,0.6763819826636218,3.7495490639191407,0.05053734337767235
0.08,3.6,62.0,0.4,1.328179630333189,1.1584578999620287,3.286783528065168,0.04430007580492586
0.08,3.6,62.0,0.5,1.7852794246942156,1.5333336305623977,3.027322944884941,0.04080300232712352
0.08,3.6,62.0,0.6,2.102209779160307,1.7803661553687222,3.071753384489419,0.04140184670665685
0.08,3.6,62.0,0.7,2.2737023839581787,1.900851029107225,3.856823235340684,0.05198321101249114
0.08,3.6,72.0,0.1,0.5669293255644362,0.43686867606648316,5.9413668369519375,0.08007920175284049
0.08,3.6,72.0,0.2,0.47668840334883,0.35993437727964434,5.025370652916489,0.06773318016568695
0.08,3.6,72.0,0.3,0.8835948568545123,0.7758910703710618,4.219003619621702,0.05686476720312693
0.08,3.6,72.0,0.4,1.4887746067699799,1.2925283050336276,3.6713916076254645,0.04948391798200345
0.08,3.6,72.0,0.5,2.028987810325418,1.7349520031053942,3.287421683658061,0.044308677022772774
0.08,3.6,72.0,0.6,2.4431887040341604,2.0627734710263512,3.017825179580079,0.04067498911317436
0.08,3.6,72.0,0.7,2.7349092038201093,2.284395223828352,3.2320583569064203,0.04356247650455539
0.08,3.6,82.0,0.1,0.5764635380713866,0.4444396311388855,5.503722827461298,0.07418052828363883
0.08,3.6,82.0,0.2,0.4837083063341648,0.36739187201859047,4.506442817004729,0.06073894331623134
0.08,3.6,82.0,0.3,0.9117287338211174,0.8011644343902092,3.7284511784483265,0.050252980894502995
0.08,3.6,82.0,0.4,1.5176476173696711,1.3167130650871504,3.2541778024953114,0.043860607825947175
0.08,3.6,82.0,0.5,2.0443562498366505,1.7464484035829642,2.920063662988849,0.03935733537698643
0.08,3.6,82.0,0.6,2.4446930883072526,2.061922452015423,2.6564629495747996,0.03580446020685037
0.08,3.6,82.0,0.7,2.7100231427988155,2.2605105256695985,2.800039303064284,0.03773961756938078
0.08,3.6,92.0,0.1,0.6093407149665442,0.47088103094847206,5.215431916304512,0.07029487256306423
0.08,3.6,92.0,0.2,0.4978476523666935,0.3647960577442102,4.330065988378089,0.05836169309221307
0.08,3.6,92.0,0.3,0.8184670347474484,0.7150072136737361,3.5841358354783783,0.0483078632502187
0.08,3.6,92.0,0.4,1.407510529422365,1.2250858369916542,3.1696834401902843,0.042721772054366856
0.08,3.6,92.0,0.5,1.9506919145779098,1.673214957573055,2.90214447061791,0.03911581610027795
0.08,3.6,92.0,0.6,2.360292361531301,1.998292952984169,2.6405491135900054,0.035589969616139486
0.08,3.6,92.0,0.7,2.636363839788396,2.2068956650084877,2.6053361319040835,0.03511536039874387
0.08,5.0,52.0,0.1,0.7240000448416667,0.5671773231737534,6.166690053806627,0.0831161634213044
0.08,5.0,52.0,0.2,0.6982582598808617,0.49192823879081293,5.776121856218625,0.07785198930931869
0.08,5.0,52.0,0.3,0.5891549690979372,0.436162490718877,5.40844824572472,0.07289639406634901
0.08,5.0,52.0,0.4,0.8126175394990054,0.6869971125005987,5.143306838287914,0.0693227530436956
0.08,5.0,52.0,0.5,1.099754980395132,0.9489408980246821,5.155625692699918,0.0694887895896445
0.08,5.0,52.0,0.6,1.2661827751893953,1.088197275168464,5.488324097453727,0.07397298041782714
0.08,5.0,52.0,0.7,1.3353089511316572,1.1279185975977801,6.33061043676892,0.0853255226106748
0.08,5.0,62.0,0.1,0.6982464576889603,0.5465446919055731,5.764346803930278,0.07769328226197997
0.08,5.0,62.0,0.2,0.6620618410381565,0.4650421555948086,5.189174953030991,0.06994097476191857
0.08,5.0,62.0,0.3,0.5876345692493494,0.45357039929067405,4.662073591186151,0.06283657312207223
0.08,5.0,62.0,0.4,0.8935968724351929,0.7707948291262159,4.223492654782733,0.05692527152177968
0.08,5.0,62.0,0.5,1.2866048931699232,1.1182909854156,3.9508357305324,0.053250334517291865
0.08,5.0,62.0,0.6,1.6072781017238218,1.3850021189548611,3.890399517475578,0.05243576039127514
0.08,5.0,62.0,0.7,1.8299060741299953,1.5564111157768916,4.362436525565451,0.05879799114439738
0.08,5.0,72.0,0.1,0.6450281701963103,0.5028424925919068,5.977724708185754,0.08056924207281006
0.08,5.0,72.0,0.2,0.581022058111718,0.40544403472653395,5.303796783266429,0.07148587594721757
0.08,5.0,72.0,0.3,0.615025236935546,0.5087738870088191,4.643439261673418,0.06258541505128987
0.08,5.0,72.0,0.4,1.0354313261032269,0.9047124202890552,4.093362492886855,0.05517134523266741
0.08,5.0,72.0,0.5,1.5070260864600733,1.3077537125572836,3.677944873635738,0.0495722445111302
0.08,5.0,72.0,0.6,1.9184066337039534,1.645132021775673,3.3670639644939877,0.04538211524837616
0.08,5.0,72.0,0.7,2.2498965999475717,1.907694115391969,3.409267860496885,0.0459509497262866
0.08,5.0,82.0,0.1,0.6597515468546422,0.5146539598025821,5.281703646948538,0.07118809922864335
0.08,5.0,82.0,0.2,0.5911270081839738,0.4126485613423067,4.604591141038567,0.06206181053815181
0.08,5.0,82.0,0.3,0.6213578814360522,0.5132719778073429,3.987096932960169,0.05373907191134641
0.08,5.0,82.0,0.4,1.0430291307388193,0.911162051545764,3.480310053077575,0.046908473849734234
0.08,5.0,82.0,0.5,1.523441986288668,1.3221675641921642,3.115414507120658,0.04199032204303857
0.08,5.0,82.0,0.6,1.9391774606754657,1.6630637474568184,2.8274742437110145,0.03810939243893821
0.08,5.0,82.0,0.7,2.2405498296806385,1.898760275341094,2.8472753233485517,0.03837627625452026
0.08,5.0,92.0,0.1,0.6580918608029186,0.5125140955399035,5.505217934317738,0.07420067970112988
0.08,5.0,92.0,0.2,0.5918653064788152,0.4120999410553123,4.764895059558678,0.06422242613136916
0.08,5.0,92.0,0.3,0.5869347318123352,0.4710348105841517,4.043431269922388,0.05449835994371515
0.08,5.0,92.0,0.4,0.97295226619401,0.8467392120375892,3.5220690110449198,0.04747131134350038
0.08,5.0,92.0,0.5,1.4478004032907477,1.258098443726225,3.175650691593165,0.04280220013465795
0.08,5.0,92.0,0.6,1.852370772856375,1.5918173453637054,2.8927711336535085,0.03898947996206791
0.08,5.0,92.0,0.7,2.153893516920331,1.8288931621554778,2.7626344808186323,0.037235466186485294
0.08,7.0,52.0,0.1,0.6980034001654453,0.5486234447484939,6.804962035007908,0.09171894997841665
0.08,7.0,52.0,0.2,0.7588404804304096,0.5449984974095883,6.744221893594464,0.09090027943134793
0.08,7.0,52.0,0.3,0.638441927356849,0.42958497346778335,6.612926589529086,0.08913064906985256
0.08,7.0,52.0,0.4,0.6354981465340226,0.46034184409183726,6.480298883706062,0.08734306027015694
0.08,7.0,52.0,0.5,0.770978432974886,0.6285873451930483,6.4591268337350485,0.08705769817963506
0.08,7.0,52.0,0.6,0.9100124904911053,0.7782929159554975,6.626158063058336,0.0893089861204528
0.08,7.0,52.0,0.7,1.0804616031172627,0.9178546093021761,7.150525180734602,0.09637653494571533
0.08,7.0,62.0,0.1,0.6911045418242803,0.5433564824805259,6.139109739183363,0.08274442916557948
0.08,7.0,62.0,0.2,0.7491056123505194,0.5377424707504129,5.913050356522238,0.07969754527353383
0.08,7.0,62.0,0.3,0.6175938529875956,0.41921128024763554,5.638550109644929,0.0759977635138589
0.08,7.0,62.0,0.4,0.6613297210725154,0.5107117418143939,5.300296746406726,0.07143870159062218
0.08,7.0,62.0,0.5,0.8963155549497781,0.762854303783167,5.0431735526441015,0.06797313202158087
0.08,7.0,62.0,0.6,1.1608603101777708,1.0100796836353858,4.905403102465888,0.06611622805012692
0.08,7.0,62.0,0.7,1.4145662586538292,1.2183674815662084,5.1201315553308495,0.06901039088688421
0.08,7.0,72.0,0.1,0.6675537097941168,0.523901553386867,6.1293610001014445,0.08261303326541027
0.08,7.0,72.0,0.2,0.6806758043825544,0.48314426865468424,5.685702563168414,0.07663329586566797
0.08,7.0,72.0,0.3,0.5629639036397495,0.39729397124471594,5.217612099192961,0.07032425760360682
0.08,7.0,72.0,0.4,0.7323285780946425,0.6100080937909973,4.716870068858555,0.06357513350915055
0.08,7.0,72.0,0.5,1.0833527376951164,0.9419302721563814,4.301952036629076,0.05798276634421682
0.08,7.0,72.0,0.6,1.454064740855843,1.264451710686521,3.9751131276502396,0.05357755123950166
0.08,7.0,72.0,0.7,1.7712322610636424,1.522137987705305,3.909982334885852,0.052699702414941006
0.08,7.0,82.0,0.1,0.6961732455114656,0.5473588419824293,5.391218432107004,0.07266416640582557
0.08,7.0,82.0,0.2,0.7191179203262252,0.5126353954127862,4.912445122983767,0.066211142132572
0.08,7.0,82.0,0.3,0.585882525570156,0.4114681097210674,4.404368278928383,0.05936315761695326
0.08,7.0,82.0,0.4,0.7396733014437556,0.6126257694356798,3.9013117499589116,0.05258283814132619
0.08,7.0,82.0,0.5,1.0791305121104655,0.9371336786130285,3.4996591545010776,0.04716926579191697
0.08,7.0,82.0,0.6,1.4348921751423886,1.2481792261802358,3.1830299959354833,0.04290166021134416
