h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu
0.08,0.3,52.0,0.1,2.7365507254198738,2.4224531711275468,8.39913986970045,0.07588479015369282
0.08,0.3,52.0,0.2,4.000553007454584,3.4138409437597557,11.74400779520732,0.1061050989658568
0.08,0.3,52.0,0.3,4.252555142033995,3.5531997537198614,11.472082887641207,0.1036483040001418
0.08,0.3,52.0,0.4,4.339063092164522,3.5699584152119868,10.555058462768924,0.09536314538547448
0.08,0.3,52.0,0.5,4.302728593222993,3.496654045900051,9.518221634534441,0.08599550222739
0.08,0.3,52.0,0.6,4.11924376038296,3.31223872903134,8.75036277952194,0.07905802898795973
0.08,0.3,52.0,0.7,3.7955167150643905,2.981510353542904,8.595639930234293,0.07766013454491921
0.08,0.3,62.0,0.1,2.6885022946320736,2.380678715577049,6.124962145145519,0.05533798392385343
0.08,0.3,62.0,0.2,3.9782936926592853,3.396593467250688,9.374442332697196,0.08469648086119942
0.08,0.3,62.0,0.3,4.232827694945678,3.5379793258911554,9.573466429260748,0.08649462948564805
0.08,0.3,62.0,0.4,4.3632684896049865,3.595404098154346,9.239976284423971,0.08348160314582524
0.08,0.3,62.0,0.5,4.4286432622942185,3.6164597131953897,8.594170997053661,0.07764686298522483
0.08,0.3,62.0,0.6,4.437880097618585,3.6107665819549726,7.8874476326034415,0.0712617384319973
0.08,0.3,62.0,0.7,4.382051682030049,3.525334654799942,7.51701015711156,0.0679148992878877
0.08,0.3,72.0,0.1,2.718801365160241,2.4074284531643153,3.442658097249933,0.03110382626477677
0.08,0.3,72.0,0.2,4.008217136454696,3.421974638231421,6.126886880400029,0.05535537357721743
0.08,0.3,72.0,0.3,4.29202726513398,3.5900520588982934,6.515473845773899,0.05886619025384318
0.08,0.3,72.0,0.4,4.464119574569773,3.685461229374351,6.613866683026395,0.05975515268611165
0.08,0.3,72.0,0.5,4.5955713526112065,3.767301189053229,6.467492345217561,0.058432685614384555
0.08,0.3,72.0,0.6,4.67891374300743,3.8298353805294734,6.094042728238668,0.05505863228784661
