x,z,y,u,w,v,uu,ww,vv,vw,uv,uw
-18.000000,0.000000,0.100000,21.755870,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,0.200000,25.000000,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,0.300000,26.903555,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,0.400000,28.255784,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,0.500000,29.305340,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,0.600000,30.163243,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,0.700000,30.888795,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,0.800000,31.517427,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,0.900000,32.072007,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.000000,32.568157,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.100000,33.017026,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.200000,33.426844,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.300000,33.803867,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.400000,34.152956,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.500000,34.477967,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.600000,34.782008,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.700000,35.067622,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.800000,35.336915,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,1.900000,35.591652,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,2.000000,35.833327,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,2.100000,36.063214,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,2.200000,36.282409,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,2.300000,36.491863,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,2.400000,36.692406,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,2.500000,36.884764,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
-18.000000,0.000000,2.600000,37.069579,0.000000,0.000000,19.611637,12.551448,4.902909,0.000000,-3.735550,0.000000
