y,u,Iu,Iv,Iw,xLu,yLu,zLu
20.0,13.338421672773078,0.141541431898579,0.0707707159492895,0.11323314551886321,252.38293779207734,126.19146889603867,75.7148813376232
25.0,13.76929721204487,0.13619667804311494,0.06809833902155747,0.10895734243449195,252.38293779207734,126.19146889603867,75.7148813376232
30.0,14.12134816149781,0.1319144557865467,0.06595722789327335,0.10553156462923736,252.38293779207734,126.19146889603867,75.7148813376232
35.0,14.419002998074994,0.1283286366077777,0.06416431830388886,0.10266290928622218,252.38293779207734,126.19146889603867,75.7148813376232
40.0,14.676843345546155,0.12523231681988803,0.06261615840994401,0.10018585345591043,252.38293779207734,126.19146889603867,75.7148813376232
45.0,14.904274650222543,0.1224978568387069,0.06124892841935345,0.09799828547096552,252.38293779207734,126.19146889603867,75.7148813376232
50.0,15.107718884817949,0.12004130330586153,0.060020651652930766,0.09603304264468923,252.38293779207734,126.19146889603867,75.7148813376232
55.0,15.29175658108753,0.11780466335069734,0.05890233167534867,0.09424373068055787,252.38293779207734,126.19146889603867,75.7148813376232
60.0,15.459769834270887,0.11574629450846124,0.05787314725423062,0.092597035606769,252.38293779207734,126.19146889603867,75.7148813376232
65.0,15.614327044777257,0.11383534035253014,0.05691767017626507,0.09106827228202412,252.38293779207734,126.19146889603867,75.7148813376232
70.0,15.75742467084807,0.11204833406005796,0.05602416703002898,0.08963866724804637,252.38293779207734,126.19146889603867,75.7148813376232
75.0,15.890645373542682,0.11036703343603203,0.05518351671801602,0.08829362674882563,252.38293779207734,126.19146889603867,75.7148813376232
80.0,16.015265018319234,0.1087769899368859,0.05438849496844295,0.08702159194950873,252.38293779207734,126.19146889603867,75.7148813376232
85.0,16.132327180611,0.10726657324697521,0.053633286623487604,0.08581325859758017,252.38293779207734,126.19146889603867,75.7148813376232
90.0,16.24269632299562,0.10582628851628416,0.05291314425814208,0.08466103081302734,252.38293779207734,126.19146889603867,75.7148813376232
95.0,16.347096575588864,0.10444828729840755,0.052224143649203775,0.08355862983872604,252.38293779207734,126.19146889603867,75.7148813376232
100.0,16.44614055759103,0.10312601006736528,0.05156300503368264,0.08250080805389223,252.38293779207734,126.19146889603867,75.7148813376232
105.0,16.540351159572804,0.10185392018448332,0.05092696009224166,0.08148313614758666,252.38293779207734,126.19146889603867,75.7148813376232
110.0,16.630178253860606,0.10062730272961537,0.050313651364807685,0.0805018421836923,252.38293779207734,126.19146889603867,75.7148813376232
115.0,16.716011687345404,0.09944211018283826,0.04972105509141913,0.07955368814627062,252.38293779207734,126.19146889603867,75.7148813376232
120.0,16.798191507043963,0.09829484250255864,0.04914742125127932,0.07863587400204691,252.38293779207734,126.19146889603867,75.7148813376232
125.0,16.87701609686282,0.09718245283216187,0.048591226416080935,0.0777459622657295,252.38293779207734,126.19146889603867,75.7148813376232
130.0,16.952748717550335,0.09610227256020763,0.048051136280103816,0.07688181804816611,252.38293779207734,126.19146889603867,75.7148813376232
135.0,17.025622811720353,0.09505195117561276,0.04752597558780638,0.07604156094049021,252.38293779207734,126.19146889603867,75.7148813376232
140.0,17.095846343621147,0.0940294075606138,0.0470147037803069,0.07522352604849104,252.38293779207734,126.19146889603867,75.7148813376232
145.0,17.163605377025387,0.09303279021783818,0.04651639510891909,0.07442623217427055,252.38293779207734,126.19146889603867,75.7148813376232
150.0,17.22906704631576,0.09206044454265166,0.04603022227132583,0.07364835563412134,252.38293779207734,126.19146889603867,75.7148813376232
