x,z,y,u,w,v,uu,ww,vv,vw,uv,uw
-18.000000,0.000000,0.100000,8.702348,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,0.200000,10.000000,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,0.300000,10.761422,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,0.400000,11.302313,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,0.500000,11.722136,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,0.600000,12.065297,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,0.700000,12.355518,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,0.800000,12.606971,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,0.900000,12.828803,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.000000,13.027263,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.100000,13.206810,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.200000,13.370738,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.300000,13.521547,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.400000,13.661182,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.500000,13.791187,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.600000,13.912803,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.700000,14.027049,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.800000,14.134766,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,1.900000,14.236661,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.000000,14.333331,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.100000,14.425285,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.200000,14.512964,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.300000,14.596745,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.400000,14.676962,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.500000,14.753905,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.600000,14.827832,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.700000,14.898969,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.800000,14.967519,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,2.900000,15.033665,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.000000,15.097568,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.100000,15.159377,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.200000,15.219224,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.300000,15.277230,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.400000,15.333504,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.500000,15.388148,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.600000,15.441252,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.700000,15.492902,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.800000,15.543175,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,3.900000,15.592142,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.000000,15.639869,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.100000,15.686419,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.200000,15.731846,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.300000,15.776206,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.400000,15.819545,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.500000,15.861911,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.600000,15.903345,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.700000,15.943889,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.800000,15.983579,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,4.900000,16.022451,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.000000,16.060538,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.100000,16.097871,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.200000,16.134479,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.300000,16.170390,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.400000,16.205629,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.500000,16.240223,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.600000,16.274192,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.700000,16.307561,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.800000,16.340350,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,5.900000,16.372578,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.000000,16.404264,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.100000,16.435427,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.200000,16.466083,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.300000,16.496249,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.400000,16.525939,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.500000,16.555170,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
-18.000000,0.000000,6.600000,16.583954,0.000000,0.000000,3.137862,2.008232,0.784465,0.000000,-0.597688,0.000000
