y,u,Iu,Iv,Iw,xLu,yLu,zLu
20.0,14.372060125708037,0.22033196135349664,0.11016598067674832,0.17626556908279734,252.38293779207734,126.19146889603867,75.7148813376232
25.0,15.135692922935501,0.2084262497118175,0.10421312485590875,0.166740999769454,252.38293779207734,126.19146889603867,75.7148813376232
30.0,15.75962634870315,0.19941921492264122,0.09970960746132061,0.15953537193811299,252.38293779207734,126.19146889603867,75.7148813376232
35.0,16.287154543615,0.1922320943989081,0.09611604719945405,0.15378567551912647,252.38293779207734,126.19146889603867,75.7148813376232
40.0,16.744120251416074,0.1862803207194443,0.09314016035972215,0.14902425657555546,252.38293779207734,126.19146889603867,75.7148813376232
45.0,17.147192571698262,0.1812151414727409,0.09060757073637045,0.14497211317819272,252.38293779207734,126.19146889603867,75.7148813376232
50.0,17.50775304864354,0.17681344741070096,0.08840672370535048,0.14145075792856077,252.38293779207734,126.19146889603867,75.7148813376232
55.0,17.83391967447511,0.17292472518340152,0.08646236259170076,0.13833978014672121,252.38293779207734,126.19146889603867,75.7148813376232
60.0,18.131686474411183,0.16944310294922243,0.08472155147461122,0.13555448235937795,252.38293779207734,126.19146889603867,75.7148813376232
65.0,18.405605377280736,0.16629155204254656,0.08314577602127328,0.13303324163403726,252.38293779207734,126.19146889603867,75.7148813376232
70.0,18.659214669323035,0.16341244509197003,0.08170622254598502,0.13072995607357604,252.38293779207734,126.19146889603867,75.7148813376232
75.0,18.895319271638648,0.16076164861929573,0.08038082430964787,0.1286093188954366,252.38293779207734,126.19146889603867,75.7148813376232
80.0,19.11618037712411,0.15830468296512787,0.07915234148256393,0.1266437463721023,252.38293779207734,126.19146889603867,75.7148813376232
85.0,19.32364749533517,0.1560141438078666,0.0780070719039333,0.12481131504629328,252.38293779207734,126.19146889603867,75.7148813376232
90.0,19.519252697406298,0.1538679218945423,0.07693396094727115,0.12309433751563384,252.38293779207734,126.19146889603867,75.7148813376232
95.0,19.70427934582958,0.15184794377829872,0.07592397188914936,0.12147835502263898,252.38293779207734,126.19146889603867,75.7148813376232
100.0,19.879813174351575,0.14993926198244562,0.07496963099122281,0.1199514095859565,252.38293779207734,126.19146889603867,75.7148813376232
105.0,20.046780892318147,0.1481293851780872,0.0740646925890436,0.11850350814246975,252.38293779207734,126.19146889603867,75.7148813376232
110.0,20.205979800183144,0.14640777674814542,0.07320388837407271,0.11712622139851635,252.38293779207734,126.19146889603867,75.7148813376232
115.0,20.358100816424653,0.14476547373974988,0.07238273686987494,0.11581237899179991,252.38293779207734,126.19146889603867,75.7148813376232
120.0,20.50374660011922,0.14319479336231836,0.07159739668115918,0.1145558346898547,252.38293779207734,126.19146889603867,75.7148813376232
125.0,20.64344597157904,0.1416891041322645,0.07084455206613224,0.1133512833058116,252.38293779207734,126.19146889603867,75.7148813376232
130.0,20.777665502988768,0.14024264542433207,0.07012132271216603,0.11219411633946566,252.38293779207734,126.19146889603867,75.7148813376232
135.0,20.906818920401413,0.1388503837325571,0.06942519186627855,0.11108030698604568,252.38293779207734,126.19146889603867,75.7148813376232
140.0,21.031274795031074,0.1375078970960652,0.0687539485480326,0.11000631767685216,252.38293779207734,126.19146889603867,75.7148813376232
145.0,21.15136288428152,0.1362112813661809,0.06810564068309045,0.10896902509294473,252.38293779207734,126.19146889603867,75.7148813376232
150.0,21.267379397346687,0.13495707357898795,0.06747853678949398,0.10796565886319037,252.38293779207734,126.19146889603867,75.7148813376232
