y,u,Iu,Iv,Iw,xLu,yLu,zLu
20.0,10.35212054781499,0.3085633417661442,0.1542816708830721,0.24685067341291536,252.38293779207734,126.19146889603867,75.7148813376232
25.0,11.078324698844304,0.28833645857419127,0.14416822928709563,0.23066916685935301,252.38293779207734,126.19146889603867,75.7148813376232
30.0,11.676395962798898,0.2735677105141673,0.13678385525708364,0.21885416841133384,252.38293779207734,126.19146889603867,75.7148813376232
35.0,12.184840412611765,0.2621523797138579,0.13107618985692895,0.20972190377108635,252.38293779207734,126.19146889603867,75.7148813376232
40.0,12.627052841255423,0.2529715326891888,0.1264857663445944,0.20237722615135106,252.38293779207734,126.19146889603867,75.7148813376232
45.0,13.018316692205769,0.24536850547753378,0.12268425273876689,0.19629480438202704,252.38293779207734,126.19146889603867,75.7148813376232
50.0,13.369168319674825,0.23892921640449916,0.11946460820224958,0.19114337312359933,252.38293779207734,126.19146889603867,75.7148813376232
55.0,13.68717978015661,0.2333778734484637,0.11668893672423185,0.18670229875877098,252.38293779207734,126.19146889603867,75.7148813376232
60.0,13.977976076473286,0.22852270551357926,0.11426135275678963,0.1828181644108634,252.38293779207734,126.19146889603867,75.7148813376232
65.0,14.245850319833425,0.22422564037139983,0.11211282018569992,0.17938051229711988,252.38293779207734,126.19146889603867,75.7148813376232
70.0,14.494153630503025,0.22038436959005117,0.11019218479502559,0.17630749567204096,252.38293779207734,126.19146889603867,75.7148813376232
75.0,14.725552041787356,0.21692123334562913,0.10846061667281456,0.1735369866765033,252.38293779207734,126.19146889603867,75.7148813376232
80.0,14.942201386576029,0.2137760580224467,0.10688802901122335,0.17102084641795737,252.38293779207734,126.19146889603867,75.7148813376232
85.0,15.14586971056479,0.21090138576668407,0.10545069288334204,0.16872110861334727,252.38293779207734,126.19146889603867,75.7148813376232
90.0,15.338025040353408,0.20825920561452937,0.10412960280726469,0.1666073644916235,252.38293779207734,126.19146889603867,75.7148813376232
95.0,15.519899644953385,0.205818657573501,0.1029093287867505,0.16465492605880083,252.38293779207734,126.19146889603867,75.7148813376232
100.0,15.692537962952313,0.20355438477453294,0.10177719238726647,0.16284350781962637,252.38293779207734,126.19146889603867,75.7148813376232
105.0,15.85683293756263,0.20144532790232939,0.10072266395116469,0.16115626232186353,252.38293779207734,126.19146889603867,75.7148813376232
110.0,16.013553969408996,0.19947382802729896,0.09973691401364948,0.15957906242183917,252.38293779207734,126.19146889603867,75.7148813376232
115.0,16.16336870555013,0.1976249486595524,0.0988124743297762,0.15809995892764195,252.38293779207734,126.19146889603867,75.7148813376232
120.0,16.306860227055086,0.1958859563473813,0.09794297817369065,0.15670876507790504,252.38293779207734,126.19146889603867,75.7148813376232
125.0,16.444540754120872,0.19424591774016542,0.09712295887008271,0.15539673419213235,252.38293779207734,126.19146889603867,75.7148813376232
130.0,16.576862682576177,0.19269538342482928,0.09634769171241464,0.15415630673986344,252.38293779207734,126.19146889603867,75.7148813376232
135.0,16.704227552016448,0.19122613725494675,0.09561306862747337,0.1529809098039574,252.38293779207734,126.19146889603867,75.7148813376232
140.0,16.8269933939769,0.18983099569903747,0.09491549784951873,0.15186479655923,252.38293779207734,126.19146889603867,75.7148813376232
145.0,16.945480799081054,0.18850364580820778,0.09425182290410389,0.15080291664656623,252.38293779207734,126.19146889603867,75.7148813376232
150.0,17.059977962148956,0.18723851330212346,0.09361925665106173,0.14979081064169877,252.38293779207734,126.19146889603867,75.7148813376232
