h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu,RMSE relative Iv,RMSE Iv,RMSE relative Iw,RMSE Iw
0.04,1.8,37.0,0.2,2.100885275159505,1.2500301941577292,3.347384160691034,0.40533376276857647,3.9556359636801397,0.3625221295800102,3.033811866754412,0.2802626259258736
0.04,1.8,37.0,0.25,1.571599498519281,0.9265313681677265,2.505849505675645,0.3241067331932553,2.7007830887999242,0.26819782375601214,1.9798938777919082,0.20498149593271323
0.04,1.8,37.0,0.3,1.152168181072413,0.6802200857078345,1.642649777938967,0.25046675494222126,1.663150660185363,0.19099834057778078,1.1878783433575826,0.1610624212485208
0.04,1.8,37.0,0.35,0.8412592558631804,0.504966778919637,1.1657266672616953,0.22690105521137913,1.2509792156996504,0.15611851390931428,1.1580001463992606,0.1746687176156974
0.04,1.8,37.0,0.4,0.6483071271061644,0.4070811919907193,1.5895856933178296,0.27754940708351183,1.6334132534134158,0.17476975763724334,1.7832722149465343,0.22858134352597584
0.04,1.8,42.0,0.2,2.133654920066419,1.2694703723287566,3.269220550011651,0.4004531532612888,3.8845690678622726,0.3614089191621417,3.375921367068107,0.3106371502000031
0.04,1.8,42.0,0.25,1.5991210029362184,0.9420717468018863,2.4592998053442705,0.3244667753810773,2.6703727324153723,0.26997501250358286,2.003162746438271,0.21335857627835828
0.04,1.8,42.0,0.3,1.1692257749395314,0.6885731606034101,1.6574014009962648,0.25918251361413436,1.7014492441081919,0.19761423288468005,1.2506461673438156,0.16414574742296992
0.04,1.8,42.0,0.35,0.8423051437583342,0.5022990854906597,1.251344708121055,0.24245981396100946,1.3290323936561992,0.16589947483426443,1.158845692890662,0.17134456500117737
0.04,1.8,42.0,0.4,0.6269479641934977,0.38880027483728025,1.6299572432868574,0.29017880240242644,1.6460405433519947,0.18142961655956588,1.5963417135634226,0.213387009970851
0.04,1.8,47.0,0.2,2.1568870215759097,1.2835613973375974,3.2905252901097843,0.4038430697536227,3.8680527005785246,0.36156066385573954,3.201770079015213,0.290542246120631
0.04,1.8,47.0,0.25,1.6193311665721293,0.9537842506950923,2.4922509229213743,0.32891115698187157,2.679019602836701,0.27174392267058756,2.167266563221397,0.21175716587122773
0.04,1.8,47.0,0.3,1.1813647957706779,0.6946760745537656,1.701531107454735,0.26396836349340846,1.7390497667016882,0.20119425033385513,1.3270689466257413,0.15728555221211885
0.04,1.8,47.0,0.35,0.8409106774460661,0.49906252102265664,1.2734836509085947,0.2446563859604658,1.3550997048201219,0.16921327683543866,1.0181321231462241,0.15300623273302952
0.04,1.8,47.0,0.4,0.6057466737877615,0.37168933972537516,1.579698994741524,0.2866673442292125,1.6059888015243071,0.18117251289566413,1.4011138664102427,0.19273596039920443
0.04,1.8,52.0,0.2,2.176426296948947,1.2958131176953007,3.5654485009796195,0.4251956269968205,4.056476969210823,0.36975993085403264,3.581961146782725,0.32474213562814785
0.04,1.8,52.0,0.25,1.6386695561934514,0.9655137371679409,2.7370916898325905,0.34154321711995883,2.848097526755365,0.27744101307201774,2.223918530196743,0.22426387638552
0.04,1.8,52.0,0.3,1.1955957321504407,0.7027116108975175,1.8579789371662332,0.2586700917134902,1.8315670397929724,0.19976229630891354,1.3987948439732596,0.1632790649109192
0.04,1.8,52.0,0.35,0.8447542724139055,0.4998468616760862,1.1827378158702746,0.21086040114845017,1.2587215523245399,0.15515072753083398,1.081250166335015,0.15321835440953888
0.04,1.8,52.0,0.4,0.5932187915525391,0.3609305117787945,1.2313875332405115,0.23246023287207654,1.3406562586271216,0.15613126141776984,1.2914129913820682,0.18174579878141986
0.04,2.1,37.0,0.2,2.418344698335101,1.4445088402066948,3.171427205014776,0.4092327516376391,3.8116928042029814,0.35512785745047115,2.854315095457157,0.2791909104311467
0.04,2.1,37.0,0.25,1.8617097491517627,1.0972053044603736,2.521726548081371,0.35635680517501633,2.655241721202412,0.269126659886285,1.9973386194633356,0.22855016865328634
0.04,2.1,37.0,0.3,1.3896932675595957,0.8129190345828067,1.8557514450434045,0.3092716026511932,1.717037146212694,0.2007612295710343,1.4255804292332208,0.20535541525209206
0.04,2.1,37.0,0.35,1.0240424011758038,0.5990567423217248,1.5282477608779916,0.2982970314201356,1.3580395592852994,0.17141673768138668,1.4568923873776212,0.22215039524324112
0.04,2.1,37.0,0.4,0.7798217122526853,0.46502935674431095,1.8589574967507416,0.33834619651597975,1.6943196501382507,0.18800848429267245,1.9724369128338026,0.2671785754464704
0.04,2.1,42.0,0.2,2.4631372634225404,1.473235633888402,3.11115824082504,0.40938863792540303,3.759448839340133,0.3684019182751539,3.128260658082944,0.3017680850418994
0.04,2.1,42.0,0.25,1.9176443131561192,1.1324004538381187,2.495392160918051,0.36156804810391674,2.7264495348857456,0.29123490521343004,1.9764283464384031,0.23140519891327235
0.04,2.1,42.0,0.3,1.4498593977762084,0.8501181274335459,1.8881361261822027,0.32112130715991805,1.9354311535736883,0.23273176145958077,1.4414906890781642,0.20497057173609862
0.04,2.1,42.0,0.35,1.0800084067019495,0.6327289014452724,1.617830686020016,0.3149152847555873,1.6496930193152706,0.20763510267095653,1.4565997179548773,0.21931479030303996
0.04,2.1,42.0,0.4,0.8190327543083498,0.4864254406569005,1.9208041251827008,0.3532439466500626,1.8873340931744602,0.21782189223543005,1.8346696178778727,0.2562307781044202
0.04,2.1,47.0,0.2,2.464146932947276,1.474644127442158,3.1341885210438387,0.4131767078657306,3.78021545610975,0.3806706518472275,2.9492125329340646,0.2802300213641657
0.04,2.1,47.0,0.25,1.9198357574382972,1.1343570456668135,2.5276183792826807,0.3659196304715996,2.81974700581534,0.3080472304314198,2.099107988558053,0.22598977901481293
0.04,2.1,47.0,0.3,1.4502098443110527,0.8506227485820641,1.9254851580775363,0.3252245665728725,2.095904874202057,0.25336973610642427,1.4781566470516,0.19630281876265887
0.04,2.1,47.0,0.35,1.0755840793706313,0.6298642089381562,1.6349365211847944,0.3168671102055323,1.8168723057068281,0.22829144612202235,1.3386250804596924,0.2036951909426117
0.04,2.1,47.0,0.4,0.805285392395552,0.47701407622723097,1.8834933934238174,0.3509016357288675,1.9790909074663532,0.2335108134839038,1.6787514352585442,0.23918186455285492
0.04,2.1,52.0,0.2,2.4621128619145103,1.4735276948455305,3.3618290334871554,0.42165037394893223,3.91238448990195,0.37347664396982383,3.296757610791677,0.30845449599383784
0.04,2.1,52.0,0.25,1.9108554461034932,1.1285091850501303,2.7124207271300445,0.3647981338344571,2.865691859598501,0.29411618985220805,2.13614423022005,0.23245568399515767
0.04,2.1,52.0,0.3,1.431783384110701,0.8385195616532625,2.005129279927517,0.3080476274383567,2.0091392735688682,0.22982339730079152,1.5112829983448588,0.19560615350598484
0.04,2.1,52.0,0.35,1.0477006320472664,0.6115745629722201,1.5002033298294026,0.2789549104167238,1.5602727632267759,0.19464457231037346,1.3446295165887328,0.19833286821553214
0.04,2.1,52.0,0.4,0.7686292719661164,0.45289166196653036,1.5489036608642581,0.2974808847831799,1.6146891296286054,0.19392895243733158,1.5535817745687692,0.22572643102958162
0.04,2.4,37.0,0.2,2.652726834404832,1.5899268831303,2.9977241794686185,0.4200384811650949,3.701298552486332,0.37722092385295747,2.713299755874399,0.2862549277386785
0.04,2.4,37.0,0.25,2.1183856580761162,1.2534309040584055,2.5318020091771043,0.3904156838380983,2.8084803137947847,0.3108579352266365,2.036771969505814,0.255139702228258
0.04,2.4,37.0,0.3,1.6413873846155673,0.9630297869078297,2.0701616216294556,0.3652479640875779,2.12130067752198,0.26059641191500155,1.6535683473277845,0.24607063792144704
0.04,2.4,37.0,0.35,1.2557734854082165,0.7336871153374448,1.8749616516090382,0.36485304027296,1.891235347302905,0.23933526399899716,1.745998413337651,0.2657556208398817
0.04,2.4,37.0,0.4,0.9853651007379327,0.5798977661218885,2.1515360697206094,0.3995712555952651,2.1349514904334432,0.24890612733035228,2.1951436527694974,0.30577142402160473
0.04,2.4,42.0,0.2,2.669044003259213,1.6015178380212773,2.973596017132632,0.42343009287907973,3.69558842819419,0.380439727708349,2.9783659258649435,0.30610657396098145
0.04,2.4,42.0,0.25,2.1456490411609077,1.271718652420213,2.536878433158169,0.39727464647889754,2.8258727547144895,0.31517380778225373,2.0057414213282603,0.2565620668685864
0.04,2.4,42.0,0.3,1.6744419401059607,0.9845211058936295,2.1138156408581206,0.3756486497772972,2.1703774270477543,0.2664249963765411,1.6586326123758655,0.2450793994521573
0.04,2.4,42.0,0.35,1.2871366337042303,0.7534411511515252,1.94227974125806,0.3769752308634021,1.9412509853235527,0.245235211193429,1.7418210538014134,0.2631301657558868
0.04,2.4,42.0,0.4,1.0039924582964563,0.5904341533176836,2.1883637008895493,0.4095531136118755,2.135929696252431,0.25230513517643743,2.07334610095401,0.2962834833044934
0.04,2.4,47.0,0.2,2.653630880476996,1.5929646269406095,3.0066533548205303,0.42627124711754294,3.706827415103693,0.38146560205843244,2.7888465486579226,0.2834070400005418
0.04,2.4,47.0,0.25,2.1306346041066595,1.26341795372367,2.5725553137466544,0.39966439900887885,2.845055361773315,0.31638824656560394,2.1076398801740694,0.2488724991623435
0.04,2.4,47.0,0.3,1.6586019354861383,0.9755808645491117,2.1421297756650457,0.37660293721487187,2.1936696725636784,0.2675924705016172,1.6671930639171053,0.23472756662829242
0.04,2.4,47.0,0.35,1.2687241726716325,0.7427247717325466,1.9397641012673246,0.37507323869742026,1.9428872354366644,0.24522384632740565,1.623285258323378,0.24731058401350636
0.04,2.4,47.0,0.4,0.9791998002376704,0.5753477987235807,2.13290505079487,0.4034941375243809,2.089531813410908,0.24973898057184055,1.9229064595068979,0.2792670038976463
0.04,2.4,52.0,0.2,2.6667016889837525,1.600884308985364,3.1666392003304153,0.42410484337734566,3.8150350356708875,0.38182556783414956,3.106664142232945,0.30587627519649907
0.04,2.4,52.0,0.25,2.1365283268333393,1.2662564758319772,2.687445339735691,0.3894019919265615,2.9258127946939285,0.31420423153235527,2.1094642132146135,0.24994103514995092
0.04,2.4,52.0,0.3,1.6541219671537726,0.9714706926662001,2.1635318806440367,0.35458597050936497,2.204802934048874,0.2603609344995581,1.6672143169150566,0.23006199790232756
0.04,2.4,52.0,0.35,1.2539118481616411,0.7318586314811775,1.8008972742291005,0.33892466701221474,1.8392942836419777,0.23114853537378297,1.6047137063324302,0.23967270700630902
0.04,2.4,52.0,0.4,0.9550249130336551,0.5583374784882762,1.8399462098533823,0.3556668619664222,1.8816657083852253,0.22942831581079323,1.7991803238147877,0.26536402478789095
0.05,1.8,37.0,0.2,2.141247481192944,1.270962152934154,4.265570766161732,0.4953966588943518,4.905394183270625,0.4206887953024468,3.946483485711865,0.3540836375698249
0.05,1.8,37.0,0.25,1.5827632264459004,0.928060780673656,3.370592952857742,0.39738688637950004,3.597382342746351,0.3200653704438368,2.8393199900370556,0.2594405786486452
0.05,1.8,37.0,0.3,1.1286283161070203,0.6591090165880077,2.334038163173698,0.2831665646244071,2.35615249001276,0.22141054908701946,1.7823752665629362,0.16984561522326685
0.05,1.8,37.0,0.35,0.7769543477581582,0.4568633344835204,1.263086294585743,0.17024253417872953,1.3070996374068382,0.13645661184106106,0.8869113847644574,0.10375146757316588
0.05,1.8,37.0,0.4,0.5363496285462,0.32684341562093955,0.6151796571718561,0.12153347718409176,0.7536815080597312,0.08994160428764973,0.7369102068121395,0.10693241473959832
0.05,1.8,42.0,0.2,2.1831180567385857,1.2960214511282588,4.230016623032141,0.4916579255634239,4.827824018577912,0.41678087616430404,4.172070826143446,0.3756257322894793
0.05,1.8,42.0,0.25,1.6206031754442494,0.9499168146241243,3.375553947912182,0.39880949103804475,3.556921794690295,0.31828948763375675,2.9699082411965256,0.2742861620785168
0.05,1.8,42.0,0.3,1.1566901860896428,0.6742211227658664,2.3893120571582505,0.29105254305842854,2.3731953098724623,0.2234532623482513,1.937587194994457,0.18340397091736965
0.05,1.8,42.0,0.35,0.7897054804129753,0.4615241099236668,1.3833623735303202,0.18619427213415612,1.3905088853388243,0.14321998356528065,1.1054645443061797,0.11513122032842359
0.05,1.8,42.0,0.4,0.5271025814621236,0.31608847839860255,0.7167551318044051,0.13546975820405072,0.8240662466609264,0.09736088002711064,0.6563318845084939,0.09530121184040682
0.05,1.8,47.0,0.2,2.2177952312668285,1.317248055810698,4.253623955677974,0.49494403287232613,4.801671970163764,0.41520663277667147,4.204476118430038,0.37820835822659676
0.05,1.8,47.0,0.25,1.6545415722759875,0.9701150957463749,3.433772681135449,0.4063938416355281,3.556069811193994,0.31823974433200447,3.143052431584276,0.28508294537307033
0.05,1.8,47.0,0.3,1.1841708273138678,0.6898063513780467,2.482319213786825,0.30285233554531327,2.4091387198014504,0.22573770346793373,2.144458876545719,0.19655043680553333
0.05,1.8,47.0,0.35,0.8052128954217146,0.4688744674840299,1.5115612938288598,0.20141258015637378,1.4658293329439682,0.14791963849453477,1.2565358933022224,0.12083501601376143
0.05,1.8,47.0,0.4,0.5244413261245567,0.3107236391636859,0.8122550479818652,0.14501252207788712,0.8842468056932111,0.10122008077692311,0.640434873031746,0.08391659636035025
0.05,1.8,52.0,0.2,2.2496949383982154,1.3372700341827504,4.590722789681802,0.5328692497973638,5.043605550596482,0.4304223097886443,4.455148778292908,0.40218135347676426
0.05,1.8,52.0,0.25,1.6893707906024538,0.9914933385028877,3.7851479546233286,0.44480695423460964,3.804130777876581,0.33405916082486053,3.2876399656116844,0.3023081679649421
0.05,1.8,52.0,0.3,1.2162786176177982,0.7089430155615853,2.8317009898983785,0.33840349171197315,2.6505336856993096,0.24034350172786934,2.2820338436287146,0.21118116696530986
0.05,1.8,52.0,0.35,0.8291504188189237,0.48223353203825925,1.8229262554062866,0.22541641129680545,1.6721643981720578,0.15772121326062827,1.4461116495631405,0.13562026207023845
0.05,1.8,52.0,0.4,0.5345164786477621,0.3143667907140427,0.9360211890247323,0.1339923681992489,0.9549429570981701,0.09756279308609656,0.7663092865699138,0.08620232879383724
0.05,2.1,37.0,0.2,2.477010897133292,1.4782898361912926,3.9213804141283024,0.4610384756213416,4.701840195761372,0.40093358658546363,3.6272184226260142,0.3260922815075288
0.05,2.1,37.0,0.25,1.8933811552714301,1.1123978780901127,3.197657194576416,0.38757152589265226,3.440196864016113,0.3039143480597971,2.6730807243203234,0.2503961295679626
0.05,2.1,37.0,0.3,1.3855988276914628,0.8046208183708504,2.318637310386061,0.29964250224007805,2.246899869592252,0.20936187131433032,1.7753103336263691,0.18335252397211574
0.05,2.1,37.0,0.35,0.9800265221359334,0.5646950719484991,1.4329456930763864,0.22031313777394357,1.2400634433035422,0.12896728982088765,1.087366367481802,0.14475421761470017
0.05,2.1,37.0,0.4,0.6922933353818641,0.4011825330381392,0.9903055250131974,0.1955886427176304,0.7285930055181596,0.08851484076573694,1.0162319602332675,0.1547538475989444
0.05,2.1,42.0,0.2,2.5283055815739797,1.5114310304226597,3.8878971104161897,0.46024047427746323,4.562032355798161,0.39960540039768283,3.7981091238108875,0.34146159486505534
0.05,2.1,42.0,0.25,1.9601528620168227,1.1546738842979472,3.203225442636156,0.39196184599172723,3.402941779037742,0.309739412644696,2.7507833099006365,0.2584989099956414
0.05,2.1,42.0,0.3,1.4600860305444163,0.850955137827706,2.3722802543055033,0.3102151639443267,2.3240554713448223,0.22446311191576754,1.8713037345445132,0.18910988087589786
0.05,2.1,42.0,0.35,1.0536828901353779,0.6095939657159647,1.5448581042453362,0.23719769686658193,1.4495945925951836,0.15551853855383388,1.2251950879868183,0.14803809593007497
0.05,2.1,42.0,0.4,0.7538780358396542,0.4372457218039363,1.0874719675973534,0.21080170593168684,0.988220518891995,0.12036119549059839,0.9622254849493687,0.14575481866928477
0.05,2.1,47.0,0.2,2.5347033875041602,1.516641605101673,3.9030426309549404,0.4646444795720269,4.527271215414073,0.40329287458410956,3.8152079439863167,0.3405396151364935
0.05,2.1,47.0,0.25,1.9722618148052071,1.1632638983367287,3.2533612013908444,0.40063288810550585,3.4316237268953134,0.31775562618819714,2.894637559627433,0.26424036461145123
0.05,2.1,47.0,0.3,1.474176003764292,0.8604244132580654,2.456510817244029,0.32278060474231096,2.4208492503170573,0.2376068008760917,2.036223143688119,0.19508903269989455
0.05,2.1,47.0,0.35,1.0666967656782707,0.617999520721604,1.6588524948723695,0.2520707927359277,1.6154395049249912,0.173786469925922,1.3135225717940144,0.14541600685710038
0.05,2.1,47.0,0.4,0.7618731504563009,0.44200485009468254,1.1702771990368261,0.22155372623953845,1.161459428865475,0.13917486651063335,0.9147560300378448,0.13300467157724874
0.05,2.1,52.0,0.2,2.540776179710022,1.5208873922821555,4.197647438940407,0.49171245901501026,4.790259724814561,0.4124751261699512,4.0654059105710525,0.36342943327704785
0.05,2.1,52.0,0.25,1.9749861049741755,1.1649838397972803,3.5580475832146727,0.4264849232332958,3.6453215574356674,0.32323651926178854,3.044679715075857,0.27974886255459075
0.05,2.1,52.0,0.3,1.4700869550719886,0.8574845996490728,2.747994935170362,0.3428137982421405,2.576041838450802,0.23700420256896101,2.1740344625896593,0.20626241190372968
