u,Iu,Iv,Iw
0.1720241178676169,0.028589003508385325,0.20032926161025943,0.030501670940003302
2.100581598270199,0.019312755724321135,0.22267949734934184,0.03609351327962396
0.03002035013124165,0.14557280516438117,0.29322644633562733,0.15122725405008464
0.18890252161362472,0.019199265132833772,0.22333949424658295,0.03580107301632347
0.039277173363938586,0.1557910134669372,0.25028879954653843,0.13597588691416676
0.03002035013124165,0.14557280516438117,0.29322644633562733,0.15122725405008464
0.27881247679503296,0.06926055460525059,0.1727403956214396,0.09937077578337256
1.3019289197716446,0.04947360333623471,0.1809507865372598,0.0726955837697186
0.6558560220238764,0.02008450337693365,0.212336967894594,0.03326383042526617
0.04939441943061375,0.12599722414178788,0.252637743823367,0.10916404193882533
0.03975001306781301,0.12964681033619846,0.2689252778939445,0.13348955682995384
0.04920229522498758,0.13747326244944041,0.2510436164467759,0.12161184661513214
0.03661585933739764,0.13773074956510797,0.26909912171424394,0.13987360100292992
0.045967321842874866,0.11826585335741083,0.28261182303970694,0.1314425519719662
0.05151192344044657,0.10919220292258663,0.24586513082711922,0.09944323079249144
0.031654935534161,0.1395042097600377,0.28361241090881123,0.14774066974320965
0.40081771418272766,0.02129928613194404,0.20978121790443646,0.035405625479589475
0.052888199315428215,0.11107435836063173,0.23688592298541933,0.09782225055096201
0.05342717401112672,0.1032693030116559,0.24533952423481445,0.0956289018328932
0.1428234694398737,0.029729166094149138,0.2317178727660083,0.042465126212960044
0.049729586508307666,0.12383514887692203,0.25237824226459943,0.10775936581047257
0.27104647098473916,0.06386341884244379,0.1749179845439687,0.092621555188965
0.5430046463857795,0.027946956724065886,0.1998931519700074,0.03053328557638788
0.2845269300034705,0.0674666384637413,0.17346004122131262,0.09716693323271673
0.2032414611713336,0.019356016756696445,0.22459994640792358,0.03553530395881209
0.07288035293714343,0.09006763871152888,0.20515878935838422,0.06574432758684687
0.0579162969125644,0.1145150018444273,0.2044244617947083,0.08012195578318994
0.37587523341921714,0.03936648475545359,0.18560667558301844,0.05735193464944611
0.03544698069055717,0.13039371567348454,0.28290544956814,0.14087122331766308
0.24956578486420813,0.04598465615204787,0.18249893392241895,0.06747001076464332
0.044006381859836505,0.14310592450685436,0.250632134927862,0.12600752592500258
0.1053514352183536,0.08709043780612584,0.20530444889921623,0.06394112008083834
0.08284860219948091,0.07193023171414727,0.20589882246471214,0.05465441101711964
0.2530179465093577,0.05124593168373605,0.18018152930105527,0.07530139485536995
0.0394457202706721,0.15408057132375613,0.2502672789795962,0.13461748674136353
0.04643456661691419,0.14024586373214454,0.2508310899524848,0.12377358664018363
0.08002663921428312,0.07456818308528741,0.2058260733539845,0.05627655511311962
0.06870888998361518,0.0841966496414564,0.20544256274139214,0.06217901648389237
0.22917938633088528,0.036332200109959835,0.18714886784995632,0.05269547234131663
0.04006667189523456,0.15240946152527343,0.250269349874615,0.13329563869037828
0.27365646319863984,0.06566719136294688,0.174188746270298,0.09491723609399541
0.2580422149814094,0.05482750259520506,0.17865437322763889,0.0804455029778999
0.6558560220238764,0.02008450337693365,0.212336967894594,0.03326383042526617
0.057632124826520574,0.123070570520637,0.20464355532913206,0.08509766655135766
0.2543871084710578,0.04427729510093917,0.18327607481767744,0.0648765979382162
0.2555737236301725,0.053031846567856214,0.17941522592497067,0.0778877606888214
0.07480185955520641,0.07861218249463837,0.2056840592814888,0.058760498562018634
0.5615335206624552,0.019218069670598848,0.22397952593321768,0.03561687636962182
0.26584041716175977,0.060247615610579106,0.17639579921008847,0.08788782443982776
0.24839014685789804,0.02904576760842246,0.19160945512778416,0.04130558722208415
0.22654835412398866,0.03490793246584052,0.1879128289593751,0.05051275220254377
0.036823329141369716,0.1271017622776207,0.2827585883333565,0.1383580337575496
0.04512397612516278,0.14457573184842065,0.25054204401101515,0.1271561960550826
0.03279668632802505,0.13387881789543923,0.28312347503987173,0.1435117655334932
0.037449185380328306,0.13437265954032349,0.26897386321394523,0.1372219761899755
0.06283502114246492,0.0931432823247431,0.20500955255325662,0.0675941852510981
0.23715401861680788,0.04096217383417825,0.18483095602730754,0.05980239298339695
0.05912853876394041,0.08627563546116028,0.23537418218608513,0.08223475347696176
0.031654935534161,0.1395042097600377,0.28361241090881123,0.14774066974320965
0.04134050913328162,0.14760997683573648,0.2503905894438189,0.1295266417507451
0.05108376519818948,0.11692307349914127,0.2826137578141846,0.13036307098518687
0.03279668632802505,0.13387881789543923,0.28312347503987173,0.1435117655334932
0.19835329870057172,0.01994996639451695,0.2213050280658195,0.037027289487766506
0.052090070388886224,0.10519194515467242,0.2454944874504017,0.09687027894312598
0.06025780990698892,0.09964988963662019,0.20472163501134566,0.07146176932191678
0.06923846216476152,0.09633149187082247,0.2048616413846834,0.06949738989085555
0.06276250974070116,0.09797359685571913,0.20479017595006432,0.07047140366774722
0.06252653334440177,0.0786721011483079,0.23533821011265074,0.07730040759884294
0.23742388446551418,0.02464960444483286,0.2069421032999469,0.03948172493857821
0.3432092336235377,0.025680769132048187,0.19681496998800443,0.032613353346095886
0.17818229053599285,0.02051387052294751,0.2140398521384537,0.03277422985297145
0.268542033159448,0.06205656367378559,0.1756542228882507,0.09027848002671508
0.263243862367688,0.05843824485817033,0.17714460850421734,0.08545012526696123
0.15684059242566892,0.033322435420354,0.2024923109229728,0.03168318755726644
0.13582589777389292,0.03230673805349476,0.23251811405912684,0.04453540863146404
0.260642043420434,0.056630746429066715,0.17789667280160285,0.08296819842952671
0.05940395000322607,0.10673620838423391,0.20449586176114065,0.07560927476232643
0.268542033159448,0.06205656367378559,0.1756542228882507,0.09027848002671508
0.12572554521939983,0.10311253222255869,0.20459608220982886,0.07349556582843263
0.18736345347837766,0.026414625253268466,0.19845256012376783,0.031141373855566718
0.20456530282102056,0.025981354895651343,0.19499345584392253,0.03503322251510663
0.06029420210579684,0.10136223321864216,0.20465640843632227,0.07246932764939727
0.1708429841561874,0.021305645519421015,0.21506708214004416,0.032890880394724216
0.11823001310776853,0.039680820636972876,0.23405477854804213,0.050348245614969936
0.07873760954679697,0.08137384613343632,0.20556996583321308,0.06045338537029352
0.22373217373767665,0.03355648754636303,0.18867000971559633,0.04843843723012638
0.04134050913328162,0.14760997683573648,0.2503905894438189,0.1295266417507451
0.2079208738308843,0.027441291943289425,0.19300877754773973,0.038450413943505804
0.16268415821586016,0.03161685235306651,0.20185428961790602,0.031067967156089574
0.1097802591244786,0.060602637718705284,0.2059620665496961,0.04765793466137658
0.2135204692170491,0.023628588092186004,0.20767494398892591,0.038272785696124204
0.3432092336235377,0.025680769132048187,0.19681496998800443,0.032613353346095886
0.049449712463244186,0.138850386582537,0.2509364626717634,0.12268456980836336
0.043889393554246044,0.11964201881257963,0.2826148749507218,0.13254007563625703
0.22171263807958477,0.03110569729448025,0.19015995003931388,0.044634844585872975
0.24075677586004246,0.042601296752150304,0.18405347807732914,0.062315650907106675
0.08100466917649851,0.07324374397220292,0.2058647655408499,0.05546224140750964
0.12980859173882253,0.0358969058034833,0.2333840174061054,0.04740209405663928
0.22090567636206715,0.03228639036258937,0.1894195590769886,0.046477898496028625
0.2395500100658565,0.026824468692388272,0.19368673651156842,0.037197631051152154
0.14397473532963312,0.03887568573201937,0.20397939192921996,0.034393532903062185
0.11914571365678345,0.04047731335733425,0.2215353419404762,0.04541772047755695
0.21504254068406717,0.021945244456211006,0.20909571263651683,0.036236404924843646
0.12405966224111087,0.03776292328631965,0.23374169348662852,0.0488670093025945
0.11582808963482952,0.04252793728346096,0.22177274031719507,0.04686287590210382
0.11363452704191501,0.05357223673145709,0.2057190102767516,0.04327987378930506
0.061971898648671205,0.09472203445549185,0.20493507893140228,0.06853862806326518
0.049729586508307666,0.12383514887692203,0.25237824226459943,0.10775936581047257
0.052888199315428215,0.11107435836063173,0.23688592298541933,0.09782225055096201
0.18847842460222924,0.020182391834835223,0.21172800933502375,0.03362995944747125
0.2556309725115136,0.037820832506195175,0.18637990758368841,0.054978630331201206
0.1534852592536838,0.03696666292218774,0.20354801262521666,0.03337579320332484
0.07873760954679697,0.08137384613343632,0.20556996583321308,0.06045338537029352
0.07526472654357076,0.06580295364936865,0.22260915531736158,0.062429381648511216
0.15113066955302115,0.026739070073216097,0.21831669227056624,0.03576132611650724
0.260642043420434,0.056630746429066715,0.17789667280160285,0.08296819842952671
0.2008071742465325,0.025657565984945795,0.19622735528242646,0.03331218368133641
0.19293720991559585,0.027365290110094115,0.1994344974446129,0.030646628732637456
0.1258937652711061,0.04805373103452334,0.2053120890539403,0.03984612381986314
0.0394457202706721,0.15408057132375613,0.2502672789795962,0.13461748674136353
