x,z,y,u,w,v,uu,ww,vv,vw,uv,uw,Iu,Iv,Iw,Iuv
-18.0,0.0,16.2,18.001208,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11889421379845451,0.05944710041025356,0.0951153710387636,0.05188968899273151
-18.0,0.0,16.3,18.015223,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1188017196668867,0.05940085334951778,0.09504137573350935,0.05184932124423163
-18.0,0.0,16.4,18.029152,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11870993558556994,0.05935496131386876,0.09496794846845594,0.05180926338706725
-18.0,0.0,16.5,18.042997,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11861884544914847,0.05930941625062952,0.09489507635931876,0.05176950839228484
-18.0,0.0,16.6,18.056757,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11852845295433999,0.059264220008158695,0.09482276236347198,0.0517300578732643
-18.0,0.0,16.7,18.070436,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11843872901475368,0.05921935804326246,0.09475098321180293,0.05169089913566392
-18.0,0.0,16.8,18.084032,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11834968399649201,0.059174835538991506,0.09467974719719359,0.05165203670362175
-18.0,0.0,16.9,18.097548,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11826129554028256,0.059130641315710816,0.09460903643222603,0.05161346081875126
-18.0,0.0,17.0,18.110984,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11817356100488242,0.05908677405279911,0.09453884880390594,0.05157517032831956
-18.0,0.0,17.1,18.124342,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11808646474351729,0.059043225926870044,0.09446917179481382,0.05153715840351448
-18.0,0.0,17.2,18.137621,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1180000107281131,0.05899999892388642,0.09440000858249047,0.05149942677782661
-18.0,0.0,17.3,18.150824,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11791417693116574,0.05895708203009735,0.09433134154493258,0.05146196583766502
-18.0,0.0,17.4,18.163951,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11782896092278873,0.05891447403055974,0.09426316873823097,0.05142477452254029
-18.0,0.0,17.5,18.177002,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11774436029563341,0.05887217372159939,0.09419548823650672,0.05138785178179934
-18.0,0.0,17.6,18.189979,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11766035972787266,0.05883017344230357,0.0941282877822981,0.05135119092844858
-18.0,0.0,17.7,18.202882,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11757695691168298,0.058788472038760656,0.09406156552934637,0.05131479095527128
-18.0,0.0,17.8,18.215713,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11749413666006098,0.0587470619174698,0.09399530932804877,0.051278645234115745
-18.0,0.0,17.9,18.228472,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11741189676142078,0.05870594197263817,0.09392951740913662,0.051242752799766776
-18.0,0.0,18.0,18.24116,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11733022859195628,0.058665107892363184,0.09386418287356502,0.05120710988848682
-18.0,0.0,18.1,18.253778,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11724912358320833,0.05862455539241573,0.09379929886656665,0.05117171276069372
-18.0,0.0,18.2,18.266326,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11716857963568861,0.058584283423051775,0.09373486370855089,0.05113656050009566
-18.0,0.0,18.3,18.278805,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11708858826287875,0.05854428774101259,0.09367087061030299,0.05110164940287236
-18.0,0.0,18.4,18.291217,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11700913463453248,0.058504560931175856,0.09360730770762599,0.05106697299657373
-18.0,0.0,18.5,18.303561,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.11693022317255367,0.05846510520449325,0.09354417853804292,0.051032533211076814
