,x,y,u,umin,uMax,Iu,Iv,Iw,uv,h,r
0,1.8,1.0,1.0,0.9863602860420444,1.0178324777886447,0.09504363548599831,0.0637345254089436,0.07179353423501866,-0.0023229921737886084,0.06,47
1,1.8,0.99586,0.9980761946952017,0.9863602860420444,1.0155850966680549,0.09569858880185315,0.06415663385046785,0.07229426376908775,-0.002362211303825017,0.06,47
2,1.8,0.990482,0.9955618216052547,0.9834332194966046,1.012658030122615,0.09654058265479155,0.06469515269099742,0.07293466139109978,-0.002412021656945645,0.06,47
3,1.8,0.985106,0.9934677844421985,0.9805137954225627,1.009738606048573,0.09723901961084491,0.0651457417981966,0.07346534805039727,-0.00245347073565047,0.06,47
4,1.8,0.979728,0.9917176584920531,0.9805137954225627,1.009738606048573,0.09780340261751605,0.06551303774467335,0.0738872490013724,-0.0024873963331415883,0.06,47
5,1.8,0.97435,0.9898834653565295,0.9775943713485209,1.0068191819745311,0.09842233009708738,0.06592494162467741,0.07435833230920487,-0.002525074272660993,0.06,47
6,1.8,0.968972,0.9876289362941149,0.974667304803081,1.0068191819745311,0.09912636529476512,0.0663804582926022,0.07488942940492777,-0.0025697300041787087,0.06,47
7,1.8,0.963594,0.9849617137762076,0.9717478807290392,1.0038921154290914,0.09998533543268191,0.06695663918989843,0.07554065944243771,-0.002625546321011624,0.06,47
8,1.8,0.958216,0.982149284301738,0.9688208141835993,1.0009726913550496,0.1008675799086758,0.0675383484250445,0.07621290921755283,-0.002682737274547875,0.06,47
9,1.8,0.952838,0.9797954031111492,0.9659013901095576,0.9980456248096098,0.10162895506411102,0.06802601673945251,0.07679375101809692,-0.0027321487537792597,0.06,47
10,1.8,0.94746,0.9777166508908891,0.9659013901095576,0.9951262007355679,0.10230002098701138,0.06845108083108566,0.07729337510007696,-0.002774960942259794,0.06,47
11,1.8,0.942084,0.9759665249407437,0.9629819660355157,0.992206776661526,0.10289438643212559,0.06883118804556887,0.077751691701513,-0.002812802056985895,0.06,47
12,1.8,0.936706,0.9738954151918815,0.9629819660355157,0.992206776661526,0.10358525014824756,0.06926391186292563,0.07826222652226834,-0.0028557572679696096,0.06,47
13,1.8,0.931328,0.9714421818731186,0.9600548994900757,0.9892797101160862,0.1044380480097615,0.06978036590039813,0.07889541568569171,-0.002908236968845004,0.06,47
14,1.8,0.92595,0.9687214620554251,0.9571354754160339,0.9863602860420444,0.10538092325067054,0.07035190500839175,0.07958762724891379,-0.0029661429723627,0.06,47
15,1.8,0.920572,0.9660542395375177,0.9542084088705941,0.9834332194966046,0.10631128655568574,0.07090981292610621,0.08026169899896987,-0.0030235306323403662,0.06,47
16,1.8,0.915194,0.9638455653034914,0.9542084088705941,0.9805137954225627,0.10708470274828774,0.07138029145879143,0.08082267357088249,-0.0030718560014448932,0.06,47
17,1.8,0.909816,0.9619808022823757,0.9512889847965523,0.9775943713485209,0.10771223044305647,0.07176654059047875,0.08128755635921447,-0.0031123769263812703,0.06,47
18,1.8,0.904438,0.9599249774763096,0.9483695607225104,0.9775943713485209,0.10836201371911419,0.07216989864945052,0.08176323055865437,-0.0031551423540716,0.06,47
19,1.8,0.89906,0.9576169511141089,0.9454424941770707,0.974667304803081,0.10914592073852596,0.0726381365543386,0.08232994154922316,-0.0032054851340869834,0.06,47
20,1.8,0.893682,0.9547128119828632,0.9425230701030288,0.9717478807290392,0.11009434112350254,0.07322000731819844,0.08301382503142053,-0.0032680313835968464,0.06,47
21,1.8,0.888304,0.9517475330804333,0.9395960035575889,0.9717478807290392,0.11104356151268549,0.07380485080580819,0.08371070687729376,-0.003331694134701338,0.06,47
22,1.8,0.882928,0.9489809584343516,0.9366765794835471,0.9688208141835993,0.111898762528697,0.07430555222256885,0.08433122955212657,-0.0033888758771634686,0.06,47
23,1.8,0.87755,0.9469022062140916,0.9337495129381073,0.9659013901095576,0.11260201709237258,0.07474513765292543,0.08483893725848606,-0.00343714090700633,0.06,47
24,1.8,0.872172,0.9449610184789956,0.9337495129381073,0.9629819660355157,0.11325626420945235,0.07512833696184838,0.08531535946399736,-0.0034810944588937035,0.06,47
25,1.8,0.866794,0.9425612824600188,0.9308300888640655,0.9629819660355157,0.11399700478268572,0.07555789948308346,0.08583471553487174,-0.0035309818054639567,0.06,47
26,1.8,0.861416,0.9399475572418976,0.9279106647900236,0.9600548994900757,0.11488930514961163,0.07608434124049283,0.08646874545836226,-0.0035910736894394155,0.06,47
27,1.8,0.856038,0.9369975632822638,0.9249835982445836,0.9571354754160339,0.11586594531553712,0.07665414020992613,0.08717523001166257,-0.0036577615900258336,0.06,47
28,1.8,0.85066,0.93408578167962,0.9220641741705419,0.9542084088705941,0.11682113933407523,0.07719967183019649,0.08784715735092237,-0.003723151337440427,0.06,47
29,1.8,0.845282,0.9317242580176331,0.919137107625102,0.9512889847965523,0.1175930224035572,0.07766118589821895,0.08841790655819143,-0.003778448294090868,0.06,47
30,1.8,0.839904,0.9296990030971591,0.919137107625102,0.9483695607225104,0.11827270724003688,0.07804467586735984,0.08889714103830175,-0.0038253655921976566,0.06,47
31,1.8,0.834526,0.9274750439203368,0.9162176835510603,0.9483695607225104,0.11896426205102617,0.07845285519136858,0.08939885972302886,-0.0038757584568938097,0.06,47
32,1.8,0.829148,0.9249148160020015,0.9132982594770185,0.9454424941770707,0.11978117515829534,0.07890702404776746,0.08998556477805847,-0.003935363790343112,0.06,47
33,1.8,0.82377,0.9217126204862331,0.9074517688575366,0.9425230701030288,0.12077404807557791,0.07947957898894804,0.09071241060921516,-0.004008449927003642,0.06,47
34,1.8,0.818394,0.9185257099132609,0.9045247023120968,0.9395960035575889,0.12177922721268164,0.08004937252311757,0.0914332892998679,-0.004082152551527007,0.06,47
35,1.8,0.813016,0.9158202750383634,0.901605278238055,0.9366765794835471,0.12264819614304995,0.08054989277049573,0.09205673641414602,-0.004146593923030319,0.06,47
36,1.8,0.807638,0.9134205390193867,0.901605278238055,0.9337495129381073,0.12336409813751202,0.08094842468709537,0.09256664785365691,-0.004199341718402554,0.06,47
37,1.8,0.80226,0.9112959319707383,0.8986858541640133,0.9308300888640655,0.12403191055727014,0.08133897896199183,0.09304639342489456,-0.004247660372821725,0.06,47
38,1.8,0.796882,0.9088961959517616,0.8957587876185734,0.9308300888640655,0.12481733560204182,0.08179227971841324,0.09359506889533914,-0.004304640699834068,0.06,47
39,1.8,0.791504,0.9059767718777197,0.8928393635445316,0.9279106647900236,0.12575965464159025,0.08231109028846798,0.09423315039154005,-0.004370711141219897,0.06,47
40,1.8,0.786126,0.9027898613047474,0.8899122969990917,0.9249835982445836,0.12675670911364992,0.082885443510816,0.09491223799410721,-0.0044425204300384494,0.06,47
41,1.8,0.78075,0.8997940125167254,0.8869928729250498,0.9220641741705419,0.12772472335910262,0.08343026291411923,0.09555774510299296,-0.004512740132940762,0.06,47
42,1.8,0.775372,0.8973102093123704,0.884073448851008,0.919137107625102,0.12854898913979765,0.08388889827216377,0.0960866113804111,-0.004571699447442444,0.06,47
43,1.8,0.769994,0.8952161721493143,0.884073448851008,0.9162176835510603,0.12924475595510185,0.08428394873618095,0.09654290890006265,-0.004621772341491562,0.06,47
44,1.8,0.764616,0.8928164361303375,0.8782269582315264,0.9132982594770185,0.12999499333859457,0.08468640479281757,0.09700279185017355,-0.004676670836870746,0.06,47
45,1.8,0.759238,0.8899810792416739,0.8752998916860865,0.9132982594770185,0.13090090396826748,0.08518836928210279,0.09756303093239815,-0.004741965195210793,0.06,47
46,1.8,0.753862,0.8866489617121391,0.8723804676120446,0.9103711929315786,0.1319547908693275,0.08577176735921269,0.09821623838162931,-0.0048206454193061125,0.06,47
47,1.8,0.748484,0.8833321291254005,0.8694610435380028,0.9074517688575366,0.13302809716113212,0.0863646886333822,0.09886908283389492,-0.004900229968342008,0.06,47
48,1.8,0.743106,0.8804662023511448,0.866533976992563,0.9045247023120968,0.13392359558292338,0.08684767277856136,0.09941088444734941,-0.0049664247597659165,0.06,47
49,1.8,0.737728,0.87809703621776,0.866533976992563,0.901605278238055,0.13467793394843494,0.0872708459084246,0.09990514788307323,-0.00502471518247818,0.06,47
50,1.8,0.732352,0.8758577920981416,0.8636145529185212,0.8986858541640133,0.13541245223645765,0.08767484482251846,0.1003587668793333,-0.005079864778927663,0.06,47
51,1.8,0.726974,0.8732211394658264,0.8606874863730813,0.8957587876185734,0.13623540223507277,0.08814752520742482,0.10089125477922371,-0.0051423827920861415,0.06,47
52,1.8,0.721596,0.8700418713642519,0.8548486382249976,0.8928393635445316,0.13722832234151774,0.08869960151043209,0.10153566394626481,-0.005218684074984532,0.06,47
53,1.8,0.716218,0.8666562565349312,0.8519215716795577,0.8899122969990917,0.13827747017623532,0.089273924510506,0.1022330707561176,-0.005298573220926055,0.06,47
54,1.8,0.71084,0.8634999158475509,0.849002147605516,0.8869928729250498,0.13923757777583035,0.08981509070195426,0.10288581193585136,-0.005373804244883577,0.06,47
55,1.8,0.705464,0.8609473304006138,0.8460750810600761,0.884073448851008,0.1400121283495777,0.09026040796955609,0.10342318272501165,-0.0054361343645498135,0.06,47
56,1.8,0.700086,0.8587233712237914,0.8460750810600761,0.8811463823055682,0.14067302269843507,0.09064570703510504,0.10390085295361623,-0.00549023304191524,0.06,47
57,1.8,0.694708,0.8561555008340583,0.8402362329119926,0.8782269582315264,0.14142571842635468,0.09106606341239264,0.1044307376904316,-0.005552193919083361,0.06,47
58,1.8,0.68933,0.8531520095746382,0.8373091663665526,0.8752998916860865,0.14230407718091048,0.09156720520687392,0.10506854416798199,-0.005624417375607695,0.06,47
59,1.8,0.683952,0.8496441152029492,0.8343897422925107,0.8723804676120446,0.1432983174574913,0.09212231816967863,0.10577049764087955,-0.005706430106527969,0.06,47
60,1.8,0.678576,0.8462202880166384,0.8285432516730291,0.8694610435380028,0.14426163580467577,0.0926726603274469,0.10647476227925931,-0.005788711033285466,0.06,47
61,1.8,0.673198,0.8433543612423827,0.8256238275989873,0.8636145529185212,0.14508024746704923,0.09313099614453509,0.10705550076212679,-0.00585997639075526,0.06,47
62,1.8,0.66782,0.8409775526375999,0.8256238275989873,0.8606874863730813,0.14576964574716778,0.0935164538752023,0.10752112929329258,-0.005920692057334972,0.06,47
63,1.8,0.662442,0.8386007440328171,0.8226967610535474,0.8606874863730813,0.14645961053011178,0.09388388027407141,0.10799675441759826,-0.005983453277827549,0.06,47
64,1.8,0.657064,0.8357653871441536,0.8168502704340658,0.8577680622990395,0.14728001302554455,0.09434293364208698,0.10854349084593676,-0.006058905810376189,0.06,47
65,1.8,0.651688,0.8323492024292407,0.8139308463600239,0.8548486382249976,0.14825240867030504,0.09486301680847779,0.10918518383988812,-0.006148151900345995,0.06,47
66,1.8,0.64631,0.8288948053573378,0.8110114222859821,0.8519215716795577,0.1492624131580387,0.09540307434218924,0.10983479513502672,-0.006242777971255328,0.06,47
67,1.8,0.640932,0.8257919619697437,0.8080843557405423,0.849002147605516,0.15016517959277054,0.0958892701898879,0.11041958361930908,-0.006329799664926186,0.06,47
68,1.8,0.635554,0.8232088066372144,0.8051649316665004,0.8460750810600761,0.15094873089457017,0.09627851471060725,0.11090742185707073,-0.006402111848832202,0.06,47
69,1.8,0.630176,0.8208167130896357,0.8051649316665004,0.8431556569860343,0.15164960600927901,0.09663174755136608,0.11133459754031959,-0.006467602141710643,0.06,47
70,1.8,0.6248,0.818011926086564,0.8022378651210605,0.8402362329119926,0.15245541280675343,0.0970389116199167,0.1118221869198585,-0.006543722230624471,0.06,47
71,1.8,0.619422,0.8147333058568156,0.7963913745015789,0.8373091663665526,0.15344311238444922,0.0975003013360778,0.11236961419710162,-0.006632729690197813,0.06,47
72,1.8,0.614044,0.8112101265423305,0.793471950427537,0.8343897422925107,0.15447232437968436,0.09798333410921278,0.11296773893207951,-0.006729006314738478,0.06,47
73,1.8,0.608666,0.8078780090127958,0.7905525263534953,0.8285432516730291,0.1554791062914836,0.09845564176872021,0.11351874357296439,-0.006821590398368956,0.06,47
74,1.8,0.603288,0.8050655795383262,0.7876254598080553,0.8256238275989873,0.15632521362310411,0.09883691482277021,0.11397578156509994,-0.006901109486697756,0.06,47
75,1.8,0.597912,0.8026887709335434,0.7847060357340135,0.8256238275989873,0.15704287622523658,0.09915432807179277,0.11436043120802213,-0.00696989996581209,0.06,47
76,1.8,0.592534,0.8000826881868203,0.7817789691885737,0.8226967610535474,0.15785390713476782,0.09951679879199699,0.1147923744809362,-0.007048144979743348,0.06,47
77,1.8,0.587156,0.796995129742022,0.7788595451145318,0.8197773369795055,0.15880865092221558,0.09992137247657752,0.11526321273955344,-0.0071398913672806935,0.06,47
78,1.8,0.581778,0.7935865874985073,0.77594012104049,0.8168502704340658,0.1598616805715427,0.10035673855344894,0.11576308754839752,-0.007241571933739291,0.06,47
79,1.8,0.5764,0.7901780452549925,0.7730130544950501,0.8139308463600239,0.16089062097028398,0.10077848143584456,0.11622966635145333,-0.0073420338824394,0.06,47
80,1.8,0.571024,0.7873426883663287,0.7700936304210083,0.8110114222859821,0.16175128460771532,0.10113793235677583,0.11660978602653578,-0.007427676632535213,0.06,47
81,1.8,0.565646,0.7847213206768094,0.7671665638755685,0.8080843557405423,0.16252596753096868,0.1014330230053089,0.11692313610833267,-0.007502815248899863,0.06,47
82,1.8,0.560268,0.781970030973524,0.7642471398015267,0.8051649316665004,0.16328578873212252,0.10173418772075428,0.11722124645345583,-0.007578668860015576,0.06,47
83,1.8,0.55489,0.7787601929863577,0.7613246587389256,0.8022378651210605,0.16418765078042494,0.10205303595477314,0.11752976853690911,-0.007665773719694537,0.06,47
84,1.8,0.549512,0.7752370136718727,0.7584021776763246,0.7993184410470187,0.16511075641375014,0.10241464554054579,0.1178582551485187,-0.007763022058454678,0.06,47
85,1.8,0.544136,0.7718361138997558,0.7525572155511225,0.7963913745015789,0.16604594330400782,0.10275659824046919,0.11815542521994135,-0.007859275758244634,0.06,47
86,1.8,0.538758,0.7687867678119478,0.7525572155511225,0.793471950427537,0.16683251391056025,0.10302842955417514,0.11841296945074141,-0.007947003055086851,0.06,47
87,1.8,0.53338,0.7661271877654384,0.7496347344885215,0.7905525263534953,0.16751587965926437,0.10328622778078685,0.11865675316362204,-0.008025826186075098,0.06,47
88,1.8,0.528002,0.7633514421536792,0.7437897723633193,0.7876254598080553,0.16820571609281731,0.1035350041506898,0.11887476775902282,-0.008108898135819859,0.06,47
89,1.8,0.522624,0.7601805807706428,0.7408672913007184,0.7847060357340135,0.1689534733729572,0.10381619551304315,0.119122652087199,-0.008204741480837479,0.06,47
90,1.8,0.517248,0.7567972586827414,0.7379448102381173,0.7817789691885737,0.16975432301789006,0.10412119400009966,0.11939203667713162,-0.008311132142961683,0.06,47
91,1.8,0.51187,0.7533352191394405,0.7350223291755162,0.7788595451145318,0.1705571407118186,0.10441507733893979,0.11965159933924013,-0.008417519161903286,0.06,47
92,1.8,0.506492,0.7501483085664681,0.7320998481129152,0.77594012104049,0.1712634699657087,0.10465933389832044,0.11984361318289798,-0.008509976618760141,0.06,47
93,1.8,0.501114,0.7473068377006861,0.7291773670503141,0.7730130544950501,0.17188731433576632,0.10488622752073981,0.11996641670930172,-0.008589716898230335,0.06,47
94,1.8,0.495736,0.7442979967112874,0.7233324049251121,0.7700936304210083,0.17253127662527518,0.1051070886930023,0.12006029912499405,-0.008667365010591626,0.06,47
95,1.8,0.49036,0.740872641030697,0.720409923862511,0.7671665638755685,0.1732406077710752,0.10535031108116608,0.12009778726791046,-0.008754148962853068,0.06,47
96,1.8,0.484982,0.7372248894324244,0.71748744279991,0.7642471398015267,0.17399602336884482,0.10561699150670135,0.1200752368795719,-0.008845565865441798,0.06,47
97,1.8,0.479604,0.7336581480309706,0.714564961737309,0.7613246587389256,0.17474793154838378,0.10588313890744643,0.12003186186340511,-0.008940097799017038,0.06,47
98,1.8,0.474226,0.7305805247989898,0.7116417164275681,0.7554796966137235,0.1753708390271694,0.10613448049508505,0.11984406802052669,-0.00902921390560693,0.06,47
99,1.8,0.468848,0.7278857893840496,0.7087192353649671,0.7525572155511225,0.17590588849535335,0.10638511669151154,0.11959831061727524,-0.009117555108695946,0.06,47
100,1.8,0.463472,0.7252124528890239,0.7057967543023661,0.7496347344885215,0.17642465930026077,0.10664827144526555,0.11924282939853033,-0.009217377081825328,0.06,47
101,1.8,0.458094,0.7223289484305527,0.702874273239765,0.7467122534259204,0.17713033739062178,0.1071783839528866,0.11921977309663905,-0.009343481364428764,0.06,47
102,1.8,0.452716,0.7194041746265323,0.699951792177164,0.7437897723633193,0.17789163375171735,0.10776890614078201,0.11933114447610474,-0.009473612527052545,0.06,47
103,1.8,0.447338,0.7163005669917982,0.6970293111145629,0.7408672913007184,0.17885676641564552,0.10860592769075991,0.1199923809684168,-0.00961287174133456,0.06,47
104,1.8,0.44196,0.7128622191098313,0.6941068300519618,0.7379448102381173,0.1802822468983915,0.10999321440575316,0.12199906565960837,-0.009755617314012154,0.06,47
105,1.8,0.436584,0.7092855424955601,0.691184348989361,0.7320998481129152,0.18189828694699472,0.11160536082824457,0.1247144203901718,-0.009894692480882419,0.06,47
106,1.8,0.431206,0.705231211418913,0.6853393868641589,0.7291773670503141,0.18374287202076078,0.11340102779485078,0.1279024107081882,-0.010035628979261618,0.06,47
107,1.8,0.425828,0.7013740561043347,0.6824169058015579,0.7262548859877132,0.1854591500307183,0.11509656694926067,0.13108509020885226,-0.010145498926786125,0.06,47
108,1.8,0.42045,0.6987450459434175,0.6794944247389568,0.7233324049251121,0.18669872312044838,0.11641010746442057,0.1331913383031594,-0.010209127237935193,0.06,47
109,1.8,0.415072,0.6965761125606607,0.6794944247389568,0.720409923862511,0.18772437778314752,0.11754483240705582,0.13487370119783215,-0.010254172627079184,0.06,47
110,1.8,0.409694,0.6945050028117986,0.6765719436763558,0.71748744279991,0.1887115091339758,0.11863893485620343,0.13646019230561235,-0.01029324338570358,0.06,47
111,1.8,0.404316,0.6922191396166522,0.6736494626137547,0.714564961737309,0.1897061918181483,0.11979902244726617,0.1379345130785101,-0.010330436889111316,0.06,47
112,1.8,0.398938,0.6895977719271329,0.6707269815511537,0.714564961737309,0.1907520554193077,0.121132856338899,0.13917961746831556,-0.010366255920302875,0.06,47
113,1.8,0.393562,0.6862113928506725,0.6678045004885527,0.7087192353649671,0.19181001957546395,0.12268457256591682,0.13982896075064796,-0.01038604939191335,0.06,47
114,1.8,0.388184,0.682935829609483,0.6648820194259516,0.7057967543023661,0.19268922676668962,0.12402781394234835,0.1403002227005101,-0.010393897469124511,0.06,47
115,1.8,0.382806,0.6803664307254703,0.6619595383633505,0.702874273239765,0.19317190744013787,0.12479285171656052,0.14081562672623568,-0.010382121831396795,0.06,47
116,1.8,0.377428,0.677467641324203,0.6590370573007495,0.699951792177164,0.19370310760041534,0.12564561798897056,0.1414160757495589,-0.010390307104864556,0.06,47
117,1.8,0.37205,0.6733429995106942,0.6561145762381485,0.6970293111145629,0.19435183391126762,0.12681704093199975,0.14233552257952445,-0.010471278696647584,0.06,47
118,1.8,0.366672,0.6701767236104965,0.6531920951755474,0.6941068300519618,0.1947403745050225,0.1275789167542898,0.14297859012505873,-0.010504050894427134,0.06,47
119,1.8,0.361294,0.6674720529827389,0.6502696141129464,0.691184348989361,0.19510625682213267,0.12819208430471518,0.14356350029871395,-0.010508110832934224,0.06,47
120,1.8,0.355916,0.664402836469296,0.6444238877406046,0.6882618679267599,0.19554397926193984,0.12884805851417847,0.14390300580043,-0.01056415540800796,0.06,47
121,1.8,0.350538,0.6611524933837202,0.6415014066780035,0.6853393868641589,0.19602375770765326,0.12948064018861083,0.1441319822270584,-0.010641070828677726,0.06,47
122,1.8,0.34516,0.6583087297765187,0.6385789256154024,0.6824169058015579,0.1964604227777759,0.12998749036735519,0.14440487044733033,-0.010696425927898674,0.06,47
123,1.8,0.339782,0.6556269865629551,0.6356564445528015,0.6794944247389568,0.19688617061152097,0.13037217849208743,0.14491054368594752,-0.01071580706705834,0.06,47
