y,u,u min,u max,Iu,Iu min,Iu max,Iv,Iv min,Iv max,Iw,Iw min,Iw max,Lx,Lx min,Lx max,Ly,Ly min,Ly max,Lz avg,Lz min,Lz max
8.000000000000000167e-02,1.138599023360203510e+01,1.089207307308772066e+01,1.192060617402854739e+01,2.908104115365988118e-01,2.605196778111216194e-01,3.342890517243768400e-01,1.636959691281714702e-01,1.569895174427266282e-01,1.712521918250498598e-01,2.342036134855222385e-01,2.154493798045586384e-01,2.539288509240300029e-01,4.426397570111702540e-01,4.153390931378678208e-01,4.911431867280852681e-01,5.344089217236751288e-02,4.752423809481812200e-02,6.067403545245610846e-02,1.847956519868722836e-01,1.622405463127459813e-01,2.121407232758987238e-01
1.199999999999999956e-01,1.269068876308280558e+01,1.218468342469528842e+01,1.354552336204876362e+01,2.765555635882875340e-01,2.586421739576100776e-01,3.021810405264080401e-01,1.517732084148872285e-01,1.397576002487944946e-01,1.623218904340049396e-01,2.178759401460495793e-01,2.072992867534171335e-01,2.314109316973641250e-01,5.319617834607577311e-01,4.938803780422107992e-01,5.799151271231667293e-01,6.149896569955200232e-02,5.396061658686165247e-02,7.339072146091746296e-02,1.892798266608069491e-01,1.696309369502729258e-01,2.080333927490312373e-01
1.600000000000000033e-01,1.365064089612797105e+01,1.301839357074799963e+01,1.461618131709322199e+01,2.535107317554089468e-01,2.365746666756643746e-01,2.693102855951094998e-01,1.329380145472801034e-01,1.204824248240382450e-01,1.431214416622955121e-01,1.961463158570239673e-01,1.827767972246459871e-01,2.057110174491604271e-01,6.092415370353230220e-01,5.476220070707678023e-01,6.723007403567575757e-01,6.788328384819448946e-02,6.218225057139638995e-02,7.502925995347618782e-02,2.104756803533557041e-01,1.902032388094503090e-01,2.286545501768446897e-01
2.000000000000000111e-01,1.479185125207782470e+01,1.415515800324131135e+01,1.583440194685985780e+01,2.343748073168631652e-01,2.141959439392627784e-01,2.470381316344444911e-01,1.277421292390739649e-01,1.139419646378174861e-01,1.391530965720595148e-01,1.831400663808196716e-01,1.662881677549096215e-01,1.928808057568709156e-01,6.823682920596372270e-01,6.149785802748847230e-01,7.638325080486815244e-01,8.850913517948447162e-02,7.841131369684536945e-02,9.980654755511075837e-02,2.290918309602225089e-01,2.115381027110835033e-01,2.528731199553402309e-01
2.600000000000000089e-01,1.574487541567311766e+01,1.515449566193538722e+01,1.676464241909244279e+01,2.082891240031589652e-01,1.863171124896004782e-01,2.246702372204975873e-01,1.186887941811455988e-01,1.069021969610320366e-01,1.271710635419653346e-01,1.659774307531577675e-01,1.496947109562898059e-01,1.750414521452079430e-01,7.463395905670975328e-01,6.750401310461376925e-01,8.417190910953981087e-01,1.008076641923712213e-01,9.204760387003919908e-02,1.097121761033794385e-01,2.413248348165066004e-01,2.245263737750394784e-01,2.614728997713058889e-01
3.200000000000000067e-01,1.620772080257989955e+01,1.564863636154861304e+01,1.719126677367497535e+01,1.946311248481339962e-01,1.727367689715981480e-01,2.127156418291715478e-01,1.165727160616075730e-01,1.037441844259016921e-01,1.252102623307475848e-01,1.601609434248182917e-01,1.432142281651341553e-01,1.691721233103900823e-01,7.626968918463514768e-01,6.895276594276973370e-01,8.673352728444164716e-01,1.160420394552376527e-01,1.070984990904155637e-01,1.266026122109477348e-01,2.441800504391099247e-01,2.266705168581250596e-01,2.591215813335829843e-01
4.000000000000000222e-01,1.709737326378425948e+01,1.654731346635751166e+01,1.804349012378793660e+01,1.802555601922740947e-01,1.599853527116876228e-01,1.978747711794955066e-01,1.139017611208111014e-01,1.031989892526103542e-01,1.201892029211401453e-01,1.438917680918648523e-01,1.278959636515626941e-01,1.515367171631965826e-01,7.721424031802930354e-01,7.118532895159951357e-01,8.837131320430836601e-01,1.343485532372306612e-01,1.278427855280421799e-01,1.455046030658849188e-01,2.392037502151375394e-01,2.250364144031135050e-01,2.553107727017553397e-01
