x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	uv-reynolds-stress	uw-reynolds-stress	vw-reynolds-stress
-2.85	0.01	0.0	4.586390177130343	0.0	0.0	7.691496175278879	2.2531913841617257	5.358067240470117	-1.1430881299732587	0.0	0.0
-2.85	0.010993333333333334	0.0	4.650846429198925	0.0	0.0	7.763135462559384	2.2834827163680362	5.381441852283409	-1.1731877199126057	0.0	0.0
-2.85	0.011986666666666668	0.0	4.71519847224039	0.0	0.0	7.833706186023919	2.313515171097662	5.4042802116332735	-1.2030203433000848	0.0	0.0
-2.85	0.012980000000000002	0.0	4.779445151097518	0.0	0.0	7.9032124132730965	2.3432861203732123	5.426584551896823	-1.2325844212511357	0.0	0.0
-2.85	0.013973333333333334	0.0	4.843585295152759	0.0	0.0	7.9716583627985065	2.3727929939368373	5.448357191277316	-1.2618784243090808	0.0	0.0
-2.85	0.014966666666666666	0.0	4.907617803155345	0.0	0.0	8.039048401851446	2.4020332797656856	5.469600531814767	-1.2909008726379754	0.0	0.0
-2.85	0.015960000000000002	0.0	4.971541538750402	0.0	0.0	8.105387043979572	2.4310045245466765	5.490317058455951	-1.3196503362041767	0.0	0.0
-2.85	0.016953333333333334	0.0	5.035355324236577	0.0	0.0	8.17067894682133	2.459704334166512	5.510509338071774	-1.3481254349469496	0.0	0.0
-2.85	0.017946666666666666	0.0	5.09905805631071	0.0	0.0	8.234928909646829	2.488130374166779	5.530180018453883	-1.3763248389333789	0.0	0.0
-2.85	0.01894	0.0	5.162648623903183	0.0	0.0	8.29814187100087	2.5162803701799996	5.549331827314631	-1.4042472685043852	0.0	0.0
-2.85	0.01993333333333333	0.0	5.226125877771573	0.0	0.0	8.36032290629278	2.5441521083659087	5.567967571256916	-1.431891494404144	0.0	0.0
-2.85	0.020926666666666666	0.0	5.289488672996451	0.0	0.0	8.421477225370209	2.57174343580523	5.5860901347073995	-1.4592563379006498	0.0	0.0
-2.85	0.02192	0.0	5.35273588829993	0.0	0.0	8.481610170067318	2.599052260909365	5.6037024788557295	-1.486340670891731	0.0	0.0
-2.85	0.022913333333333334	0.0	5.415866408256687	0.0	0.0	8.540727211737762	2.626076553784378	5.620807640618482	-1.5131434159996824	0.0	0.0
-2.85	0.023906666666666666	0.0	5.478879080121943	0.0	0.0	8.598833948706357	2.652814346588399	5.63740873144599	-1.5396635466504902	0.0	0.0
-2.85	0.0249	0.0	5.541772804981318	0.0	0.0	8.655936103833287	2.6792637338740413	5.653508936323791	-1.5659000871439022	0.0	0.0
-2.85	0.02589333333333333	0.0	5.604546453646734	0.0	0.0	8.712039521927514	2.705422872916836	5.669111512533358	-1.5918521127090168	0.0	0.0
-2.85	0.026886666666666666	0.0	5.667198906934834	0.0	0.0	8.767150167254128	2.731289984007887	5.684219788578076	-1.6175187495453758	0.0	0.0
-2.85	0.027879999999999995	0.0	5.729729052679794	0.0	0.0	8.821274120895966	2.7568633507607387	5.698837162986372	-1.6428991748570285	0.0	0.0
-2.85	0.028873333333333334	0.0	5.792135783700409	0.0	0.0	8.874417578226364	2.782141320359976	5.712967103170356	-1.6679926168657786	0.0	0.0
-2.85	0.029866666666666663	0.0	5.854417954911176	0.0	0.0	8.926586846378827	2.807122303833896	5.726613144178143	-1.6927983548191525	0.0	0.0
-2.85	0.03086	0.0	5.916574502164964	0.0	0.0	8.977788341513223	2.831804776269924	5.73977888757106	-1.7173157189813706	0.0	0.0
-2.85	0.03185333333333333	0.0	5.978604295851209	0.0	0.0	9.028028586285451	2.856187277052889	5.752468000131004	-1.7415440906123676	0.0	0.0
-2.85	0.03284666666666666	0.0	6.040506252399945	0.0	0.0	9.077314207195522	2.8802684100435925	5.764684212658481	-1.7654829019353748	0.0	0.0
-2.85	0.03384	0.0	6.102279250929408	0.0	0.0	9.125651932004054	2.904046843772112	5.776431318755941	-1.7891316360892708	0.0	0.0
-2.85	0.03483333333333333	0.0	6.163922225005328	0.0	0.0	9.173048586975652	2.927521311596735	5.787713173544042	-1.812489827072616	0.0	0.0
-2.85	0.035826666666666666	0.0	6.225434056657638	0.0	0.0	9.219511094352802	2.950690611848192	5.798533692383593	-1.8355570596697084	0.0	0.0
-2.85	0.03682	0.0	6.28681369882139	0.0	0.0	9.265046469598714	2.9735536079528035	5.808896849634773	-1.8583329693677229	0.0	0.0
-2.85	0.03781333333333333	0.0	6.348060032948339	0.0	0.0	9.309661818812662	2.9961092285540665	5.818806677341868	-1.8808172422603215	0.0	0.0
-2.85	0.03880666666666666	0.0	6.409171988394671	0.0	0.0	9.353364335971134	3.0183564675785326	5.828267263937091	-1.903009614938469	0.0	0.0
-2.85	0.0398	0.0	6.470148509283999	0.0	0.0	9.396161300294498	3.0402943843331274	5.837282752949664	-1.9249098743678583	0.0	0.0
-2.85	0.04079333333333333	0.0	6.530988508031507	0.0	0.0	9.438060073630274	3.0619221035394952	5.845857341662236	-1.9465178577574047	0.0	0.0
-2.85	0.041786666666666666	0.0	6.5916909486549855	0.0	0.0	9.479068097681036	3.0832388153785937	5.853995279792462	-1.9678334524089223	0.0	0.0
-2.85	0.04278	0.0	6.652254757156098	0.0	0.0	9.519192891308903	3.1042437755069123	5.86170086815434	-1.9888565955615378	0.0	0.0
