x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	uv-reynolds-stress	uw-reynolds-stress	vw-reynolds-stress
-4.95	0.01	0.0	4.547062904408529	0.0	0.0	7.630495535455691	2.3657057698059423	5.762615595589972	-1.058076290627488	0.0	0.0
-4.95	0.010993333333333334	0.0	4.61424055799089	0.0	0.0	7.700123960073367	2.397498915067963	5.768358528361358	-1.0910474650955369	0.0	0.0
-4.95	0.011986666666666668	0.0	4.681319661552936	0.0	0.0	7.7687521602155	2.4290186404506975	5.773936134620107	-1.1237077776709343	0.0	0.0
-4.95	0.012980000000000002	0.0	4.748298797647419	0.0	0.0	7.836382963200748	2.4602622620427126	5.779348549751228	-1.1560554795894593	0.0	0.0
-4.95	0.013973333333333334	0.0	4.815176525505275	0.0	0.0	7.903019352314066	2.4912271549572926	5.78459592986799	-1.1880888853186418	0.0	0.0
-4.95	0.014966666666666666	0.0	4.88195136260004	0.0	0.0	7.968664465144386	2.521910753848371	5.789678451837447	-1.2198063727498865	0.0	0.0
-4.95	0.015960000000000002	0.0	4.9486218974964995	0.0	0.0	8.03332159110399	2.55231055338816	5.794596313290499	-1.2512063833683333	0.0	0.0
-4.95	0.016953333333333334	0.0	5.015186680123462	0.0	0.0	8.096994169674485	2.5824241087469075	5.79934973265739	-1.2822874224113083	0.0	0.0
-4.95	0.017946666666666666	0.0	5.081644271237237	0.0	0.0	8.159685788032878	2.6122490360402724	5.803938949144629	-1.31304805900331	0.0	0.0
-4.95	0.01894	0.0	5.147993218957007	0.0	0.0	8.221400179328993	2.641783012776398	5.808364222744884	-1.3434869262781914	0.0	0.0
-4.95	0.01993333333333333	0.0	5.21423209273151	0.0	0.0	8.282141220142096	2.671023778274124	5.812625834244327	-1.3736027214784083	0.0	0.0
-4.95	0.020926666666666666	0.0	5.2803594587458065	0.0	0.0	8.341912928532217	2.69996913406738	5.816724085205549	-1.4033942060428612	0.0	0.0
-4.95	0.02192	0.0	5.346373870072734	0.0	0.0	8.400719461604067	2.7286169442973525	5.820659297950734	-1.4328602056727189	0.0	0.0
-4.95	0.022913333333333334	0.0	5.412273890509117	0.0	0.0	8.458565113593528	2.7569651360819587	5.824431815573779	-1.4619996103775117	0.0	0.0
-4.95	0.023906666666666666	0.0	5.478058095442404	0.0	0.0	8.515454313257521	2.7850116998685466	5.82804200187116	-1.4908113745108387	0.0	0.0
-4.95	0.0249	0.0	5.543725065382698	0.0	0.0	8.571391621701151	2.812754689774851	5.831490241365749	-1.5192945167800154	0.0	0.0
-4.95	0.02589333333333333	0.0	5.609273356376694	0.0	0.0	8.626381730345814	2.840192223907773	5.834776939254153	-1.5474481202459245	0.0	0.0
-4.95	0.026886666666666666	0.0	5.674701561376748	0.0	0.0	8.680429458011105	2.8673224846640957	5.837902521360378	-1.575271332296427	0.0	0.0
-4.95	0.027879999999999995	0.0	5.740008249063961	0.0	0.0	8.733539749194605	2.8941437190205046	5.84086743410868	-1.602763364610334	0.0	0.0
-4.95	0.028873333333333334	0.0	5.805192016869687	0.0	0.0	8.785717671090577	2.9206542387946177	5.843672144511725	-1.6299234930986357	0.0	0.0
-4.95	0.029866666666666663	0.0	5.870251434202158	0.0	0.0	8.83696841175847	2.946852420895635	5.846317140056902	-1.6567510578311182	0.0	0.0
-4.95	0.03086	0.0	5.935185109456212	0.0	0.0	8.887297277239133	2.9727367075622158	5.84880292870482	-1.6832454629399267	0.0	0.0
-4.95	0.03185333333333333	0.0	5.999991632441894	0.0	0.0	8.93670968939165	2.998305606566197	5.851130038814976	-1.709406176515051	0.0	0.0
-4.95	0.03284666666666666	0.0	6.064669588028427	0.0	0.0	8.985211183307774	3.0235576914230236	5.853299019078732	-1.7352327304719153	0.0	0.0
-4.95	0.03384	0.0	6.129217603157328	0.0	0.0	9.032807404910182	3.0484916015515644	5.855310438459145	-1.7607247204103404	0.0	0.0
-4.95	0.03483333333333333	0.0	6.1936342839695	0.0	0.0	9.079504108444157	3.073106042450842	5.857164886122316	-1.7858818054485803	0.0	0.0
-4.95	0.035826666666666666	0.0	6.257918241530459	0.0	0.0	9.125307153958104	3.0973997858354796	5.858862971357745	-1.8107037080466446	0.0	0.0
-4.95	0.03682	0.0	6.322068079783429	0.0	0.0	9.170222504775559	3.1213716697516056	5.860405323484888	-1.8351902138093121	0.0	0.0
-4.95	0.03781333333333333	0.0	6.386082448579626	0.0	0.0	9.214256225077058	3.145020598699819	5.8617925917904	-1.8593411712689945	0.0	0.0
-4.95	0.03880666666666666	0.0	6.449959966470084	0.0	0.0	9.257414477229915	3.1683455437042767	5.86302544542649	-1.8831564916595278	0.0	0.0
-4.95	0.0398	0.0	6.513699279457234	0.0	0.0	9.299703519246055	3.1913455423969683	5.864104573308314	-1.9066361486645418	0.0	0.0
-4.95	0.04079333333333333	0.0	6.577299014110315	0.0	0.0	9.341129702313154	3.214019699056712	5.865030684032466	-1.9297801781553672	0.0	0.0
-4.95	0.041786666666666666	0.0	6.640757847332753	0.0	0.0	9.38169946821091	3.2363671846519506	5.865804505760492	-1.9525886779065997	0.0	0.0
-4.95	0.04278	0.0	6.7040743992224	0.0	0.0	9.42141934663399	3.25838723684865	5.866426786106376	-1.975061807301263	0.0	0.0
