y,u,Iu
0.0972,8.079,0.191
0.148,8.813,0.169
0.173,9.500,0.173
0.196,9.39,0.152
0.248,10.001,0.154
0.299,10.234,0.139
0.398,11.32,0.118
0.498,12.16,0.115
0.597,12.64,0.105
0.699,13.36,0.0957
