x,z,y,u,w,v,uu,ww,vv,vw,uv,uw
-18.000000,0.000000,0.100000,10.128389,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,0.200000,11.256071,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,0.300000,11.916131,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,0.400000,12.384565,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,0.500000,12.747958,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,0.600000,13.044897,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,0.700000,13.295969,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,0.800000,13.513466,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,0.900000,13.705319,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.000000,13.876941,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.100000,14.032195,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.200000,14.173933,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.300000,14.304322,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.400000,14.425044,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.500000,14.537435,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.600000,14.642571,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.700000,14.741331,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.800000,14.834446,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,1.900000,14.922525,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.000000,15.006086,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.100000,15.085570,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
-18.000000,0.000000,2.200000,15.161355,0.000000,0.000000,2.342616,1.499274,0.585654,0.000000,-0.446213,0.000000
