x,y,z,x-velocity,y-velocity,z-velocity,x-velocity-magnitude,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,uw-reynolds-stress,vw-reynolds-stress,pseudo_Iu,pseudo_Iv,pseudo_Iw,pseudo_Iuv,h,r
13.0,0.00111586,0,6.476,0,0,6.52402,1.3513597504,0.0342398016,0.6063082809639999,-0.0914209,0,0,0.17950586781964176,0.028573193329215568,0.12023749227918468,0.04668914340775918,0.08,92
13.0,0.00605077,0,6.74707,0,0,6.79681,1.4239648900000001,0.046855797443999994,0.6513861972250001,-0.107341,0,0,0.17686195637513766,0.032082370569743605,0.1196200721201944,0.04855876161998976,0.08,92
13.0,0.0109857,0,7.31575,0,0,7.37194,1.5726414025000002,0.08236326010000002,0.7528199931039999,-0.139862,0,0,0.17141783139117658,0.03922906058845641,0.11860055360010935,0.051120019540594905,0.08,92
13.0,0.0159207,0,7.74652,0,0,7.80722,1.6456784655999999,0.12933445616099998,0.839834780625,-0.160485,0,0,0.16560210262156425,0.046424846253543525,0.11830150829017418,0.05171429122640485,0.08,92
13.0,0.0208556,0,7.9433,0,0,8.01078,1.5906758884,0.186928251904,0.893004210121,-0.162551,0,0,0.15877783792630268,0.05442977100197651,0.1189668022106681,0.05075675602923836,0.08,92
13.0,0.0257905,0,8.01588,0,0,8.08624,1.5216209316000002,0.229931758144,0.915183049104,-0.160799,0,0,0.1538870342370395,0.059820256790271316,0.11934460096708036,0.05002538788338395,0.08,92
13.0,0.0307255,0,8.14513,0,0,8.21843,1.4909142609000001,0.27048216624099997,0.938290571716,-0.166848,0,0,0.14990920955221096,0.06385152845933705,0.11892431428350438,0.05014902366923938,0.08,92
13.0,0.0356604,0,8.24273,0,0,8.31781,1.4774645601000003,0.297128559025,0.951389553664,-0.172353,0,0,0.1474644929531842,0.06613039611876162,0.11833361034511625,0.05036610300520413,0.08,92
13.0,0.0405953,0,8.32338,0,0,8.40004,1.4529409443999997,0.324550114249,0.9594594303999999,-0.175564,0,0,0.14481857130156256,0.0684449106012221,0.1176829605280547,0.050340556352944814,0.08,92
13.0,0.0455302,0,8.37906,0,0,8.45737,1.4368577161,0.34369844256399995,0.963679915584,-0.178403,0,0,0.1430578131675868,0.06996703687525807,0.11715777187417203,0.0504087323610114,0.08,92
13.0,0.0504652,0,8.45466,0,0,8.53447,1.4267824704,0.363890052289,0.968417382724,-0.183693,0,0,0.14128066652000199,0.07134917311872979,0.11639521873144514,0.05069325244066896,0.08,92
13.0,0.0554002,0,8.51105,0,0,8.58956,1.4207209636,0.37895351046400005,0.970368815329,-0.187975,0,0,0.1400461752662715,0.07232856110585652,0.11574047855434995,0.050940934163804366,0.08,92
13.0,0.0603351,0,8.56877,0,0,8.64853,1.4118430041,0.39625136522499993,0.9713088025000001,-0.192674,0,0,0.13866751003936387,0.07346270234817831,0.1150165076201135,0.05122630972522065,0.08,92
13.0,0.06527,0,8.61457,0,0,8.69265,1.4066434404000001,0.4094144210249999,0.9717523506249999,-0.196442,0,0,0.13767605347684214,0.07427590698084756,0.1144311323722484,0.05144978558729842,0.08,92
13.0,0.070205,0,8.66779,0,0,8.74906,1.4037984324,0.423909072889,0.9722985467040001,-0.201116,0,0,0.1366922825772198,0.07511522544962441,0.1137604856601279,0.051738630688222716,0.08,92
13.0,0.0751399,0,8.71053,0,0,8.79072,1.4024954329,0.435557761024,0.9726318608410001,-0.205021,0,0,0.13595843192090493,0.07576668698689976,0.11322169833523334,0.051982192465150893,0.08,92
13.0,0.0800748,0,8.75732,0,0,8.83686,1.4013587640999998,0.45016182548100003,0.9733006336,-0.210126,0,0,0.13517720033069477,0.0766148776109586,0.11265546993829162,0.052344213315378016,0.08,92
13.0,0.0850098,0,8.79474,0,0,8.87579,1.4020454464,0.46093100856100006,0.9739321343999999,-0.214237,0,0,0.13463502047814946,0.07719602853523812,0.11221252703320395,0.05262889288974707,0.08,92
13.0,0.0899447,0,8.83928,0,0,8.92204,1.4044146063999998,0.47265625,0.9747237729609999,-0.218896,0,0,0.1340697432370057,0.0777778280583939,0.11169246816482789,0.052930015553025775,0.08,92
13.0,0.0948796,0,8.87401,0,0,8.95633,1.4071890625,0.482937433969,0.9751957504,-0.223227,0,0,0.13367688339318978,0.0783114961556275,0.11128227261407188,0.05324188800837184,0.08,92
