x,y,z,x-velocity,y-velocity,z-velocity,x-velocity-magnitude,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,uw-reynolds-stress,vw-reynolds-stress,pseudo_Iu,pseudo_Iv,pseudo_Iw,pseudo_Iuv,h,r
13.0,0.00111586,0,6.95106,0,0,6.98908,1.4463189169000001,0.03410928796899999,0.508908170884,-0.101686,0,0,0.17301390003826755,0.026569616720327545,0.10262866382968928,0.045875366271184326,0.08,52
13.0,0.00605077,0,7.25056,0,0,7.29079,1.5153856200999998,0.046701371024999994,0.5485179843999999,-0.119725,0,0,0.16978136861152793,0.02980528400564922,0.10214659281489981,0.04772224566597878,0.08,52
13.0,0.0109857,0,7.88056,0,0,7.92592,1.6522788680999998,0.08226169696899999,0.6385080704889999,-0.15642,0,0,0.16311150476615874,0.03639500238561726,0.10139723572944054,0.05018674865038118,0.08,52
13.0,0.0159207,0,8.35514,0,0,8.40506,1.7039908368999999,0.12927188793599997,0.7177952839839999,-0.179066,0,0,0.15623556277931905,0.04303267210363919,0.10140201121704723,0.050646896108072305,0.08,52
13.0,0.0208556,0,8.57208,0,0,8.627,1.6162799689000003,0.18673979395600002,0.769657044601,-0.179283,0,0,0.1483105617306418,0.05041180203637857,0.10234400518893898,0.049395039821897864,0.08,52
13.0,0.0257905,0,8.64964,0,0,8.70989,1.5243359295999999,0.229336589881,0.793701028201,-0.175624,0,0,0.14273888855489938,0.0553654256130891,0.1029983906844678,0.04845001320914331,0.08,52
13.0,0.0307255,0,8.791,0,0,8.85298,1.4758605224999999,0.26956967840100005,0.818322870544,-0.180724,0,0,0.1381924695711523,0.059060516437265384,0.10290205892389943,0.048358145220488646,0.08,52
13.0,0.0356604,0,8.89694,0,0,8.9606,1.4505552721000001,0.29528356,0.8315287819239999,-0.185607,0,0,0.13537126247900963,0.061077179344808434,0.10249389115808355,0.04842353760564926,0.08,52
13.0,0.0405953,0,8.98576,0,0,9.05014,1.4129363688999999,0.32106049088399996,0.838922269329,-0.187664,0,0,0.13228374672815651,0.06305777140720428,0.1019309440715087,0.04820983771984921,0.08,52
13.0,0.0455302,0,9.04951,0,0,9.11291,1.3888622500000003,0.33835278576100003,0.8421953149439999,-0.189409,0,0,0.130228045496386,0.06427762387134774,0.10141013159828544,0.048092266085596934,0.08,52
13.0,0.0504652,0,9.13077,0,0,9.19591,1.3725762649,0.356188144225,0.846039398416,-0.19369,0,0,0.12831009871018545,0.06536305262316322,0.10073673961779783,0.04819990656253523,0.08,52
13.0,0.0554002,0,9.19059,0,0,9.25486,1.3613989041,0.368771994756,0.847635090241,-0.197187,0,0,0.12695485273524332,0.06607475689808814,0.10017539679171848,0.04831653122578675,0.08,52
13.0,0.0603351,0,9.25251,0,0,9.31916,1.3466442025,0.383295953881,0.847336819081,-0.201029,0,0,0.1254200211618253,0.0669125458929523,0.09948749042151807,0.04845848061700264,0.08,52
13.0,0.06527,0,9.30335,0,0,9.36873,1.3365440881000001,0.39403239839999993,0.8463797601209999,-0.204222,0,0,0.12426599020782837,0.06747246959428592,0.0988879274669877,0.04857489860446757,0.08,52
13.0,0.070205,0,9.36214,0,0,9.42763,1.3278183360999998,0.40563906240399994,0.8441695513690001,-0.208361,0,0,0.12308190221466458,0.068029104456887,0.09813856660977084,0.048756563231948144,0.08,52
13.0,0.0751399,0,9.40832,0,0,9.47413,1.3229140324,0.41495627724100004,0.8422595560089999,-0.21217,0,0,0.12225136900105439,0.06846822812149247,0.09754632070337743,0.048958703417628105,0.08,52
13.0,0.0800748,0,9.45847,0,0,9.5261,1.3186388224,0.42674470804899994,0.839875103809,-0.216986,0,0,0.12140652769422539,0.06906582142777848,0.09689167486919131,0.04924872213519017,0.08,52
13.0,0.0850098,0,9.49833,0,0,9.56555,1.3165726564000002,0.435701645929,0.8377795818089999,-0.220841,0,0,0.12080228840227705,0.06949400578838597,0.09636462409707812,0.04947577414671488,0.08,52
13.0,0.0899447,0,9.54985,0,0,9.61552,1.3156548804,0.4449023401,0.8357908946560001,-0.224981,0,0,0.1201086928066933,0.06984507610067174,0.09573092771090647,0.04966796555379576,0.08,52
13.0,0.0948796,0,9.5867,0,0,9.65475,1.3153107969000002,0.45291284814400007,0.8357908946560001,-0.228674,0,0,0.1196313642859378,0.07020017315656066,0.0953629507546914,0.04988147156681582,0.08,52
13.0,0.0998145,0,9.63185,0,0,9.69818,1.3148291556,0.463100665225,0.836288302144,-0.233618,0,0,0.11904878086764226,0.07065257453137247,0.09494416960397016,0.05018147704932888,0.08,52
13.0,0.104749,0,9.66813,0,0,9.73434,1.3140953955999999,0.470799077904,0.8370804362409999,-0.237257,0,0,0.11856894766619812,0.07097008418380804,0.09463267457098735,0.050381029288670304,0.08,52
13.0,0.109684,0,9.71186,0,0,9.77959,1.3144622500000003,0.479673982225,0.840511238436,-0.24116,0,0,0.11805153698673582,0.07131332206189134,0.09439942503289793,0.05056502477133445,0.08,52
13.0,0.114619,0,9.74438,0,0,9.81171,1.3147374243999999,0.4871230353639999,0.8417512009,-0.244745,0,0,0.11766987740625878,0.07162508030269756,0.09415375837149209,0.050769478496439605,0.08,52
13.0,0.119554,0,9.7847,0,0,9.85111,1.3141412496,0.49605821059599997,0.841560377956,-0.249649,0,0,0.11715842079982013,0.07198115425102455,0.09375514834384294,0.05106430209535672,0.08,52
13.0,0.124489,0,9.81399,0,0,9.88215,1.3148291556,0.5028072099209999,0.8403297230250001,-0.25339,0,0,0.11683932834657464,0.07225287574167082,0.09340696291722327,0.05129193989012634,0.08,52
13.0,0.129424,0,9.85629,0,0,9.92479,1.3223390048999997,0.5131286689000001,0.8477952945639999,-0.256278,0,0,0.1166696596792505,0.07267744759945173,0.09341831459910371,0.05136203114520468,0.08,52
13.0,0.134359,0,9.88353,0,0,9.95265,1.3240644623999998,0.519502185225,0.846061473856,-0.260614,0,0,0.11642399021402271,0.07292586757970076,0.09306553427773274,0.05165195763624163,0.08,52
