x,y,z,x-velocity,y-velocity,z-velocity,x-velocity-magnitude,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,uw-reynolds-stress,vw-reynolds-stress,pseudo_Iu,pseudo_Iv,pseudo_Iw,pseudo_Iuv,h,r
13.0,0.00111586,0,6.36011,0,0,6.41471,1.3878018025,0.036049097956000004,0.691656692281,-0.0898033,0,0,0.1852247838480781,0.029852628335044522,0.13076173210840694,0.04711742208014719,0.12,92
13.0,0.00605077,0,6.61923,0,0,6.67701,1.4631079680999999,0.04921786620099999,0.7418204641,-0.10505,0,0,0.18273877777324551,0.033516134051845906,0.1301193643369395,0.048965540918329935,0.12,92
13.0,0.0109857,0,7.16619,0,0,7.2305,1.6190781048999998,0.086222100496,0.854646629841,-0.136446,0,0,0.17756018190977352,0.040975190442899226,0.12900453378992185,0.051545657733642926,0.12,92
13.0,0.0159207,0,7.58168,0,0,7.65122,1.7009637241000002,0.135183434929,0.9526540816000001,-0.156417,0,0,0.17202124067489,0.04849492460773865,0.12873663884521636,0.052164677387534476,0.12,92
13.0,0.0208556,0,7.77474,0,0,7.852,1.6576305001,0.19538521657599997,1.0141698436000002,-0.158522,0,0,0.16559910685116158,0.05685386263720715,0.1295297334701868,0.051210485959524356,0.12,92
13.0,0.0257905,0,7.84825,0,0,7.9285,1.5967102320999997,0.240205851664,1.0423593216000002,-0.157096,0,0,0.1610053196572484,0.062448061669799,0.13008759914630652,0.05050213457548984,0.12,92
13.0,0.0307255,0,7.97371,0,0,8.05825,1.5736197136,0.28295909972100003,1.0730059396,-0.163547,0,0,0.15732199942059594,0.06671160601526768,0.12990941481443394,0.05071785228991994,0.12,92
13.0,0.0356604,0,8.0674,0,0,8.153,1.5630250441000002,0.31113191526399997,1.0903327560999998,-0.169068,0,0,0.1549706225053921,0.06914148300567717,0.12943327466098123,0.05096794422335224,0.12,92
13.0,0.0405953,0,8.14464,0,0,8.23213,1.5400561801000001,0.340500258576,1.0995829321000001,-0.172627,0,0,0.15236891992770704,0.07164515558698727,0.12874847752632407,0.05101318843423988,0.12,92
13.0,0.0455302,0,8.20043,0,0,8.28834,1.5255955225,0.361184172196,1.10271001,-0.175691,0,0,0.15062015040674695,0.07328713250402723,0.12805426056926283,0.051113795564075776,0.12,92
13.0,0.0504652,0,8.27331,0,0,8.36182,1.5189083535999999,0.383221664401,1.1051686128999998,-0.181256,0,0,0.1489657706528584,0.07482482827308537,0.12706764281768723,0.05145965831480726,0.12,92
13.0,0.0554002,0,8.32727,0,0,8.41683,1.5161735689,0.39945180848399997,1.1064725721,-0.185874,0,0,0.14786718816610966,0.0758978632853264,0.12631870949302712,0.05177339879185315,0.12,92
13.0,0.0603351,0,8.38226,0,0,8.47361,1.5119899369,0.41836576334400005,1.1076299536,-0.190916,0,0,0.14669432825992035,0.07716439241922823,0.12555563773970266,0.052126676464308595,0.12,92
13.0,0.06527,0,8.42618,0,0,8.51625,1.5104901604,0.43270215560099995,1.1087879401000003,-0.194698,0,0,0.14585731612664338,0.07806633610960126,0.1249664735384243,0.05236607373143449,0.12,92
13.0,0.070205,0,8.47733,0,0,8.56927,1.5118669763999997,0.44827309902400003,1.1096304921000002,-0.199416,0,0,0.1450433096269698,0.07897911252717542,0.12425964307158033,0.052676985125400394,0.12,92
13.0,0.0751399,0,8.51741,0,0,8.60969,1.5132198169,0.46077487041599996,1.1095462225000001,-0.203466,0,0,0.14442535935219744,0.07969605783917881,0.12367022369476167,0.05295882860259549,0.12,92
13.0,0.0800748,0,8.5623,0,0,8.65467,1.5145978761,0.4764409210090001,1.1087879401000003,-0.208747,0,0,0.14373357625871552,0.08061467129159221,0.12297980682760473,0.05336047428806514,0.12,92
13.0,0.0850098,0,8.59757,0,0,8.69058,1.51683856,0.488290693284,1.1073984289,-0.213059,0,0,0.14324977871654435,0.08127622107176796,0.12239853819160532,0.05368762862912137,0.12,92
13.0,0.0899447,0,8.64006,0,0,8.73385,1.5200917264,0.501239928289,1.1057574024999999,-0.218,0,0,0.14269808311516355,0.08194190781082539,0.12170633074307353,0.05403952069744308,0.12,92
13.0,0.0948796,0,8.67228,0,0,8.76544,1.5236939844000001,0.5127218741159999,1.1055050449000001,-0.222306,0,0,0.1423362714303505,0.08256721415821444,0.12124031973137399,0.05436786775447142,0.12,92
13.0,0.0998145,0,8.71099,0,0,8.80346,1.5285365955999999,0.5271050404,1.1049793924,-0.22806,0,0,0.141928758958511,0.08334529140775043,0.120672851191426,0.05482227386392289,0.12,92
13.0,0.104749,0,8.74006,0,0,8.83436,1.5322231089,0.538327429264,1.1044328464000002,-0.232545,0,0,0.14162717418415893,0.08394770745280926,0.12024173747090983,0.055174586744055586,0.12,92
13.0,0.109684,0,8.77647,0,0,8.87079,1.5381456484000002,0.550978113841,1.1061359929,-0.236689,0,0,0.1413119397662158,0.0845760311378037,0.11983519569940991,0.05543309978360731,0.12,92
13.0,0.114619,0,8.80485,0,0,8.89878,1.5431602176,0.5619811197160001,1.1052527160999999,-0.240979,0,0,0.1410858788054311,0.08514103022765862,0.11940123908981981,0.05575292246401045,0.12,92
13.0,0.119554,0,8.83851,0,0,8.93281,1.5485562481000001,0.575329835025,1.1030880784000001,-0.247078,0,0,0.14079409312203076,0.08581819786366707,0.11882998378686002,0.05623905066034142,0.12,92
13.0,0.124489,0,8.86426,0,0,8.9571,1.5526406025000004,0.585324454225,1.0999814399999999,-0.252047,0,0,0.14057010963126082,0.08630895303161235,0.11831782912504822,0.05663674428078898,0.12,92
13.0,0.129424,0,8.89665,0,0,8.99278,1.5622000144000003,0.599402672521,1.1058204964,-0.255507,0,0,0.14048883568534226,0.08702275575638022,0.11819954702050772,0.056816554820547725,0.12,92
13.0,0.134359,0,8.92062,0,0,9.01296,1.5652762320999998,0.608351640961,1.1022690121,-0.261189,0,0,0.14024922034567106,0.08743439357354085,0.11769249222587669,0.05729047217259776,0.12,92
13.0,0.139294,0,8.95388,0,0,9.04837,1.5719642883999998,0.621973554409,1.1038023844000002,-0.266403,0,0,0.14002644663542507,0.08807946945905017,0.11733684168204177,0.05764455433905128,0.12,92
13.0,0.144229,0,8.97607,0,0,9.07145,1.5753011120999998,0.630505873936,1.1007996561000002,-0.272475,0,0,0.13982845499199537,0.08846232259775158,0.11688745742847372,0.058153666274790586,0.12,92
13.0,0.149164,0,9.00222,0,0,9.09945,1.5826898024999998,0.641758005604,1.1043277568999998,-0.276224,0,0,0.1397488619473863,0.08898893828411214,0.11673453881375928,0.05838228421222976,0.12,92
13.0,0.154099,0,9.02607,0,0,9.12362,1.5890115135999998,0.6509310808090001,1.1042016561,-0.281549,0,0,0.13965768047444788,0.08938585674607,0.11641943836021656,0.05878659382327114,0.12,92
13.0,0.159034,0,9.0548,0,0,9.15098,1.5972409924,0.660679603684,1.1047481448999998,-0.286903,0,0,0.1395745902725626,0.0897669744224058,0.11607876485400008,0.059154621865144426,0.12,92
13.0,0.163969,0,9.08037,0,0,9.17703,1.6081283343999997,0.6705660921609999,1.1067040000000001,-0.293315,0,0,0.13965510215993399,0.09018145736352152,0.11585430990146878,0.05964356463058131,0.12,92
13.0,0.168904,0,9.10279,0,0,9.20183,1.6172717583999998,0.679271024041,1.1095672896000002,-0.298651,0,0,0.13970661742169158,0.09054136149466262,0.11571836766529822,0.06003540751032207,0.12,92
13.0,0.173839,0,9.12785,0,0,9.22458,1.6255485009,0.6868563978239999,1.1134048324,-0.302211,0,0,0.1396791139205837,0.09079553235427838,0.11560005915960495,0.06022636326700332,0.12,92
13.0,0.178774,0,9.1505,0,0,9.24915,1.6381952063999998,0.694083935689,1.1194698024999998,-0.309029,0,0,0.13987432380744222,0.09104606305666357,0.11562756133544615,0.0607511904978585,0.12,92
13.0,0.183709,0,9.18003,0,0,9.27799,1.6540274880999999,0.6992571986559999,1.1274829489,-0.315101,0,0,0.14009649205939412,0.09109076985587192,0.11566737799331811,0.0611477934991686,0.12,92
13.0,0.188644,0,9.20056,0,0,9.29852,1.6634550625,0.702502127716,1.1295013284000002,-0.320722,0,0,0.14018168459311173,0.09109815054735798,0.11551253401966838,0.06155312603368317,0.12,92
13.0,0.193579,0,9.22103,0,0,9.32007,1.6712801284,0.7046427249,1.1277165636000002,-0.324844,0,0,0.14019908838817355,0.09103429877139538,0.11516500868124277,0.06180989272088794,0.12,92
13.0,0.198514,0,9.24184,0,0,9.34082,1.6778798089000002,0.706976590761,1.1339481168999999,-0.331613,0,0,0.14015931892350442,0.0909796101209283,0.11522272621036504,0.06230993931527214,0.12,92
