x,y,z,x-velocity,y-velocity,z-velocity,x-velocity-magnitude,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,uw-reynolds-stress,vw-reynolds-stress,pseudo_Iu,pseudo_Iv,pseudo_Iw,pseudo_Iuv,h,r
13.0,0.00111586,0,6.4071,0,0,6.46742,1.4623581183999999,0.037274866489,0.7641504606489999,-0.0910244,0,0,0.18874061587925894,0.030133289631814705,0.13643567292534844,0.04708877689992893,0.14,87
13.0,0.00605077,0,6.66929,0,0,6.73271,1.5450738600999998,0.050919727716,0.8191589454760001,-0.106621,0,0,0.18637816019396367,0.03383478601170439,0.13570769902043547,0.048960041078873744,0.14,87
13.0,0.0109857,0,7.22311,0,0,7.2936,1.7174626703999998,0.08943628548100001,0.943347930121,-0.13845,0,0,0.18143431292061174,0.0414030798368016,0.134465763362319,0.051513641506606034,0.14,87
13.0,0.0159207,0,7.64176,0,0,7.71789,1.8149208961000003,0.140438312001,1.0504200099999998,-0.158878,0,0,0.17629315759720277,0.049039880865141015,0.13411831829316806,0.05216010874238358,0.14,87
13.0,0.0208556,0,7.83633,0,0,7.9186,1.7817177361,0.20315392707600002,1.1172067204,-0.161507,0,0,0.1703361139717189,0.057517485863918444,0.134882017475017,0.051284126003417786,0.14,87
13.0,0.0257905,0,7.90979,0,0,7.99577,1.7264646025,0.25040616483600003,1.1478551044,-0.16045,0,0,0.16611692598665703,0.06326413217038632,0.13544986655777208,0.05064130717091031,0.14,87
13.0,0.0307255,0,8.03576,0,0,8.12646,1.7105500943999998,0.2958990091559999,1.1817646680999998,-0.167051,0,0,0.16275747409081406,0.06769316156779197,0.13528154150945274,0.05086248589937045,0.14,87
13.0,0.0356604,0,8.13224,0,0,8.22354,1.7069161200999998,0.3259839025,1.2017202129,-0.172768,0,0,0.16065561272171014,0.0702082083165278,0.13480049777183165,0.051111834133827125,0.14,87
13.0,0.0405953,0,8.20917,0,0,8.30307,1.6924188648999998,0.357590844121,1.21352256,-0.176205,0,0,0.15847278104851037,0.07284402686264263,0.1341913981559646,0.051134011471591696,0.14,87
13.0,0.0455302,0,8.2662,0,0,8.36136,1.6819755481,0.37973448307600005,1.2179329599999997,-0.179032,0,0,0.1568931310638504,0.0745476760784883,0.13350753671578233,0.05118697005792799,0.14,87
