x,y,z,x-velocity,y-velocity,z-velocity,x-velocity-magnitude,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,uw-reynolds-stress,vw-reynolds-stress,pseudo_Iu,pseudo_Iv,pseudo_Iw,pseudo_Iuv,h,r
13.0,0.00111586,0,6.61784,0,0,6.66312,1.3604423044,0.0346183236,0.5878472909439999,-0.0944859,0,0,0.1762478391741112,0.028114913627407128,0.11585532439587538,0.04644802359554601,0.08,82
13.0,0.00605077,0,6.89608,0,0,6.94436,1.4307269768999997,0.047393725401,0.6323207745959999,-0.11118,0,0,0.17345071402883955,0.031568804306214546,0.11530985719423208,0.04835162159588683,0.08,82
13.0,0.0109857,0,7.48175,0,0,7.5347,1.5739960681000003,0.083314781449,0.732527150884,-0.145399,0,0,0.16768670431383034,0.03857961038527082,0.11439542887693388,0.050965644139346254,0.08,82
13.0,0.0159207,0,7.922,0,0,7.98145,1.6390912729,0.1310078025,0.8208178800999999,-0.166856,0,0,0.16160944206008585,0.04568921989396617,0.1143637970209543,0.05156275052699793,0.08,82
13.0,0.0208556,0,8.12227,0,0,8.18695,1.5747489121000002,0.189374669584,0.877873428601,-0.168339,0,0,0.15449991197042207,0.05357763285386967,0.11535555946798125,0.05051437096889542,0.08,82
13.0,0.0257905,0,8.19722,0,0,8.26572,1.4998900899999998,0.23270397123599998,0.904558872889,-0.165998,0,0,0.14940431024176487,0.05884848765801089,0.1160250670349216,0.049703255657211357,0.08,82
13.0,0.0307255,0,8.33021,0,0,8.40141,1.4638822081,0.27372882248099994,0.933099972841,-0.171665,0,0,0.14524363731526577,0.06280645986115596,0.1159599818011791,0.04973761187957486,0.08,82
13.0,0.0356604,0,8.43143,0,0,8.5045,1.4469684100000002,0.300176877456,0.9492526956160001,-0.176954,0,0,0.14266856274677012,0.06498114791915488,0.1155552498212047,0.049891774799490404,0.08,82
13.0,0.0405953,0,8.51434,0,0,8.58887,1.4196007609,0.32739224112399995,0.959582853889,-0.179868,0,0,0.13993685946297657,0.06720215542249898,0.1150509610844763,0.049811080681489324,0.08,82
13.0,0.0455302,0,8.57394,0,0,8.64871,1.4019980835999997,0.34619337792399996,0.9638075371689999,-0.182384,0,0,0.1380998700714024,0.06862445969997456,0.11450243412013612,0.04980958555275865,0.08,82
13.0,0.0504652,0,8.65091,0,0,8.72709,1.3914089764000002,0.3655423692010001,0.967565355201,-0.187208,0,0,0.13635328537691413,0.06988871690955056,0.11370468540303853,0.050015015525555095,0.08,82
13.0,0.0554002,0,8.70659,0,0,8.78289,1.3852113025,0.3798441792249999,0.968986265641,-0.19117,0,0,0.13517921482463283,0.07078718533892144,0.1130604519105643,0.050218273357796536,0.08,82
13.0,0.0603351,0,8.7653,0,0,8.84149,1.3764686329,0.3964931243290001,0.9689134235560001,-0.195681,0,0,0.13384938336394647,0.07183747276191346,0.11229895154757967,0.05046700648430606,0.08,82
13.0,0.06527,0,8.80916,0,0,8.88709,1.3726934244000002,0.40880550564100004,0.9688268041,-0.199449,0,0,0.1330001952513066,0.07258115416225838,0.11173483056273242,0.050696903438169516,0.08,82
13.0,0.070205,0,8.86372,0,0,8.94138,1.3717328641000002,0.4225468012959999,0.968803181284,-0.204258,0,0,0.1321352660056951,0.07333670287418825,0.11104570090210429,0.05098864948121995,0.08,82
13.0,0.0751399,0,8.90619,0,0,8.98447,1.3724356801000002,0.43358669172899994,0.970150141444,-0.208433,0,0,0.13153885106875104,0.07393430861007905,0.11059296960877771,0.05126149687981488,0.08,82
13.0,0.0800748,0,8.95442,0,0,9.03338,1.3748969536000002,0.447605155089,0.972691035001,-0.214006,0,0,0.1309476213981475,0.0747153919516842,0.11014124867942311,0.05166251139313067,0.08,82
13.0,0.0850098,0,8.99145,0,0,9.07192,1.3782290404000002,0.45816788816099996,0.975124650256,-0.218356,0,0,0.13056626016938314,0.07528051649066612,0.1098247779835288,0.05197001371263537,0.08,82
13.0,0.0899447,0,9.03788,0,0,9.11635,1.3834699641,0.46972792468899993,0.977080848676,-0.223208,0,0,0.13014224574789662,0.07583271740717956,0.1093701177709817,0.052274309798313004,0.08,82
13.0,0.0948796,0,9.07245,0,0,9.15125,1.3885087225000001,0.47980558239999993,0.978473115684,-0.227379,0,0,0.12988222585960793,0.07634982832641679,0.1090309673792636,0.05255942346035267,0.08,82
13.0,0.0998145,0,9.11272,0,0,9.19333,1.3949263449000002,0.49307641363599997,0.9781645164839999,-0.233236,0,0,0.1296067474914186,0.07705646612646938,0.108532029953735,0.05299681450313967,0.08,82
13.0,0.104749,0,9.14594,0,0,9.22622,1.3997965969000001,0.5029944268409999,0.977413004164,-0.237846,0,0,0.12936122476202555,0.07754489970413102,0.10809627003894626,0.05332361425439156,0.08,82
13.0,0.109684,0,9.18499,0,0,9.26398,1.4065485604,0.5143715368089999,0.9786452402249999,-0.242523,0,0,0.12912153415518143,0.07808359072791586,0.10770452662441656,0.053616415749815675,0.08,82
13.0,0.114619,0,9.21373,0,0,9.29401,1.4117717124,0.524025418816,0.9788787206890001,-0.246935,0,0,0.12895754488138897,0.07856709497673581,0.10738137540388094,0.05393315711913865,0.08,82
13.0,0.119554,0,9.24885,0,0,9.3302,1.4176950488999998,0.5357698333690001,0.9776226075039999,-0.253043,0,0,0.1287370862323424,0.07914097428328928,0.10690496656341059,0.0543887938588405,0.08,82
13.0,0.124489,0,9.27355,0,0,9.35547,1.4224140225,0.5443385108490001,0.975875282496,-0.257905,0,0,0.12860770686522421,0.07955885286648587,0.1065249014670757,0.054762575262358705,0.08,82
13.0,0.129424,0,9.31013,0,0,9.39351,1.4326174863999999,0.556569713296,0.9827272382760001,-0.261483,0,0,0.12856104050104564,0.08013164155602555,0.10647821244171672,0.05492448384279051,0.08,82
13.0,0.134359,0,9.33467,0,0,9.41569,1.4369056640999998,0.564140694649,0.980222763844,-0.266724,0,0,0.128414823448499,0.08046272658808508,0.10606288170872673,0.055326357468676216,0.08,82
13.0,0.139294,0,9.37164,0,0,9.45362,1.44432324,0.5758533225,0.9829255134760001,-0.271297,0,0,0.12823796048503786,0.08097302073062987,0.10579002181048355,0.05557850983280414,0.08,82
13.0,0.144229,0,9.39657,0,0,9.47838,1.4484844609,0.5827474976410001,0.980789161104,-0.276638,0,0,0.12808184262981065,0.08124017593653854,0.10539462803980601,0.05597402851110888,0.08,82
13.0,0.149164,0,9.42301,0,0,9.50864,1.4553527044,0.591944045641,0.984839896881,-0.279666,0,0,0.12802490923813092,0.08164896354774112,0.10531571122178583,0.056121618007966806,0.08,82
13.0,0.154099,0,9.44945,0,0,9.53217,1.4602305599999998,0.5992153280999999,0.9855942584409999,-0.284191,0,0,0.1278804586510326,0.08191905348988564,0.10506124695088073,0.05641552431261267,0.08,82
13.0,0.159034,0,9.47897,0,0,9.56253,1.4664725604,0.6067210399290001,0.9869667454439999,-0.288707,0,0,0.1277543868162891,0.08217380158392737,0.10480695687400635,0.056684916103160836,0.08,82
13.0,0.163969,0,9.50508,0,0,9.58909,1.4759820100000003,0.614196661849,0.98982601,-0.294356,0,0,0.12781586267553774,0.08245138389156115,0.1046703446998868,0.057079566989123656,0.08,82
13.0,0.168904,0,9.52844,0,0,9.61329,1.4834022025000002,0.620357866384,0.9924423337960001,-0.29881,0,0,0.12782260265059128,0.08266075034318314,0.10455163699409348,0.05736879926764442,0.08,82
13.0,0.173839,0,9.55532,0,0,9.6371,1.4894249764,0.6254057622760001,0.9955210265640001,-0.301502,0,0,0.12772152057701888,0.08276290066685366,0.10441910893617377,0.05746453051527553,0.08,82
13.0,0.178774,0,9.57896,0,0,9.66321,1.4998411024,0.629904132225,0.9996500306249999,-0.307373,0,0,0.1278510401964305,0.08285502810325963,0.10437719752457468,0.057878130971506785,0.08,82
13.0,0.183709,0,9.60821,0,0,9.69218,1.5128508004,0.631506766276,1.0058284681,-0.311998,0,0,0.1280134385072766,0.08270780925895667,0.1043805245722148,0.05813442997818569,0.08,82
13.0,0.188644,0,9.63028,0,0,9.71397,1.5207575761,0.632463916176,1.0065506929000003,-0.316372,0,0,0.1280533899325876,0.08258077646755857,0.10417869470046562,0.05840635523906175,0.08,82
13.0,0.193579,0,9.6514,0,0,9.73829,1.5282646129,0.6324257435039999,1.0033828561,-0.319139,0,0,0.12808815301407048,0.08239757962575377,0.10378701535528523,0.05853284380284934,0.08,82
13.0,0.198514,0,9.67375,0,0,9.75627,1.5345015625,0.632656387609,1.00781521,-0.324987,0,0,0.12805271998966275,0.08222219925054917,0.10377568161261146,0.05893022981587266,0.08,82
13.0,0.203449,0,9.69783,0,0,9.78305,1.5443778528999996,0.633469544464,1.0199182081000002,-0.335819,0,0,0.12814516237137585,0.0820707312873086,0.10413772978078602,0.059755524842468294,0.08,82
13.0,0.208384,0,9.71414,0,0,9.79868,1.5407512129000003,0.6305789280999999,1.0137066488999997,-0.343254,0,0,0.12777971081330927,0.08174578501030456,0.10364581939317323,0.06031196040641666,0.08,82
13.0,0.213319,0,9.72657,0,0,9.80899,1.5315052516000003,0.6262997148809999,0.998542531441,-0.34732,0,0,0.12723293000513028,0.08136383123752772,0.102736216364042,0.06059058972940929,0.08,82
