x,y,z,x-velocity,y-velocity,z-velocity,x-velocity-magnitude,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,uw-reynolds-stress,vw-reynolds-stress,pseudo_Iu,pseudo_Iv,pseudo_Iw,pseudo_Iuv,h,r
13.0,0.00111586,0,6.8809,0,0,6.92205,1.4622371929,0.034471492225,0.546094396324,-0.100411,0,0,0.1757371855425889,0.026982662151753406,0.10739612550683778,0.04605167168913506,0.08,62
13.0,0.00605077,0,7.17385,0,0,7.21741,1.5353688100000003,0.047232763561,0.588394850761,-0.118252,0,0,0.17272454818542346,0.030294890470249587,0.10692570934714275,0.047934914348965546,0.08,62
13.0,0.0109857,0,7.79325,0,0,7.84025,1.6822349401,0.08317398320100002,0.684297891729,-0.154286,0,0,0.1664273570076669,0.03700625541333847,0.10614608796073527,0.050401638099778864,0.08,62
13.0,0.0159207,0,8.25794,0,0,8.31209,1.7428488289000001,0.13087608582399998,0.7678053000250001,-0.176836,0,0,0.159866746428286,0.0438085043001039,0.10610939289943982,0.05092295745526075,0.08,62
13.0,0.0208556,0,8.47088,0,0,8.52855,1.6622171328999997,0.18924588057600003,0.819953793169,-0.177728,0,0,0.152200243658274,0.05135523109759554,0.10689715826454868,0.04976790936008688,0.08,62
13.0,0.0257905,0,8.54872,0,0,8.61094,1.5753262144,0.23261329,0.843236321841,-0.174626,0,0,0.1468196408351192,0.05641780289914748,0.10741713379312927,0.048882494534573426,0.08,62
13.0,0.0307255,0,8.68799,0,0,8.75331,1.5336840964000003,0.27333134172100004,0.8674817437689999,-0.180305,0,0,0.14254390255974053,0.060176289337349614,0.10720396777620601,0.04887475267842168,0.08,62
13.0,0.0356604,0,8.7956,0,0,8.86225,1.5132444196000001,0.29984385639999994,0.8809136449,-0.186005,0,0,0.1398585656464596,0.06225612806403201,0.10670903633635,0.04903394535383571,0.08,62
13.0,0.0405953,0,8.8807,0,0,8.94829,1.4795316496000002,0.32667969048100004,0.8882195421160001,-0.189578,0,0,0.13696668055446082,0.0643596788541444,0.10612384158906393,0.04902829259765692,0.08,62
13.0,0.0455302,0,8.94265,0,0,9.01279,1.4571869796000003,0.345142150144,0.891001957041,-0.192441,0,0,0.13498683276210072,0.06569506801675118,0.10555361106607102,0.049054919680050005,0.08,62
13.0,0.0504652,0,9.0226,0,0,9.09192,1.4427132769000002,0.364421090929,0.893333096569,-0.197487,0,0,0.13312459823110853,0.06690676745062399,0.10475505951721233,0.04925355157963072,0.08,62
13.0,0.0554002,0,9.08101,0,0,9.15042,1.4336949169000002,0.378568247841,0.894136665744,-0.201724,0,0,0.13185427612126846,0.06775446784003102,0.10412806505003298,0.04945892033607319,0.08,62
13.0,0.0603351,0,9.14268,0,0,9.2124,1.4232728600999998,0.3947885356840001,0.8942690529639999,-0.206464,0,0,0.13048799695494098,0.06872405027847414,0.10343334777111306,0.0496991142944097,0.08,62
13.0,0.06527,0,9.18937,0,0,9.25954,1.4167664784,0.40677225736899997,0.894794916096,-0.210214,0,0,0.12952792193588897,0.06940486671012268,0.10293806865976667,0.049893627439451076,0.08,62
13.0,0.070205,0,9.24772,0,0,9.31878,1.4122470244,0.42000120562499993,0.8945262904360001,-0.214934,0,0,0.12850518830587432,0.07007943579606649,0.10227320896393922,0.0501323298804221,0.08,62
13.0,0.0751399,0,9.29258,0,0,9.36311,1.4092301521000004,0.430522324164,0.8941480128360001,-0.218989,0,0,0.1277481603602014,0.07060923876899634,0.10175796172860499,0.050358738406732266,0.08,62
