x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress	pseudo_Iu	pseudo_Iv	pseudo_Iw	pseudo_Iuv	x-velocity-magnitude	h	r
-4.95	0.00193683	0.0	2.81358	0.0	0.0	2.486553407357804	0.4724836252642549	1.9268358456325585	0.0	0.0	0.120591351605425	0.5604535541774046	0.2443059885528597	0.49335903998848674	0.1234237715184176	-1.0	0.06	57
-4.95	0.00684118	0.0	2.85511	0.0	0.0	2.6547693183272103	0.619921231709455	1.9961192414970232	0.0	0.0	0.237652268366146	0.5706772368063291	0.2757689783924006	0.4948463774855792	0.1707450557967524	-1.0	0.06	57
-4.95	0.0117455	0.0	2.9563	0.0	0.0	2.8086315405408024	0.753527769993434	2.05712785284071	0.0	0.0	0.3442370818781891	0.5668901107739139	0.29363047501395295	0.4851568178354038	0.1984633520809849	-1.0	0.06	57
-4.95	0.0166498	0.0	3.04103	0.0	0.0	2.949005414948511	0.874227128204647	2.110467430727727	0.0	0.0	0.4410513174732989	0.5646990803843593	0.30746199086383846	0.4777147190311676	0.21838552912344994	-1.0	0.06	57
-4.95	0.0215542	0.0	3.14834	0.0	0.0	3.076715893033857	0.9828980883317636	2.156710978280009	0.0	0.0	0.528764642439737	0.5571370884736543	0.31489996910849294	0.4664599349114336	0.2309668100941153	-1.0	0.06	57
-4.95	0.0264585	0.0	3.26049	0.0	0.0	3.192538275624849	1.0803668857464517	2.196396239030458	0.0	0.0	0.6080049109895284	0.5480058363651061	0.3187885831699367	0.45454038256278284	0.2391501573947314	-1.0	0.06	57
-4.95	0.0313629	0.0	3.4402	0.0	0.0	3.2972181143700423	1.1674245024453886	2.230033578142917	0.0	0.0	0.6793722035549674	0.5278252317315942	0.3140730778972395	0.4340822321546133	0.23959083184592725	-1.0	0.06	57
-4.95	0.0362672	0.0	3.60019	0.0	0.0	3.3914538208639624	1.2448124193258363	2.2581007673792346	0.0	0.0	0.74342729212697	0.5115257875794984	0.30990353846454394	0.4173940346754064	0.2394935541057198	-1.0	0.06	57
-4.95	0.0411715	0.0	3.82261	0.0	0.0	3.475913708893515	1.313237255944483	2.281049366026084	0.0	0.0	0.8007036364094954	0.4877244207324044	0.29978617840685773	0.3951002919198118	0.23408625239235928	-1.0	0.06	57
-4.95	0.0460759	0.0	4.0179	0.0	0.0	3.551230175276185	1.3733662493279266	2.299303421024484	0.0	0.0	0.8517037552269657	0.4690188393159253	0.2916715446560708	0.377397500219514	0.22969162352975647	-1.0	0.06	57
