x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress	pseudo_Iu	pseudo_Iv	pseudo_Iw	pseudo_Iuv	x-velocity-magnitude	h	r
-4.95	4.80635e-05	0.0	1.81391	0.0	0.0	2.0030676984532265	0.078182579272187	2.4093412877023046	0.0	0.0	0.0594559190370406	0.7802469482939272	0.15414848539868467	0.8557234362131343	0.13442554726899952	-1.0	0.16	72
-4.95	0.00495239	0.0	1.82509	0.0	0.0	2.0404640917945747	0.1054627509833599	2.3744938132933906	0.0	0.0	0.0319916745371365	0.7826727126299989	0.1779365895366799	0.8443086441418998	0.09800183350414772	-1.0	0.16	72
-4.95	0.00985673	0.0	1.84233	0.0	0.0	2.08550628323036	0.2754728469851253	2.344626156478305	0.0	0.0	0.000283478894737	0.783859682425677	0.2848865688356361	0.8311308039326658	0.009138879295997819	-1.0	0.16	72
-4.95	0.0147611	0.0	1.86101	0.0	0.0	2.137556293865856	0.4327055536814429	2.3194576014074504	0.0	0.0	0.0368062297862687	0.7856155548280217	0.3534659044841664	0.8183602235903488	0.1030889128743444	-1.0	0.16	72
-4.95	0.0196654	0.0	1.87066	0.0	0.0	2.196002364294276	0.5779727814751501	2.298718282297153	0.0	0.0	0.0770473287005656	0.7921757465045371	0.40640480440709686	0.8104906611088337	0.14838292677904008	-1.0	0.16	72
-4.95	0.0245697	0.0	1.87886	0.0	0.0	2.260261441484751	0.7120509166708097	2.282147530450548	0.0	0.0	0.120512357208895	0.8001748876803246	0.44911866497278896	0.8040395974553001	0.18476570779610574	-1.0	0.16	72
-4.95	0.0294741	0.0	1.89457	0.0	0.0	2.3297773619943234	0.835677074675735	2.269494585620907	0.0	0.0	0.1667394657182659	0.8056502652325678	0.48251252148626994	0.7951588911162248	0.21553040584137984	-1.0	0.16	72
-4.95	0.0343784	0.0	1.91406	0.0	0.0	2.404015040242244	0.949543061808945	2.2605188588737017	0.0	0.0	0.2152946410447872	0.8100522688080509	0.5090984618776787	0.7855042150340245	0.24241587808443624	-1.0	0.16	72
-4.95	0.0392827	0.0	1.93469	0.0	0.0	2.482468272816144	1.0543119332793456	2.2549881037981785	0.0	0.0	0.2657760205735271	0.8143863137294525	0.5307294341415842	0.7761769486382626	0.2664688884835282	-1.0	0.16	72
-4.95	0.0441871	0.0	1.95357	0.0	0.0	2.5646551684312966	1.1506110098835227	2.2526792266002515	0.0	0.0	0.3178099293376027	0.8197577150557043	0.5490795704647363	0.7682820732455382	0.28857237478673375	-1.0	0.16	72
