x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress	pseudo_Iu	pseudo_Iv	pseudo_Iw	pseudo_Iuv	x-velocity-magnitude	h	r
-4.95	0.00067766	0.0	2.7061	0.0	0.0	2.3525903742996155	0.3939015298060593	1.828039460943167	0.0	0.0	0.0742543814070701	0.5667993148496142	0.23192629619225846	0.49963049982430663	0.10069715508205523	-1.0	0.06	67
-4.95	0.00558198	0.0	2.74276	0.0	0.0	2.5254104230193097	0.5376985336222246	1.8986940474222715	0.0	0.0	0.1917988146163779	0.579399581445407	0.2673508805862446	0.502388497349276	0.1596743482748099	-1.0	0.06	67
-4.95	0.0104863	0.0	2.82984	0.0	0.0	2.6831757950606936	0.6679188309976675	1.9604291987371272	0.0	0.0	0.2984375425292049	0.5788455283650221	0.2888018446736007	0.4947817816104858	0.1930477954621029	-1.0	0.06	67
-4.95	0.0153907	0.0	2.92351	0.0	0.0	2.82681960428761	0.7854790212865268	2.013932822329657	0.0	0.0	0.3949278162380648	0.5751014513002588	0.3031535871118771	0.4854202686401916	0.21495832939083698	-1.0	0.06	67
-4.95	0.020295	0.0	3.02347	0.0	0.0	2.957222147882957	0.8912431273172577	2.059851576081234	0.0	0.0	0.4819814413773123	0.5687695155041925	0.3122428003117706	0.4746924238001974	0.22961988459080898	-1.0	0.06	67
-4.95	0.0251993	0.0	3.12913	0.0	0.0	3.07522822883904	0.986037157176107	2.0987982295026435	0.0	0.0	0.5602769205657869	0.5604218635963542	0.3173386969630761	0.4629794751459963	0.23920913475069636	-1.0	0.06	67
-4.95	0.0301037	0.0	3.29199	0.0	0.0	3.1816395296240443	1.070643180425081	2.1313495422544797	0.0	0.0	0.6304547919065535	0.5418349059549982	0.31431410471058113	0.44347468378694843	0.2411950928180585	-1.0	0.06	67
-4.95	0.035008	0.0	3.44522	0.0	0.0	3.27721082331043	1.14579682939875	2.1580463913319923	0.0	0.0	0.6931156818922493	0.5254546389667574	0.3106968487125847	0.4263963010068902	0.24164950106668798	-1.0	0.06	67
-4.95	0.0399123	0.0	3.6524	0.0	0.0	3.362664507459827	1.212199249097227	2.179399170565796	0.0	0.0	0.7488303668496331	0.5020690334970335	0.3014454070905904	0.40419418067072527	0.23692636411263224	-1.0	0.06	67
-4.95	0.0448167	0.0	3.84161	0.0	0.0	3.438684662459665	1.2705126936894775	2.1958866991345363	0.0	0.0	0.7981362907404067	0.48270622836782157	0.2934108915395283	0.3857373484688393	0.2325547721823061	-1.0	0.06	67
-4.95	0.049721	0.0	4.09637	0.0	0.0	3.505914786208679	1.3213592940226595	2.207957052873557	0.0	0.0	0.8415365913744264	0.4570897695270513	0.2806152603127702	0.36274057235747764	0.2239429141655088	-1.0	0.06	67
-4.95	0.0546253	0.0	4.31702	0.0	0.0	3.5649684895371943	1.365329658762641	2.216030875054441	0.0	0.0	0.8795074772758151	0.43736475958724136	0.2706666211794685	0.3448290477169157	0.21723795574930593	-1.0	0.06	67
-4.95	0.0595297	0.0	4.59969	0.0	0.0	3.61642547023038	1.4029801184057449	2.2205012675186824	0.0	0.0	0.9124960302358632	0.4134387668450761	0.257511836023153	0.3239641470285799	0.20767629576240224	-1.0	0.06	67
-4.95	0.064434	0.0	4.82113	0.0	0.0	3.6608304527585767	1.434832454283588	2.2217351121638798	0.0	0.0	0.9409199619558786	0.39686332394395857	0.248457295447093	0.309169965208392	0.20119977880982326	-1.0	0.06	67
-4.95	0.0693384	0.0	5.10911	0.0	0.0	3.6987014736617625	1.4613803376594194	2.2200747342869467	0.0	0.0	0.965173326218175	0.37642580423949956	0.23661178761180612	0.2916342614562377	0.1922903112245814	-1.0	0.06	67
-4.95	0.0742427	0.0	5.33232	0.0	0.0	3.730523849507524	1.4830854048094062	2.215838819723818	0.0	0.0	0.9856230395688056	0.3622168973951631	0.22838463171823364	0.2791598004126287	0.1861826550628943	-1.0	0.06	67
-4.95	0.079147	0.0	5.61018	0.0	0.0	3.756757143582309	1.5003825987474393	2.2093234424725665	0.0	0.0	1.0026137146377672	0.3454854523102283	0.21833542893764815	0.2649432471672462	0.17848019216763333	-1.0	0.06	67
-4.95	0.0840513	0.0	5.81157	0.0	0.0	3.777833143551328	1.513679145790691	2.200803226629401	0.0	0.0	1.0164667232811138	0.33444746846216433	0.21170125889614835	0.2552684455922681	0.17348147638965733	-1.0	0.06	67
-4.95	0.0889556	0.0	6.05218	0.0	0.0	3.794157850903457	1.5233563495539393	2.1905323830976093	0.0	0.0	1.0274818121400744	0.32184432930769535	0.203933661836706	0.24454737356518264	0.16748473693549595	-1.0	0.06	67
-4.95	0.0938599	0.0	6.22388	0.0	0.0	3.806112598675029	1.5297707536486471	2.1787457170970583	0.0	0.0	1.0359381459136112	0.3134581784104776	0.1987247531875077	0.23716033906853815	0.1635331122381233	-1.0	0.06	67
-4.95	0.0987641	0.0	6.43343	0.0	0.0	3.814055011891158	1.5332552243299706	2.165659880473028	0.0	0.0	1.0420952111699102	0.30356444013894957	0.1924707092447983	0.22874549289961454	0.1586759547619721	-1.0	0.06	67
-4.95	0.103668	0.0	6.57988	0.0	0.0	3.818320416650521	1.5341202925073716	2.151474414807041	0.0	0.0	1.0461939872305286	0.2969738515791776	0.18823992191425862	0.2229205570573277	0.15544907301308047	-1.0	0.06	67
