x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress	pseudo_Iu	pseudo_Iv	pseudo_Iw	pseudo_Iuv	x-velocity-magnitude	h	r
-4.95	0.00113418	0.0	3.39249	0.0	0.0	2.7273959110501296	0.4677549575537914	1.69200233458984	0.0	0.0	0.3409403820998436	0.48680554489744693	0.20160004438460688	0.38342630360258856	0.17211576266433823	-1.0	0.04	62
-4.95	0.00382297	0.0	3.42963	0.0	0.0	2.7747494813270346	0.5324462317363707	1.719502984999158	0.0	0.0	0.3802769901889594	0.48569610424178117	0.2127603075635241	0.3823439280555778	0.1798054099365843	-1.0	0.04	62
-4.95	0.00651178	0.0	3.47135	0.0	0.0	2.819195430408432	0.5935613101067306	1.7448455370993092	0.0	0.0	0.4174702711289629	0.48368674670533274	0.2219393902866336	0.380522279516127	0.18612914107346637	-1.0	0.04	62
-4.95	0.00920059	0.0	3.54964	0.0	0.0	2.860841957775855	0.6512361980862297	1.7681209411309304	0.0	0.0	0.4526049461903043	0.47649969130550524	0.2273447640234225	0.37460336498105185	0.1895288546782912	-1.0	0.04	62
-4.95	0.0118894	0.0	3.65325	0.0	0.0	2.899794400229668	0.7056034442458445	1.7894175325559687	0.0	0.0	0.4857633926909181	0.46612694706125557	0.22993281328784898	0.36616468076668235	0.1907800677116619	-1.0	0.04	62
-4.95	0.0145782	0.0	3.74243	0.0	0.0	2.9361548113056912	0.7567915469301251	1.8088208152247127	0.0	0.0	0.5170252927390312	0.4578632528297996	0.2324526226052614	0.3593718767584432	0.1921331082859026	-1.0	0.04	62
-4.95	0.017267	0.0	3.82906	0.0	0.0	2.970022443109171	0.8049256150859405	1.826413744436028	0.0	0.0	0.5464680462843359	0.4500779056362403	0.23430723681444537	0.3529453071005557	0.19305907213493814	-1.0	0.04	62
-4.95	0.0199558	0.0	3.92845	0.0	0.0	3.0014933881492247	0.85012685189501	1.8422765560857208	0.0	0.0	0.5741664655121527	0.44100901321303215	0.23470407877456168	0.3455064686913698	0.19288465647037162	-1.0	0.04	62
-4.95	0.0226446	0.0	4.0355	0.0	0.0	3.030660798814744	0.8925128450414058	1.8564869110442817	0.0	0.0	0.6001929609641046	0.43139123224024123	0.23410456688809964	0.3376358815665208	0.19197651220307285	-1.0	0.04	62
-4.95	0.0253334	0.0	4.12947	0.0	0.0	3.057614955861472	0.9321976473805051	1.8691199556682936	0.0	0.0	0.6246175996767209	0.42344507069241083	0.23380817171383764	0.33107338694191124	0.19138715787674282	-1.0	0.04	62
-4.95	0.0280222	0.0	4.26423	0.0	0.0	3.082443335738234	0.9692918562924044	1.8802483812879225	0.0	0.0	0.6475081622953658	0.41172470747398615	0.23088018447478448	0.3215636802951254	0.18870438948160206	-1.0	0.04	62
