x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	uv-reynolds-stress	uw-reynolds-stress	vw-reynolds-stress	x-velocity-magnitude	h	r
0.3	2.7952	0	15.1854	0	0	0.038506997823999994	0.011731705969000002	0.016699359076000002	0.0055183	0	0	15.1971	0.08	62
0.3	2.79027	0	15.1939	0	0	0.037920551824	0.011742756496	0.016642548036	0.00549694	0	0	15.1969	0.08	62
0.3	2.78533	0	15.1942	0	0	0.037360637520999995	0.011764873156000001	0.016583258176	0.00547557	0	0	15.196	0.08	62
0.3	2.7804	0	15.194	0	0	0.036717457924	0.011783536704	0.016517904484	0.00544353	0	0	15.1928	0.08	62
0.3	2.77546	0	15.194	0	0	0.035949297608999994	0.011813081344000002	0.016429086976000002	0.00533672	0	0	15.1875	0.08	62
0.3	2.77053	0	15.1933	0	0	0.035345128009	0.011824170121	0.016360968099999998	0.00516583	0	0	15.1816	0.08	62
0.3	2.76559	0	15.1864	0	0	0.034708807809	0.011848322500000001	0.016258035049000003	0.00502698	0	0	15.1781	0.08	62
0.3	2.76066	0	15.1761	0	0	0.034189119409000004	0.011867052096	0.016181620848999996	0.00488812	0	0	15.175	0.08	62
0.3	2.75572	0	15.1722	0	0	0.033678489289	0.011892993025	0.016096504384000003	0.00474927	0	0	15.171	0.08	62
0.3	2.75079	0	15.1663	0	0	0.033343855608999995	0.011919180625	0.016011865444000004	0.0045677	0	0	15.1666	0.08	62
0.3	2.74585	0	15.1624	0	0	0.033093794889	0.011962015640999999	0.015947648656000003	0.00440748	0	0	15.1645	0.08	62
0.3	2.74092	0	15.1595	0	0	0.032824018276000004	0.012001202499999999	0.015898183744	0.00415114	0	0	15.161	0.08	62
0.3	2.73598	0	15.1582	0	0	0.032406120289	0.012029263683999999	0.015819602176	0.00404433	0	0	15.1554	0.08	62
0.3	2.73105	0	15.1569	0	0	0.032144545521000004	0.012059334225	0.015761547024999996	0.00401229	0	0	15.1501	0.08	62
0.3	2.72611	0	15.1568	0	0	0.031888673476	0.0120912016	0.015732684900000002	0.00396957	0	0	15.1488	0.08	62
0.3	2.72118	0	15.1584	0	0	0.031578356209	0.012130599321	0.015712371800999998	0.00393752	0	0	15.1488	0.08	62
0.3	2.71624	0	15.1597	0	0	0.031324752144000004	0.012189043216000001	0.015692322361	0.00392684	0	0	15.1488	0.08	62
0.3	2.71131	0	15.1604	0	0	0.031057365361	0.012207819121000002	0.015646007056	0.00388412	0	0	15.1488	0.08	62
0.3	2.70637	0	15.1589	0	0	0.030756039876	0.012251169225	0.015623000064000001	0.00387344	0	0	15.1488	0.08	62
0.3	2.70144	0	15.1577	0	0	0.030401409599999995	0.012302359056	0.015579782761	0.00388412	0	0	15.1488	0.08	62
0.3	2.6965	0	15.1566	0	0	0.030073455888999994	0.012334545721000002	0.015522169744000001	0.0038948	0	0	15.1488	0.08	62
0.3	2.69157	0	15.1553	0	0	0.029732449761	0.012372557824	0.015481829475999999	0.00399093	0	0	15.1492	0.08	62
0.3	2.68663	0	15.154	0	0	0.029452394688999996	0.012414193561	0.015398824463999998	0.00400161	0	0	15.1496	0.08	62
0.3	2.6817	0	15.1565	0	0	0.029051498025000004	0.012437156484	0.015333125929000001	0.00400161	0	0	15.15	0.08	62
0.3	2.67676	0	15.161	0	0	0.028494115204	0.012475102864	0.0152843769	0.00401229	0	0	15.1505	0.08	62
0.3	2.67183	0	15.1666	0	0	0.028215264676000003	0.012492309360999999	0.01522756	0.00399093	0	0	15.1538	0.08	62
0.3	2.66689	0	15.1726	0	0	0.027837254024999997	0.0125037124	0.015193274121	0.00396957	0	0	15.1579	0.08	62
0.3	2.66196	0	15.1784	0	0	0.027362453056	0.012519148321	0.015142286916	0.00396957	0	0	15.1626	0.08	62
0.3	2.65702	0	15.1796	0	0	0.027126748803999994	0.012534369849	0.015076892944	0.00387344	0	0	15.1667	0.08	62
0.3	2.65209	0	15.1796	0	0	0.026995147204	0.012536385156	0.014989349761	0.0038414	0	0	15.1703	0.08	62
0.3	2.64715	0	15.1796	0	0	0.026845184024999996	0.012526757929	0.014910363663999998	0.00377731	0	0	15.175	0.08	62
0.3	2.64222	0	15.1796	0	0	0.026648930025	0.012561253929	0.014831586225	0.00372391	0	0	15.1901	0.08	62
0.3	2.63728	0	15.1796	0	0	0.026471940804000005	0.012599389009	0.014797749316000001	0.00370254	0	0	15.1941	0.08	62
0.3	2.63235	0	15.1796	0	0	0.026235252729000003	0.012639605476	0.014778049225000001	0.0036705	0	0	15.1967	0.08	62
0.3	2.62741	0	15.1796	0	0	0.025963199160999997	0.012680111236	0.014747187844	0.00357437	0	0	15.1971	0.08	62
0.3	2.62248	0	15.1796	0	0	0.025637133456	0.012741668640999999	0.014716601344000001	0.00318986	0	0	15.1971	0.08	62
0.3	2.61754	0	15.1796	0	0	0.025317901456000002	0.012797491876000001	0.014685804225	0.0029976	0	0	15.1971	0.08	62
0.3	2.61261	0	15.1797	0	0	0.024982647481	0.012859333201	0.014685804225	0.00268786	0	0	15.1971	0.08	62
0.3	2.60767	0	15.1816	0	0	0.024721272900000004	0.012913595044000001	0.0146773225	0.00215381	0	0	15.1971	0.08	62
0.3	2.60274	0	15.1836	0	0	0.024546428929	0.012923369761000001	0.014668843225	0.00166249	0	0	15.1971	0.08	62
0.3	2.5978	0	15.1861	0	0	0.024238441968999998	0.012934967824	0.014671750128999999	0.00133138	0	0	15.1971	0.08	62
0.3	2.59287	0	15.1924	0	0	0.023950348081	0.012946798656	0.014643904143999999	0.00105368	0	0	15.1971	0.08	62
0.3	2.58793	0	15.1996	0	0	0.023751741456	0.012962277904	0.014596264225	0.00082938	0	0	15.1973	0.08	62
0.3	2.583	0	15.2077	0	0	0.023527571769	0.012989388841	0.014543395215999998	0.0005944	0	0	15.1991	0.08	62
0.3	2.57806	0	15.221	0	0	0.023352729856000003	0.013020635664	0.014493511321	0.000519634	0	0	15.2038	0.08	62
0.3	2.57313	0	15.2262	0	0	0.023108864256000002	0.013047807528999998	0.014443472761	0.000519634	0	0	15.205	0.08	62
0.3	2.56819	0	15.2285	0	0	0.022879285081	0.013077066025	0.014418485929	0.000519634	0	0	15.2041	0.08	62
0.3	2.56326	0	15.2289	0	0	0.022698134280999996	0.013116204676	0.014407440960999999	0.000519634	0	0	15.2026	0.08	62
0.3	2.55832	0	15.2288	0	0	0.0225090009	0.013153337344	0.014385363721000001	0.000519634	0	0	15.2015	0.08	62
0.3	2.55339	0	15.2288	0	0	0.022350549001	0.0131905225	0.014363063716	0.000519634	0	0	15.1999	0.08	62
0.3	2.54845	0	15.228	0	0	0.022278249081000002	0.013243636561000001	0.014360427225	0.000519634	0	0	15.1981	0.08	62
0.3	2.54352	0	15.2247	0	0	0.022184315136	0.013326162721	0.014354915344	0.000519634	0	0	15.1972	0.08	62
0.3	2.53858	0	15.2194	0	0	0.021997635856	0.013464585369	0.014360427225	0.000519634	0	0	15.1971	0.08	62
0.3	2.53365	0	15.211	0	0	0.021790483455999998	0.013547796025	0.014371454161	0.000519634	0	0	15.1971	0.08	62
0.3	2.52872	0	15.1982	0	0	0.021613704256000003	0.013637334840999998	0.014335512361	0.000519634	0	0	15.1971	0.08	62
0.3	2.52378	0	15.1883	0	0	0.021403982600999995	0.013691340100000001	0.014285747529000001	0.000519634	0	0	15.1971	0.08	62
0.3	2.51885	0	15.1853	0	0	0.021137379768999997	0.013737246436000002	0.014263763761	0.000519634	0	0	15.1971	0.08	62
0.3	2.51391	0	15.1832	0	0	0.020892967936	0.013763278489	0.014255404816000001	0.000519634	0	0	15.1971	0.08	62
0.3	2.50898	0	15.1822	0	0	0.020740320225	0.013811420484000001	0.0142444225	0.000519634	0	0	15.1971	0.08	62
0.3	2.50404	0	15.1818	0	0	0.020572164900000002	0.013903711396000001	0.014230819849	0.000519634	0	0	15.1971	0.08	62
0.3	2.49911	0	15.1818	0	0	0.020331052569	0.013992524100000002	0.014216985225	0.000519634	0	0	15.1971	0.08	62
0.3	2.49417	0	15.182	0	0	0.020160308169	0.014097762756000002	0.014192195161000001	0.000519634	0	0	15.1971	0.08	62
0.3	2.48924	0	15.1829	0	0	0.020014609728999995	0.014191003875999999	0.0141895744	0.000519634	0	0	15.1971	0.08	62
0.3	2.4843	0	15.1891	0	0	0.019873104783999996	0.014266391364000002	0.014192195161000001	0.000519634	0	0	15.1971	0.08	62
0.3	2.47937	0	15.1996	0	0	0.0197767969	0.014352279601	0.014186715664000002	0.000519634	0	0	15.1971	0.08	62
0.3	2.47443	0	15.2049	0	0	0.019700368164000004	0.014438185281	0.014184095409	0.000519634	0	0	15.1975	0.08	62
0.3	2.4695	0	15.2078	0	0	0.0195804049	0.014542912836000002	0.014175759844	0.000519634	0	0	15.1992	0.08	62
0.3	2.46456	0	15.2112	0	0	0.019400868369	0.014633740899999999	0.014184095409	0.000519634	0	0	15.2042	0.08	62
0.3	2.45963	0	15.2148	0	0	0.019249897536000003	0.01468944	0.014186715664000002	0.000519634	0	0	15.2119	0.08	62
0.3	2.45469	0	15.2182	0	0	0.0191628649	0.014749616704	0.0141895744	0.000519634	0	0	15.2174	0.08	62
0.3	2.44976	0	15.2212	0	0	0.019032409764	0.014820140644	0.0141895744	0.000519634	0	0	15.2207	0.08	62
0.3	2.44482	0	15.2252	0	0	0.018851564601	0.014880584196	0.014184095409	0.000519634	0	0	15.2247	0.08	62
0.3	2.43989	0	15.2293	0	0	0.018718344225	0.014917935321	0.014178379328999999	0.000519634	0	0	15.2302	0.08	62
0.3	2.43495	0	15.2297	0	0	0.018535188735999998	0.015016051599999998	0.014178379328999999	0.000519634	0	0	15.2342	0.08	62
