x,z,y,u,w,v,uu,ww,vv,vw,uv,uw
-18.000000,0.000000,0.100000,6.542366,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,0.200000,8.056111,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,0.300000,8.957630,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,0.400000,9.601842,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,0.500000,10.103472,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,0.600000,10.514337,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,0.700000,10.862304,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,0.800000,11.164099,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,0.900000,11.430551,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.000000,11.669078,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.100000,11.884982,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.200000,12.082184,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.300000,12.263668,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.400000,12.431756,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.500000,12.588290,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.600000,12.734757,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.700000,12.872373,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.800000,13.002148,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,1.900000,13.124928,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
-18.000000,0.000000,2.000000,13.241428,0.000000,0.000000,4.580625,2.931600,1.145156,0.000000,-0.872500,0.000000
