u,Iu,Iw
0.5447690519915037,0.10077013546425893,0.08646368522675664
0.375816324007467,0.14655043761296774,0.04960570689213168
0.07795973330371551,0.49234033600786725,0.4337676938777906
0.7290125050095518,0.11191545598071148,0.0708569454317587
0.13577439671416974,0.32741596298786435,0.26930302441476406
0.1469199588471397,0.26492649507192195,0.1824163747976059
0.13486500779313337,0.3319582817978774,0.27396844023490025
0.13411982364609404,0.3698912137379625,0.3116910957985623
0.09033214452803848,0.4632215099534352,0.4078114756014211
0.09049872880577645,0.4353558207965056,0.36796433190491135
0.14837200758458013,0.26538780396321077,0.17778493224282016
0.09789464238364211,0.40631065458180704,0.34072536188254143
0.13246033717449512,0.37641753501524866,0.3179567195480872
0.6603793325198188,0.11193177336968213,0.07021948126027988
0.09438016908523322,0.43094810387640475,0.3638000624917924
0.18422790068793732,0.24214277463520642,0.12194329881711656
0.09664853679126685,0.41084159187522284,0.3449471813922287
0.16574527222175672,0.22052618125104537,0.13448621383606288
0.19471825708723697,0.205226593956974,0.16300902575799467
0.08007086939513176,0.4754740989363865,0.4186207769954981
0.09789464238364211,0.40631065458180704,0.34072536188254143
0.07870448379887879,0.48608270581865026,0.4281967313978191
0.25281485569579976,0.13911499556119414,0.10634973030163175
0.16022440236635463,0.2624477458850014,0.1720669282556134
0.13246033717449512,0.37641753501524866,0.3179567195480872
0.17647733077178931,0.22479439895723627,0.12472891370325957
0.17753285977963848,0.2372416284019836,0.12369427546104052
0.28373629386980875,0.17662523088542867,0.07037628397315979
0.6048940832850611,0.1129461367286841,0.06890137809093684
0.6319131776036168,0.1128420375424238,0.06764068386616977
0.19202370953727552,0.20726074881663506,0.16562772233466558
0.08425850062839678,0.46351620574993235,0.414946930105801
0.35974712129839337,0.14689051735465633,0.051317944611024444
0.3341907739193622,0.15691247746290896,0.06132981883885954
0.2643345323083009,0.18622305780723505,0.07388297992491313
0.40757903073048546,0.10749940256723074,0.09054103445661273
0.32061015060449977,0.12289888437279557,0.08024780498417328
0.41932935034934193,0.14541900187194645,0.05040012982938746
0.08298491604044449,0.4668330984884871,0.41071731010607704
0.265407092439626,0.17775630210196292,0.06800051314167559
0.4732833857718323,0.11911044350230632,0.07247655748195186
0.2899219199195541,0.17148176994661035,0.06743630456254057
0.259717496538107,0.1367100159454061,0.10177757368296655
0.5150361135911536,0.11527470926024633,0.07279358400641478
0.07842788925435468,0.4902635687445412,0.4319252642184738
0.44976681217451414,0.10545565061504393,0.08588067771646836
0.15611653346942234,0.2627536076811273,0.17359670809574584
0.6499387609245615,0.11356038755803555,0.06728677961901182
0.4595752875669662,0.12951977527619277,0.07236350178457754
0.2974691218141074,0.16434360843166843,0.0629978097621793
0.38503135800904487,0.10997285242111177,0.09286516677124748
0.6230046642360709,0.11262603374000418,0.06800589565741123
0.2475240691030332,0.14085159616181173,0.08421680877656583
0.09194641180302457,0.43315174079535984,0.3658834414761444
0.3105026445672374,0.15768822122033666,0.0589838301583535
0.1869108948688292,0.22098228505372258,0.12322469211224342
0.5086571665133768,0.11984638296517273,0.0719133491865534
0.1704003692406544,0.2402096772676473,0.1259484494760974
0.23130283964904366,0.19300169790131566,0.0821499918886812
0.42601849627684263,0.11764896371722097,0.07618530466045859
0.09664853679126685,0.41084159187522284,0.3449471813922287
0.16029039353754612,0.26256279645707037,0.17108116721443817
0.44222841152604236,0.1168540382831427,0.07549644216727243
0.49663874267528624,0.10284605902486262,0.0879267471954863
0.527691039653957,0.11501478392675513,0.07370911058483745
0.3352436674445067,0.12713653861569385,0.07484018443973955
0.1926320391420482,0.21809811812232702,0.09649823771122894
0.1974547884074315,0.2114451322943865,0.09973781955015894
0.5024164612325143,0.10219552335724502,0.08566097417161637
0.3441945692852089,0.14279950075554942,0.05824136785815624
0.3711801792663999,0.11064172987512265,0.09674265477574187
0.32812471975476737,0.1251290976395223,0.07662384671249917
0.3632355782888775,0.14407281219341983,0.052187008811773086
0.24002255524068694,0.19267614270082387,0.08475203763220929
0.5895962100710435,0.11199150312639401,0.07159846051201647
0.4030577485777037,0.11032026075602859,0.09215325497967347
0.2703111478256621,0.13803805675483316,0.08399230271211927
0.40583103408297355,0.13269488394873968,0.05953389579365155
0.13324858191692152,0.3720732049850395,0.3137932544575363
0.4580299229272126,0.12990628840858018,0.07242986285522653
0.1737220562149783,0.21950476547947967,0.1295699424371007
0.1816103634056296,0.21920619363017008,0.12728357196579995
0.13291911028302578,0.37424855358812276,0.3158819376289314
0.3422668102237584,0.12147012258713144,0.08277103687798576
0.22444984356537553,0.19538866121852555,0.08026448711420917
0.47732211879442005,0.10397828824165957,0.08872462024613759
0.1684021461940684,0.21991160726704892,0.13198050596659738
0.5611780887161888,0.11213600225251613,0.07659200881867012
0.3030713005200111,0.13414926725879633,0.08352234118542917
0.21863545409370908,0.19924528198152702,0.08146216292957191
0.3091091498504616,0.16116897232825503,0.06620815206174294
0.2379537610233204,0.19006874424012607,0.08517350146361703
0.5399398009824071,0.11281804159473716,0.07793920994961474
0.5502340628471247,0.11415627459892107,0.07266956118107704
0.5335505271974568,0.11395719218612048,0.07448940922599022
0.43701232142679475,0.10611634660805004,0.08835934939153242
0.19813052133887957,0.19406587198324132,0.09977971382360426
0.3069615185863723,0.15948883404132455,0.06713876246526364
0.21592913560141883,0.20104708513489275,0.08160540331280561
0.20814341703997052,0.1900281886897469,0.10175960868166517
0.3523239870526835,0.14454088305102772,0.05689922047324935
0.48243601303215855,0.10394713864950036,0.086648069549841
0.35350613301045014,0.14544014737295832,0.05276159903820118
0.08298491604044449,0.4668330984884871,0.41071731010607704
0.3919852843208028,0.14322185410275398,0.056059664746229164
0.21337417452435994,0.2035867395374644,0.08323760801928956
0.4331641577690339,0.11761434310200386,0.07530856366968745
0.32729887827565146,0.13497716592231565,0.07827315788181236
0.2062900332479266,0.21374618337918852,0.09660948684404864
0.29330228912605677,0.16922625090050003,0.06468303302437017
0.29622980451197867,0.1652697234933451,0.06564717499451533
0.26270678474835096,0.13613824306388575,0.09742941359851821
0.5565126767601135,0.11320166729602882,0.07408477995172344
0.22162518545321575,0.19695435284519527,0.08026021704822196
0.5847370102765264,0.1156746999375496,0.07023885135710914
0.3842083266370596,0.14291510609102187,0.057284467750219864
0.35736537836894755,0.12240661742643032,0.07911209663389311
0.29221386650571873,0.16848089931798796,0.06521121237973011
0.4876641030087713,0.10353589726283507,0.08608956523666536
0.5696703036911742,0.1120625096691497,0.07581982892400962
0.5801971260454994,0.11278867406171691,0.07407005794147412
0.6142069670613252,0.11250412377429121,0.06848984563021994
0.6534190178396704,0.11171100135286381,0.07235239879426686
0.1923324493832608,0.21411466204386712,0.10037850926471757
0.4910120931725576,0.1136508003534718,0.07516275747017327
0.375816324007467,0.14655043761296774,0.04960570689213168
0.1484708200531613,0.264298195112678,0.18000691172480185
0.14939042037134506,0.26406841886127325,0.17603085477121003
